headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
"Winning South Carolina, Biden Makes Case Against Sanders: ‘Win Big or Lose’",2020-03-01,0.5994,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.5994}",U.S.,Joseph R. Biden Jr. drew on his decades-long relationships and leveraged his close bond with black voters to wrap up a state long considered his stronghold.,"['Presidential Elections (US)', 'Primaries and Caucuses', 'Presidential Election of 2020', 'Voting and Voters', 'Black People', 'Blacks', 'Polls and Public Opinion']",https://www.nytimes.com/2020/02/29/us/politics/joe-biden-south-carolina-primary.html,article,News
"At CPAC, Trump Takes Aim at Rivals",2020-03-01,0.6486,"{'neg': 0.043, 'neu': 0.829, 'pos': 0.128, 'compound': 0.6486}",U.S.,"President Trump appeared eager to bask in the warm reception of a conservative audience, who spent the conference listening to speakers road-testing messages for his re-election campaign.","['Presidential Election of 2020', 'Tax Cuts and Jobs Act (2017)', 'Appointments and Executive Changes', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2020/02/29/us/politics/cpac-trump-re-election.html,article,News
The Islanders Are Saying Goodbye to Brooklyn,2020-03-01,0.34,"{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.34}",Sports,Gov. Andrew M. Cuomo announced on Saturday that soon the team would again play all of its home games at Nassau Coliseum on Long Island until a new arena opens.,"['Hockey, Ice', 'Stadiums and Arenas']",https://www.nytimes.com/2020/02/29/sports/hockey/islanders-nassau-coliseum.html,article,News
Trump Moves to Calm Fears as First U.S. Death From Coronavirus Is Reported,2020-03-01,-0.9287,"{'neg': 0.221, 'neu': 0.757, 'pos': 0.022, 'compound': -0.9287}",U.S.,"A person in the Seattle area has died, officials said. Mr. Trump called more cases “likely” but added that “there’s no reason to panic at all.”","['Coronavirus (2019-nCoV)', 'Presidential Election of 2020']",https://www.nytimes.com/2020/02/29/us/politics/trump-coronavirus.html,article,News
"Mother and Daughter Attacked for Speaking Spanish, Prosecutor Says",2020-03-01,-0.9274,"{'neg': 0.267, 'neu': 0.733, 'pos': 0.0, 'compound': -0.9274}",U.S.,"Officials filed felony hate-crime charges against two women accused of assault in a Boston neighborhood, where more than half of the residents are Latino.","['Assaults', 'Hate Crimes', 'Hispanic-Americans', 'Discrimination', 'Race and Ethnicity', 'Immigration and Emigration']",https://www.nytimes.com/2020/02/29/us/east-boston-hate-crime-attack.html,article,News
Joe Biden Had a Big Night. He Needs Another in 72 Hours.,2020-03-01,0.7506,"{'neg': 0.0, 'neu': 0.91, 'pos': 0.09, 'compound': 0.7506}",U.S.,"For more than 30 years, over three presidential runs, Mr. Biden has been waiting to notch a victory like the one in South Carolina. Now he has to face the test of Super Tuesday.","['Primaries and Caucuses', 'Presidential Election of 2020', 'Campaign Finance', 'Voting and Voters', 'United States Politics and Government']",https://www.nytimes.com/2020/02/29/us/politics/joe-biden-super-tuesday.html,article,News Analysis
"For Buttigieg, a Search for Black Support That Never Arrived",2020-03-01,0.2732,"{'neg': 0.072, 'neu': 0.838, 'pos': 0.091, 'compound': 0.2732}",U.S.,"Facing better-known and better-financed opponents, Pete Buttigieg knew he would struggle to attract black voters in South Carolina. On Saturday his efforts came up empty.","['Primaries and Caucuses', 'Presidential Election of 2020', 'Black People', 'Blacks']",https://www.nytimes.com/2020/02/29/us/politics/buttigieg-black-voters-south-carolina.html,article,News
Tom Steyer Drops Out of 2020 Presidential Race,2020-03-01,-0.4939,"{'neg': 0.093, 'neu': 0.864, 'pos': 0.043, 'compound': -0.4939}",U.S.,"Mr. Steyer, the former hedge-fund executive, exited the race after a disappointing finish in South Carolina — a state where he had spent considerable resources and pinned the hopes of his campaign.","['Presidential Election of 2020', 'Campaign Finance', 'Primaries and Caucuses', 'United States Politics and Government']",https://www.nytimes.com/2020/02/29/us/politics/tom-steyer-drops-out.html,article,News
Joe Biden Lands First Big Primary Win,2020-03-01,0.7003,"{'neg': 0.043, 'neu': 0.824, 'pos': 0.133, 'compound': 0.7003}",U.S.,"The former vice president energized his campaign with a big win in South Carolina. And Bernie Sanders, who came in a distant second, had his largest loss so far.","['Presidential Election of 2020', 'Primaries and Caucuses']",https://www.nytimes.com/video/us/elections/100000007008579/joe-biden-wins-decisive-victory-in-south-carolina.html,multimedia,Video
In Trump’s Words: Praise for the Taliban and Optimism About the Coronavirus,2020-03-01,0.8834,"{'neg': 0.0, 'neu': 0.837, 'pos': 0.163, 'compound': 0.8834}",U.S.,President Trump found himself veering off message in discussing the two big news stories of the day: the signing of an agreement with the Taliban and the spread of the coronavirus.,"['Politics and Government', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Russian Interference in 2016 US Elections and Ties to Trump Associates']",https://www.nytimes.com/2020/02/29/us/trump-coronavirus-hoax-taliban.html,article,News
"Danielle Foster, Douglas Graham",2020-03-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Fashion & Style,The couple met in January 2017 at a neighborhood bar on the Upper East Side.,['Weddings and Engagements'],https://www.nytimes.com/2020/03/01/fashion/weddings/danielle-foster-douglas-graham.html,article,News
"Thomas Schultz, Robert Blalock",2020-03-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Fashion & Style,The couple met in 2014 at a mutual friend’s home in Los Angeles.,['Weddings and Engagements'],https://www.nytimes.com/2020/03/01/fashion/weddings/thomas-schultz-robert-blalock.html,article,News
"Avy Villaraza, Darnell Thompson",2020-03-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Fashion & Style,The couple met as parishioners at Harvest City Church in 2011.,['Weddings and Engagements'],https://www.nytimes.com/2020/03/01/fashion/weddings/avy-villaraza-darnell-thompson.html,article,News
"Lauren Hard, Ronald Hernandez",2020-03-01,0.2263,"{'neg': 0.059, 'neu': 0.884, 'pos': 0.057, 'compound': 0.2263}",Fashion & Style,"The couple, who both attended Teaneck High School in Teaneck, N.J., began dating after seeing each other at a mutual friend’s going-away party in New York.",['Weddings and Engagements'],https://www.nytimes.com/2020/03/01/fashion/weddings/lauren-hard-ronald-hernandez.html,article,News
"Corrections: March 1, 2020",2020-03-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Corrections,"Corrections that appeared in print on Sunday, March 1, 2020.",[],https://www.nytimes.com/2020/03/01/pageoneplus/corrections-march-1-2020.html,article,News
Quotation of the Day: Readiness of U.S. for an Epidemic Raises Fears About Shortages,2020-03-01,-0.2023,"{'neg': 0.067, 'neu': 0.885, 'pos': 0.048, 'compound': -0.2023}",Today’s Paper,"Quotation of the Day for Sunday, March 1, 2020.",[],https://www.nytimes.com/2020/03/01/todayspaper/quotation-of-the-day-readiness-of-us-for-an-epidemic-raises-fears-about-shortages.html,article,Quote
"Amber Bloom, Dov Lebowitz-Nowak",2020-03-01,0.7964,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.7964}",Fashion & Style,He played an intellectual otter and she a dancing red bell pepper in the workshop of a new play.,['Weddings and Engagements'],https://www.nytimes.com/2020/03/01/fashion/weddings/amber-bloom-dov-lebowitz-nowak.html,article,News
"Meredith Perry, Amit Bedi",2020-03-01,0.7003,"{'neg': 0.0, 'neu': 0.864, 'pos': 0.136, 'compound': 0.7003}",Fashion & Style,"The couple met in March 2011 at a housewarming party in New York, which was hosted by their mutual friends.",['Weddings and Engagements'],https://www.nytimes.com/2020/03/01/fashion/weddings/meredith-perry-amit-bedi.html,article,News
"Esther Gibofsky, Adam Rattner",2020-03-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Fashion & Style,"Their first date was at a bagel shop one morning, around 6, before they each headed to work.",['Weddings and Engagements'],https://www.nytimes.com/2020/03/01/fashion/weddings/esther-gibofsky-adam-rattner.html,article,News
