headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
Warren Beatty Calls on the Academy to Explain What Happened,2017-03-01,-0.4767,"{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.4767}",Movies,"The actor says the organization must answer questions about the epic mixup. Meanwhile, the man who gave him the wrong envelope was told not to tweet.",['Academy Awards (Oscars)'],https://www.nytimes.com/2017/02/28/movies/warren-beatty-oscars-mixup.html,article,News
"Desperate for Presidential Leadership, Republicans Find Little",2017-03-01,0.47,"{'neg': 0.079, 'neu': 0.79, 'pos': 0.132, 'compound': 0.47}",U.S.,"A lack of engagement from President Trump, who has relied on attention-grabbing executive actions, has left the party paralyzed when it expected legislative activity.","['Law and Legislation', 'United States Politics and Government']",https://www.nytimes.com/2017/02/28/us/politics/congress-republicans-democrats.html,article,News
Shareholder Activism at Arconic Points to a New Wave,2017-03-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Business Day,The aerospace manufacturer has seen Elliott Management nominate five directors to replace the company’s board and call for the chief executive to be replaced.,"['Shareholder Rights and Activism', 'Hedge Funds']",https://www.nytimes.com/2017/02/28/business/dealbook/arconic-elliott-management.html,article,News
Longing for Obama as President — of France,2017-03-01,-0.0258,"{'neg': 0.021, 'neu': 0.979, 'pos': 0.0, 'compound': -0.0258}",World,"A group of Parisians uninspired by the French presidential candidates have collected over 43,000 signatures calling for Barack Obama to run. The catch: He’s not French.","['Elections', 'Politics and Government']",https://www.nytimes.com/2017/02/28/world/europe/france-obama-president.html,article,News
"‘Gary From Chicago,’ Oscar Ceremony Star, Has Quite a Back Story",2017-03-01,-0.0772,"{'neg': 0.066, 'neu': 0.875, 'pos': 0.06, 'compound': -0.0772}",U.S.,"Days before his improbable rise to celebrity in the Academy Awards broadcast, Gary Alan Coe was released from prison after serving 20 years.","['Academy Awards (Oscars)', 'Celebrities', 'Mandatory Sentencing', 'Movies']",https://www.nytimes.com/2017/02/28/us/gary-from-chicago-oscar-ceremony-star-days-after-release-from-prison.html,article,News
"Review: The Vienna Philharmonic Adds New Work, and Women",2017-03-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Arts,"In its annual visit to Carnegie Hall, this orchestra followed its own rules and inclinations during a weekend of concerts.","['Classical Music', 'Art']",https://www.nytimes.com/2017/02/28/arts/music/review-the-vienna-philharmonic-adds-new-work-and-women.html,article,Review
The Endless Search for a Lost Glove,2017-03-01,0.1027,"{'neg': 0.061, 'neu': 0.868, 'pos': 0.071, 'compound': 0.1027}",New York,"If you can’t find your own, perhaps you can help someone else on a similar mission.",[],https://www.nytimes.com/2017/02/28/nyregion/metropolitan-diary-the-endless-search-for-a-lost-glove.html,article,News
Italy Reduces Sentence for Ex-C.I.A. Officer Sought in Rendition Case,2017-03-01,0.1531,"{'neg': 0.0, 'neu': 0.949, 'pos': 0.051, 'compound': 0.1531}",World,Sabrina de Sousa was tried and convicted in absentia over the kidnapping of a radical Egyptian cleric in Milan in 2003.,"['Extraordinary Rendition', 'Kidnapping and Hostages', 'Espionage and Intelligence Services']",https://www.nytimes.com/2017/02/28/world/europe/italy-rendition-cia-sabrina-de-sousa-cleric.html,article,News
"Emmanuelle Khanh, Who Reinvigorated French Fashion, Dies at 79",2017-03-01,0.6571,"{'neg': 0.063, 'neu': 0.805, 'pos': 0.132, 'compound': 0.6571}",Fashion & Style,"Frustrated with the rigidity of haute couture and the lack of spontaneity in French fashion, Ms. Khanh designed quirky, fluid clothes for young, active women.","['Deaths (Obituaries)', 'Fashion and Apparel']",https://www.nytimes.com/2017/02/28/fashion/emmanuelle-khanh-french-fashion-designer-dies.html,article,Obituary (Obit)
YouTube Unveils Subscription Television Service,2017-03-01,0.0258,"{'neg': 0.039, 'neu': 0.919, 'pos': 0.041, 'compound': 0.0258}",Technology,The site says people watch more than a billion hours a day on it. It will join other companies offering content to viewers trying to cut the cord.,"['Television', 'Video Recordings, Downloads and Streaming', 'Media']",https://www.nytimes.com/2017/02/28/technology/youtube-subscription-television-service.html,article,News
