headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
Knausgaard and Franzen Among Speakers at 92nd Street Y,2018-08-01,0.2023,"{'neg': 0.0, 'neu': 0.963, 'pos': 0.037, 'compound': 0.2023}",Books,"Authors including Kate Atkinson, Lauren Groff and Jonathan Lethem will also give talks and read from their new works this fall.",['Books and Literature'],https://www.nytimes.com/2018/07/31/books/92nd-street-y-karl-ove-knausgaard-jonathan-franzen.html,article,News
A Flurry of Activity as All of Baseball Chases the Red Sox,2018-08-01,-0.296,"{'neg': 0.035, 'neu': 0.965, 'pos': 0.0, 'compound': -0.296}",Sports,"Boston is dominating, and even with Chris Sale headed to the disabled list, the gap is wide enough that the Red Sox mostly watched as other teams scrambled.","['Baseball', 'Trades (Sports)']",https://www.nytimes.com/2018/07/31/sports/trade-deadline.html,article,News
N.R.A. Joins Questioning of Florida Sheriff in ‘Stand Your Ground’ Case,2018-08-01,-0.7351,"{'neg': 0.149, 'neu': 0.825, 'pos': 0.026, 'compound': -0.7351}",U.S.,The sheriff continues to defend his decision not to make an arrest in the fatal shooting of an unarmed black man.,"['Self-Defense', 'Law and Legislation', 'Firearms', 'Gun Control']",https://www.nytimes.com/2018/07/31/us/stand-your-ground-law-nra.html,article,News
Justice Dept. Investigating Claims That Drug Companies Funded Terrorism in Iraq,2018-08-01,-0.5994,"{'neg': 0.134, 'neu': 0.786, 'pos': 0.08, 'compound': -0.5994}",U.S.,"In a filing, AstraZeneca said the case was related to a suit that accused five companies of giving the Iraqi health ministry drugs and devices that were then sold to fund attacks.","['Drugs (Pharmaceuticals)', 'Terrorism', 'United States Defense and Military Forces', 'Iraq War (2003-11)', 'Suits and Litigation (Civil)']",https://www.nytimes.com/2018/07/31/us/politics/drug-companies-iraq-terrorism.html,article,News
"Honors, at Last, for Ida B. Wells, ‘a Sword Among Lions’",2018-08-01,0.6808,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.6808}",Opinion,Chicago commemorates a crusading hero who never got the recognition she deserved.,"['Blacks', 'Black People', 'Names, Geographical']",https://www.nytimes.com/2018/07/31/opinion/honors-at-last-for-ida-b-wells-a-sword-among-lions.html,article,Editorial
"Tuskegee Airman’s Remains Are Identified, Ending Daughter’s Quest for Answers",2018-08-01,0.1531,"{'neg': 0.0, 'neu': 0.967, 'pos': 0.033, 'compound': 0.1531}",U.S.,"Lawrence E. Dickson was 24 when his fighter plane went down in December 1944. On Friday, officials confirmed that remains found last year were his.","['Aviation Accidents, Safety and Disasters', 'Missing in Action', 'World War II (1939-45)']",https://www.nytimes.com/2018/07/31/us/tuskegee-airmen-pilot-remains.html,article,News
Yankees Quiet at Deadline but May Lose J.A. Happ Temporarily,2018-08-01,-0.2617,"{'neg': 0.1, 'neu': 0.833, 'pos': 0.068, 'compound': -0.2617}",Sports,"The left-hander joined the Mets’ Noah Syndergaard in receiving a diagnosis of hand, foot and mouth disease, but Brian Cashman said no disabled list trip is imminent.","['Baseball', 'Hand, Foot and Mouth Disease']",https://www.nytimes.com/2018/07/31/sports/baseball/ja-happ-yankees.html,article,News
Chicago Chain Kept Hawaiian Restaurants From Using ‘Aloha Poke’ Name,2018-08-01,0.0258,"{'neg': 0.046, 'neu': 0.905, 'pos': 0.048, 'compound': 0.0258}",Food,"The chain, Aloha Poke Co., which sent cease-and-desist letters to restaurants with similar names, has apologized after being accused of cultural appropriation.","['Trademarks and Trade Names', 'Names, Organizational', 'Restaurants']",https://www.nytimes.com/2018/07/31/dining/aloha-poke-chicago-hawaii.html,article,News
Massachusetts Town Loses Its Entire Police Force as All 4 Members Quit,2018-08-01,-0.5423,"{'neg': 0.087, 'neu': 0.913, 'pos': 0.0, 'compound': -0.5423}",U.S.,"In a resignation letter, Blandford’s interim police chief and three part-time officers said their jobs had grown unsafe and untenable.","['Police', 'Local Government']",https://www.nytimes.com/2018/07/31/us/blandford-police-officers-quit.html,article,News
"Corrections: August 1, 2018",2018-08-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Corrections,"Corrections appearing in print on Wednesday, August 1, 2018.",[],https://www.nytimes.com/2018/07/31/pageoneplus/corrections-august-1-2018.html,article,Correction
"Review: In a Blissful Musical ‘Twelfth Night’ in Central Park, Song Is Empathy",2018-08-01,0.7296,"{'neg': 0.058, 'neu': 0.778, 'pos': 0.164, 'compound': 0.7296}",Theater,This radiant Public Works production of Shakespeare’s comedy of identity asks us “to see through the eyes of another.”,['Theater'],https://www.nytimes.com/2018/07/31/theater/review-twelfth-night-shakespeare-in-the-park-shaina-taub.html,article,Review
Unable to See,2018-08-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Crosswords & Games,Sande Milton and Jeff Chen make a puzzle together.,['Crossword Puzzles'],https://www.nytimes.com/2018/07/31/crosswords/daily-puzzle-2018-08-01.html,article,News
