headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
"Older People Are Contributing to Climate Change, and Suffering From It",2019-05-24,-0.7899,"{'neg': 0.166, 'neu': 0.768, 'pos': 0.065, 'compound': -0.7899}",Health,"Growing numbers of seniors are using more energy. They also are most likely to suffer in extreme weather, which has become more common as the planet warms.","['Weather', 'Global Warming', 'Elderly', 'Baby Boomers', 'Polls and Public Opinion', 'Energy Efficiency', 'Volunteers and Community Service', 'Air Conditioning', 'Deaths (Fatalities)']",https://www.nytimes.com/2019/05/24/health/climate-change-elderly.html,article,News
"André Lurton, Vintner of Choice Bordeaux, Dies at 94",2019-05-24,-0.4215,"{'neg': 0.061, 'neu': 0.939, 'pos': 0.0, 'compound': -0.4215}",Obituaries,Mr. Lurton came from a family of chateau owners and managers and specialized in elevating distressed vineyards.,"['Wines', 'Deaths (Obituaries)']",https://www.nytimes.com/2019/05/24/obituaries/andre-lurton-dead.html,article,Obituary (Obit)
Why Annuities Are Popular,2019-05-24,0.6124,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.6124}",Opinion,The Alliance for Lifetime Income says the guaranteed retirement income they provide is a vital safety net.,"['ANNUITIES', 'Pensions and Retirement Plans', 'Income']",https://www.nytimes.com/2019/05/24/opinion/letters/annuities-retirement-income.html,article,Letter
About Those Hmms,2019-05-24,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Podcasts,"Plus, a reporter’s diary and a summer playlist.","['Podcasts', 'Impeachment', 'News and News Media']",https://www.nytimes.com/2019/05/24/podcasts/daily-newsletter-reporter-diary-summer-playlist.html,article,Letter
"After an On-Air Correction, Naomi Wolf Addresses Errors in Her New Book",2019-05-24,-0.3612,"{'neg': 0.096, 'neu': 0.838, 'pos': 0.066, 'compound': -0.3612}",Books,"During a BBC Radio interview, the host pointed out that Ms. Wolf misunderstood an important legal term in her book “Outrages.”",['Books and Literature'],https://www.nytimes.com/2019/05/24/books/naomi-wolf-outrages.html,article,News
Barr Got More Power to Review the Russia Inquiry. Here’s What We Know About Its Origins.,2019-05-24,0.4767,"{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0.4767}",U.S.,The attorney general has the power to declassify intelligence agencies’ secrets as he examines the investigation into Russia’s election interference and ties to Trump associates.,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Presidential Election of 2016', 'Cyberwarfare and Defense', 'Classified Information and State Secrets', 'United States Politics and Government', 'Espionage and Intelligence Services', 'Wiretapping and Other Eavesdropping Devices and Methods', 'Special Prosecutors (Independent Counsel)']",https://www.nytimes.com/2019/05/24/us/politics/russia-investigation-origins.html,article,News
Theresa May’s Resignation Throws a Fractured Britain Into Further Turmoil,2019-05-24,-0.6705,"{'neg': 0.099, 'neu': 0.901, 'pos': 0.0, 'compound': -0.6705}",World,The prime minister’s departure throws Britain into an unpredictable quandary after three years of trying and failing to pull the country out of the European Union.,"['Politics and Government', 'Great Britain Withdrawal from EU (Brexit)', 'Appointments and Executive Changes']",https://www.nytimes.com/2019/05/24/world/europe/uk-brexit-theresa-may.html,article,News
Aretha Franklin’s Sons Debate Whether New Will Is Valid,2019-05-24,-0.4404,"{'neg': 0.067, 'neu': 0.933, 'pos': 0.0, 'compound': -0.4404}",Arts,"When the singer died last year, her family thought she had no will. But documents have surfaced that detail a specific plan on how to distribute her estate.","['Music', 'Wills and Estates']",https://www.nytimes.com/2019/05/24/arts/music/aretha-franklin-will.html,article,News
Budget Cuts May Undercut the U.N.’s Human Rights Committees,2019-05-24,-0.1531,"{'neg': 0.038, 'neu': 0.962, 'pos': 0.0, 'compound': -0.1531}",World,"The savings would be modest, about $2 million, but they could result in the cancellation of major human rights hearings.","['Human Rights and Human Rights Violations', 'Torture', 'Budgets and Budgeting']",https://www.nytimes.com/2019/05/24/world/un-budget-cuts-human-rights.html,article,News
Will Congress Expand the Insider Trading Prohibition?,2019-05-24,0.6249,"{'neg': 0.0, 'neu': 0.898, 'pos': 0.102, 'compound': 0.6249}",Business Day,"The House Financial Services Committee has passed a bill that would for the first time set forth what was required for proof, in some ways making cases easier.","['Law and Legislation', 'Securities and Commodities Violations', 'Insider Trading', 'Cyberattacks and Hackers', 'Stocks and Bonds']",https://www.nytimes.com/2019/05/24/business/dealbook/insider-trading-act.html,article,News
"June Dobbs Butts, Sex Therapist Who Preached Frankness, Dies at 90",2019-05-24,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Obituaries,"By many accounts the first African-American to train with William Masters and Virginia Johnson, she brought their uninhibited view of sex therapy to black patients.","['Deaths (Obituaries)', 'Sex', 'Sex Education', 'Blacks', 'Black People', 'Therapy and Rehabilitation']",https://www.nytimes.com/2019/05/24/obituaries/june-dobbs-butts-dies.html,article,Obituary (Obit)
Jayme Closs’s Kidnapper Gets Life in Prison Without Parole,2019-05-24,-0.9371,"{'neg': 0.243, 'neu': 0.757, 'pos': 0.0, 'compound': -0.9371}",U.S.,"“I was smarter,” Jayme said in a statement at the sentencing hearing for Jake Patterson, who pleaded guilty to abducting her and killing her parents.","['Kidnapping and Hostages', 'Murders, Attempted Murders and Homicides']",https://www.nytimes.com/2019/05/24/us/jayme-closs-trial.html,article,News
Xavier Dolan Has Gone to Cannes for 10 Years. It Hasn’t Gotten Easier.,2019-05-24,0.3832,"{'neg': 0.034, 'neu': 0.9, 'pos': 0.066, 'compound': 0.3832}",Movies,"The Quebecois director of “Matthias & Maxime” says, “It’s very hard to build confidence and come here.”","['Cannes International Film Festival', 'Homosexuality and Bisexuality', 'Movies']",https://www.nytimes.com/2019/05/24/movies/cannes-xavier-dolan.html,article,News
Was the Founder of the Bauhaus a Doctrinaire Bore or a Brilliant Innovator?,2019-05-24,0.4582,"{'neg': 0.033, 'neu': 0.867, 'pos': 0.1, 'compound': 0.4582}",Books,"“Gropius,” a new biography by Fiona MacCarthy, aims to rehabilitate one of modernism’s most influential but underappreciated architects.","['Books and Literature', 'ARCHITECTURE']",https://www.nytimes.com/2019/05/24/books/review/fiona-maccarthy-gropius.html,article,Review
"Baby Jane Dexter, Singer Who Knew Heartbreak, Dies at 72",2019-05-24,-0.6542,"{'neg': 0.094, 'neu': 0.906, 'pos': 0.0, 'compound': -0.6542}",Obituaries,"A fixture of the New York cabaret scene, she took a long hiatus in the 1980s to deal with depression but, she said, “was able to take my life back through music.”","['Deaths (Obituaries)', 'Music', 'Women and Girls', 'Sex Crimes']",https://www.nytimes.com/2019/05/24/obituaries/baby-jane-dexter-dead.html,article,Obituary (Obit)
Federal Judge Blocks Mississippi Abortion Law,2019-05-24,-0.4215,"{'neg': 0.089, 'neu': 0.911, 'pos': 0.0, 'compound': -0.4215}",U.S.,Judge Carlton Reeves issued a preliminary injunction against Mississippi’s so-called fetal heartbeat law.,"['Decisions and Verdicts', 'ABORTION', 'Law and Legislation']",https://www.nytimes.com/2019/05/24/us/mississippi-abortion-law.html,article,News
Your Best Tips for a Better Uber or Lyft Trip,2019-05-24,0.9607,"{'neg': 0.0, 'neu': 0.7, 'pos': 0.3, 'compound': 0.9607}",Smarter Living,"When we asked you for your best tips for better ridesharing trips, dozens of drivers and fellow passengers replied. Here are the best tips we heard.","['Car Services and Livery Cabs', 'Mobile Applications', 'Customs, Etiquette and Manners', 'Tips and Tipping']",https://www.nytimes.com/2019/05/24/smarter-living/your-best-tips-for-a-better-uber-or-lyft-trip.html,article,News
Theresa May Had One Job — Brexit. She Failed.,2019-05-24,0.4939,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.4939}",Opinion,"In her defense, she had plenty of help.","['Politics and Government', 'Great Britain Withdrawal from EU (Brexit)', 'Referendums']",https://www.nytimes.com/2019/05/24/opinion/may-resigns-brexit.html,article,Editorial
"Theresa May, Missouri, Summer Reading: Your Friday Evening Briefing",2019-05-24,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Briefing,Here’s what you need to know at the end of the day.,[],https://www.nytimes.com/2019/05/24/briefing/theresa-may-missouri-summer-reading.html,article,briefing
"More Turmoil at The Markup, a Tech Site Still in Beta Mode",2019-05-24,-0.5095,"{'neg': 0.08, 'neu': 0.876, 'pos': 0.045, 'compound': -0.5095}",Business Day,"After the firing last month of the top editor, Julia Angwin, two other key members of the editorial team are out, said the site’s main donor, Craig Newmark.","['Appointments and Executive Changes', 'News and News Media']",https://www.nytimes.com/2019/05/24/business/media/markup-tech-site-newsroom-departures.html,article,News
Colombia Will Review Military Orders Amid Human Rights Fears,2019-05-24,-0.5106,"{'neg': 0.071, 'neu': 0.904, 'pos': 0.026, 'compound': -0.5106}",World,"After senior officers raised concerns that the military may be committing abuses, a commission will review all orders, the president said.","['Defense and Military Forces', 'Civilian Casualties', 'Human Rights and Human Rights Violations']",https://www.nytimes.com/2019/05/24/world/americas/colombia-president-military-orders.html,article,News
Britain on the Brink of Boris Johnson and Chaos,2019-05-24,-0.4215,"{'neg': 0.069, 'neu': 0.931, 'pos': 0.0, 'compound': -0.4215}",Opinion,Theresa May exits but the Brexit impasse will endure for the simple reason it makes no sense.,"['Politics and Government', 'Great Britain Withdrawal from EU (Brexit)']",https://www.nytimes.com/2019/05/24/opinion/theresa-may-resignation-boris-johnson.html,article,Op-Ed
Canada Eyes a New Course on the Boeing 737 Max,2019-05-24,-0.2235,"{'neg': 0.042, 'neu': 0.958, 'pos': 0.0, 'compound': -0.2235}",World,Prospects that the plane linked to two deadly crashes will soon fly again dimmed following a meeting of the world’s aviation regulators.,"['AIRLINES AND AIRPLANES', 'Boeing 737 Max Groundings and Safety Concerns (2019)']",https://www.nytimes.com/2019/05/24/world/canada/boeing-737-max.html,article,briefing
"Bannon’s Populists, Once a ‘Movement,’ Keep Him at Arm’s Length",2019-05-24,0.6369,"{'neg': 0.0, 'neu': 0.909, 'pos': 0.091, 'compound': 0.6369}",World,For months the former Trump adviser promised to help far-right forces unify before European Parliament elections. Now they’re moving on without him.,"['Politics and Government', 'Elections', 'Legislatures and Parliaments']",https://www.nytimes.com/2019/05/24/world/europe/steve-bannon-european-elections-paris.html,article,News
"What They Left Behind: A Lindy Hop, ‘Que Sera, Sera’ and a Glass Pyramid",2019-05-24,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Obituaries,Some gems from the life’s work of people remembered in obituaries in The New York Times.,"['Movies', 'Dancing', 'Music', 'Cartoons and Cartoonists', 'Deaths (Obituaries)']",https://www.nytimes.com/2019/05/24/obituaries/what-they-left-behind-legacies-of-the-recently-departed.html,article,News
Security Gap Leaves 885 Million Mortgage Documents Exposed,2019-05-24,0.5106,"{'neg': 0.031, 'neu': 0.87, 'pos': 0.099, 'compound': 0.5106}",Technology,"The data, collected by First American Financial Corporation, included hundreds of millions of detailed and personal financial records.","['Computer Security', 'Mortgages', 'Cyberattacks and Hackers']",https://www.nytimes.com/2019/05/24/technology/data-leak-first-american.html,article,News
"Flooding in the Midwest: 4 Rivers Surge, Along With Residents’ Worries",2019-05-24,-0.4939,"{'neg': 0.06, 'neu': 0.919, 'pos': 0.021, 'compound': -0.4939}",U.S.,"The threat of flooding has been relentless along four Midwestern rivers. With more crests coming, residents pile sandbags, watch levees and wait.","['Floods', 'Rivers', 'Levees and Dams']",https://www.nytimes.com/2019/05/24/us/midwest-river-flooding.html,article,News
$2 Million in 27 Games: James Holzhauer’s in a ‘Jeopardy!’ League by Himself,2019-05-24,0.8433,"{'neg': 0.0, 'neu': 0.9, 'pos': 0.1, 'compound': 0.8433}",Arts,"James Holzhauer, the “Jeopardy!” contestant currently on a 27-game victory streak, passed $2 million in winnings in the episode that aired on Friday. Holzhauer is still about $455,000 behind Ken Jennings, who won $2.5 million* during his record streak of 74 victories in 2004. ","['Television', 'Contests and Prizes']",https://www.nytimes.com/2019/05/24/arts/television/james-holzhauer-jeopardy.html,article,News
"Geneviève Waïte, 71, Star of the Swinging-’60s Film ‘Joanna,’ Dies",2019-05-24,0.2382,"{'neg': 0.0, 'neu': 0.965, 'pos': 0.035, 'compound': 0.2382}",Obituaries,Her role as a waifish art student who has an interracial affair brought her fame and notoriety. But her time in the spotlight proved to be short.,"['Deaths (Obituaries)', 'ACTORS AND ACTRESSES', 'Movies']",https://www.nytimes.com/2019/05/24/obituaries/genevieve-waite-dead.html,article,Obituary (Obit)
"Rocco Commisso, Cosmos Owner, Is Said to Be Close to Buying Italy’s Fiorentina",2019-05-24,0.5023,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.5023}",Sports,"Commisso, the billionaire chairman of Mediacom, has owned the Cosmos since 2017 but has long sought to be involved with a club in a top-tier league like Serie A.",['Soccer'],https://www.nytimes.com/2019/05/24/sports/fiorentina-rocco-commisso.html,article,News
‘Heartbroken’: Weinstein Accusers Say $44 Million Settlement Lets Him Off the Hook,2019-05-24,-0.7906,"{'neg': 0.123, 'neu': 0.877, 'pos': 0.0, 'compound': -0.7906}",New York,"Two actresses who have sued the movie producer said they would not sign on, jeopardizing the proposed deal. Others expressed anger and disappointment.","['Sexual Harassment', 'Sex Crimes', '#MeToo Movement']",https://www.nytimes.com/2019/05/24/nyregion/harvey-weinstein-accusers-settlement.html,article,News
