headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
"Field Is ‘Perfect Place to Die,’ Rookie Says in Front of Roger Goodell",2017-08-01,0.782,"{'neg': 0.053, 'neu': 0.787, 'pos': 0.161, 'compound': 0.782}",Sports,"The declaration from Jamal Adams drew cheers at a fan forum and created an awkward moment, with the N.F.L. pushing for player safety.","['Football', 'Sports Injuries', 'Concussions']",https://www.nytimes.com/2017/07/31/sports/football/roger-goodell-jamal-adams-ny-jets.html,article,News
"Moving Past Health Care, White House Looks to Tax Reform",2017-08-01,0.4767,"{'neg': 0.054, 'neu': 0.84, 'pos': 0.105, 'compound': 0.4767}",U.S.,The Trump administration and Republicans in Congress cannot afford another political failure. And outside groups are working to remind them of that.,"['Tax Credits, Deductions and Exemptions', 'Corporate Taxes', 'Income Tax']",https://www.nytimes.com/2017/07/31/us/politics/republicans-tax-reform-koch-brothers.html,article,News
Police See Through Mr. Trump’s Tough Talk,2017-08-01,-0.7184,"{'neg': 0.189, 'neu': 0.811, 'pos': 0.0, 'compound': -0.7184}",Opinion,Officials know brutality is unconstitutional and counterproductive.,"['Police Brutality, Misconduct and Shootings', 'United States Politics and Government', 'Speeches and Statements']",https://www.nytimes.com/2017/07/31/opinion/trump-police-brutality-backlash.html,article,Editorial
Mayor and City Council Make Deal on Lawyers for Immigrants,2017-08-01,0.1779,"{'neg': 0.023, 'neu': 0.924, 'pos': 0.053, 'compound': 0.1779}",New York,"A compromise ends months of squabbling, as private donors, not the city, will fund the legal services for undocumented immigrants convicted of serious crimes.","['Immigration and Emigration', 'Illegal Immigration', 'Legal Aid for the Poor (Civil)']",https://www.nytimes.com/2017/07/31/nyregion/mayor-and-city-council-make-deal-on-lawyers-for-immigrants.html,article,News
Sam Shepard in Pictures,2017-08-01,0.0258,"{'neg': 0.085, 'neu': 0.827, 'pos': 0.087, 'compound': 0.0258}",Obituaries,"Sam Shepard, the celebrated playwright and Oscar-nominated actor, died on July 27 at his home in Kentucky. He was 73.",['Theater'],https://www.nytimes.com/slideshow/2017/07/31/obituaries/sam-shepard-obit.html,multimedia,Slideshow
So Much for the Mooch,2017-08-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Opinion,"In going after Reince Priebus, Anthony Scaramucci sowed the seeds of his own demise.","['United States Politics and Government', 'Appointments and Executive Changes']",https://www.nytimes.com/2017/07/31/opinion/so-much-for-the-mooch.html,article,Editorial
"Venezuela’s Opposition, Battling Nicolás Maduro, Suffers a Crippling Blow",2017-08-01,-0.4939,"{'neg': 0.141, 'neu': 0.779, 'pos': 0.08, 'compound': -0.4939}",World,"Through a contentious referendum, the president has effectively liquidated any political challenge for years to come.","['Referendums', 'Elections', 'Constitutions', 'Politics and Government']",https://www.nytimes.com/2017/07/31/world/americas/venezuelas-opposition-riding-high-not-long-ago-suffers-a-crippling-blow.html,article,News
"Yankees and Dodgers Make Big Moves, Hoping to Be Juggernauts",2017-08-01,0.8126,"{'neg': 0.0, 'neu': 0.861, 'pos': 0.139, 'compound': 0.8126}",Sports,"Los Angeles sent three prospects to Texas for the four-time All-Star Yu Darvish, while the Yankees traded three players to Oakland for the prized pitcher Sonny Gray.","['Baseball', 'Trades (Sports)']",https://www.nytimes.com/2017/07/31/sports/baseball/yankees-and-dodgers-make-big-moves-hoping-to-be-juggernauts.html,article,News
"While Other U.S. Companies Flee China, Starbucks Doubles Down",2017-08-01,0.7906,"{'neg': 0.0, 'neu': 0.875, 'pos': 0.125, 'compound': 0.7906}",Business Day,"The company is now opening more than a store a day in China. The secret to success there, according to the coffee seller’s chairman? Mutual trust.",['Coffeehouses'],https://www.nytimes.com/2017/07/31/business/dealbook/sorkin-china-starbucks.html,article,News
Quotation of the Day: Preparing Young Children for the Automated Economy,2017-08-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Today’s Paper,"Quotation of the Day for Tuesday, August 1, 2017.",[],https://www.nytimes.com/2017/07/31/todayspaper/quotation-of-the-day-preparing-young-children-for-the-automated-economy.html,article,Quote
Success of North Korean Missile Test Is Thrown Into Question,2017-08-01,0.09,"{'neg': 0.097, 'neu': 0.786, 'pos': 0.117, 'compound': 0.09}",World,The test Friday suggested that Pyongyang may now have the ability to strike the continental U.S. But video analysis shows the mock warhead shattering on re-entry.,"['Nuclear Tests', 'Missiles and Missile Defense Systems']",https://www.nytimes.com/2017/07/31/world/asia/north-korea-missile-test-video.html,article,News
