headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
Nationals Player Tests Positive for Virus Before Opening Day,2021-04-01,0.5574,0.08964646464646464,Sports,"Because of contract-tracing rules, four other players and a staff member will be held out of Washington’s season opener against the Mets on Thursday.","['Baseball', 'Coronavirus Reopenings']",https://www.nytimes.com/2021/03/31/sports/baseball/nationals-positive-test-coronavirus.html,article,News,"{'neg': 0.0, 'neu': 0.924, 'pos': 0.076, 'compound': 0.5574}"
Investment Firm’s Collapse Put Unseen Risks on Full Display,2021-04-01,-0.6757,0.16458333333333336,Business Day,Archegos Capital Management’s use of swaps helped conceal its exposure to huge blocks of shares but showed once again how lightly regulated derivatives can shake the financial system.,"['Derivatives (Financial Instruments)', 'Regulation and Deregulation of Industry', 'Banking and Financial Institutions', 'Stocks and Bonds', 'Hedge Funds']",https://www.nytimes.com/2021/03/31/business/archegos-stock-market-swaps.html,article,News,"{'neg': 0.169, 'neu': 0.781, 'pos': 0.051, 'compound': -0.6757}"
Clerk Who Questioned $20 Bill Watched Floyd Arrest With ‘Disbelief and Guilt’,2021-04-01,-0.8241,0.016666666666666663,U.S.,"During the third day of Derek Chauvin’s trial, witness after witness agonized over whether they could have done anything to stop what would eventually happen to George Floyd.","['Murders, Attempted Murders and Homicides', 'Police Brutality, Misconduct and Shootings', 'Black People', 'Blacks']",https://www.nytimes.com/2021/03/31/us/chauvin-trial-floyd.html,article,News,"{'neg': 0.169, 'neu': 0.806, 'pos': 0.025, 'compound': -0.8241}"
"40 Years After Reagan, a Bet Big Government Can Get Something Done",2021-04-01,-0.4019,0.08333333333333333,U.S.,"President Biden feels a burning sense of competition, his aides say, to prove that democratic capitalism can work.","['Infrastructure (Public Works)', 'Presidents and Presidency (US)', 'United States Economy', 'United States Politics and Government', 'American Jobs Plan (2021)']",https://www.nytimes.com/2021/03/31/us/politics/biden-infrastructure.html,article,News Analysis,"{'neg': 0.054, 'neu': 0.946, 'pos': 0.0, 'compound': -0.4019}"
Investigators say a Trump aide took it upon himself to award hefty pandemic contracts.,2021-04-01,0.25,-0.058333333333333334,World,"Peter Navarro, frustrated by the snail’s pace response to Covid-19, gave contracts worth hundreds of millions of dollars to politically connected or novice companies, according to a House inquiry.","['internal-essential', 'Coronavirus (2019-nCoV)', 'Government Contracts and Procurement']",https://www.nytimes.com/2021/03/31/world/trump-peter-navarro-pandemic.html,article,News,"{'neg': 0.057, 'neu': 0.853, 'pos': 0.09, 'compound': 0.25}"
"Jill Biden, in California, Lends Support to Farmworkers Seeking Vaccinations",2021-04-01,0.765,0.35416666666666663,U.S.,"The first lady was in Delano, Calif., to mark the birthday of César Chávez, the labor organizer who formed the country’s first successful farmworkers’ union.","['Agriculture and Farming', 'Workplace Hazards and Violations', 'Coronavirus (2019-nCoV)', 'Vaccination and Immunization', 'Organized Labor', 'Citizenship and Naturalization', 'American Rescue Plan (2021)', 'United States Economy', 'United States Politics and Government']",https://www.nytimes.com/2021/03/31/us/politics/jill-biden-california.html,article,News,"{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.765}"
Man Is Charged With Smuggling in Crash That Killed 13 Migrants in California,2021-04-01,-0.9468,0.14166666666666666,U.S.,More than two dozen people were crowded into an S.U.V. that collided with a tractor-trailer near the border. Jose Cruz Noguez was accused of coordinating the smuggling attempt.,"['Traffic Accidents and Safety', 'Illegal Immigration', 'Smuggling']",https://www.nytimes.com/2021/03/31/us/california-mexico-border-crash-jose-cruz-noguez.html,article,News,"{'neg': 0.27, 'neu': 0.73, 'pos': 0.0, 'compound': -0.9468}"
"For many college students, pandemic life is disappointing. For others, it is a financial crisis.",2021-04-01,-0.802,0.03020833333333333,World,"As campuses struggle under the shadow of the pandemic, many students report having trouble paying for food, housing and other basic needs.","['internal-essential', 'Coronavirus (2019-nCoV)', 'Colleges and Universities', 'Poverty']",https://www.nytimes.com/2021/03/30/world/college-students-economic-struggle.html,article,News,"{'neg': 0.151, 'neu': 0.849, 'pos': 0.0, 'compound': -0.802}"
Child Care in Crisis: Can Biden’s Plan Save It?,2021-04-01,0.3899,-0.01416666666666667,U.S.,"Child-care centers improvised during the pandemic, scrambling to stay open with razor-thin budgets and little government guidance. How long will the short-term solutions last?","['Child Care', 'Labor and Jobs', 'Women and Girls', 'Coronavirus (2019-nCoV)', 'Small Business']",https://www.nytimes.com/2021/03/31/us/child-care-centers-crisis.html,article,News,"{'neg': 0.117, 'neu': 0.714, 'pos': 0.169, 'compound': 0.3899}"
"Quite a Job, You Have to Admit",2021-04-01,0.6486,0.48333333333333334,Crosswords & Games,Sam Ezersky wishes us all a happy April Fools’ Day.,['Crossword Puzzles'],https://www.nytimes.com/2021/03/31/crosswords/daily-puzzle-2021-04-01.html,article,News,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.6486}"
"Corrections: April 1, 2021",2021-04-01,0.0,0.16666666666666666,Corrections,"Corrections that appeared in print on Thursday, April 1, 2021.",[],https://www.nytimes.com/2021/03/31/corrections/corrections-april-1-2021.html,article,Correction,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Quotation of the Day: Euphoria and Sorrow as Nursing Homes Reopen a Year Later,2021-04-01,0.2263,0.08333333333333333,Today’s Paper,"Quotation of the Day for Thursday, April 1, 2021.",[],https://www.nytimes.com/2021/03/31/todayspaper/quotation-of-the-day-euphoria-and-sorrow-as-nursing-homes-reopen-a-year-later.html,article,Quote,"{'neg': 0.078, 'neu': 0.824, 'pos': 0.098, 'compound': 0.2263}"
"Ray LaHood, Obama’s transportation secretary, failed to disclose a $50,000 check from an associate of a Lebanese-Nigerian billionaire.",2021-04-01,-0.5106,-0.16666666666666669,U.S.,"Mr. LaHood did not disclose the check on two government ethics forms, federal prosecutors said.","['Ethics and Official Misconduct', 'Fines (Penalties)']",https://www.nytimes.com/2021/03/31/us/ray-lahood-billionaire-check.html,article,News,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.5106}"
Hong Kong Court Convicts Democracy Leaders Over Protest March,2021-04-01,0.1513,0.38888888888888884,World,"The defendants, including the media tycoon Jimmy Lai and the barristers Martin Lee and Margaret Ng, were some of the city’s most prominent activists.","['Hong Kong Protests (2019)', 'Politics and Government', 'Freedom of Speech and Expression', 'Freedom of Assembly', 'Political Prisoners']",https://www.nytimes.com/2021/03/31/world/asia/hong-kong-democracy-protest.html,article,News,"{'neg': 0.035, 'neu': 0.919, 'pos': 0.046, 'compound': 0.1513}"
A 9-Year-Old Boy Is Among 4 Killed in Southern California Shooting,2021-04-01,-0.9001,-0.046666666666666676,U.S.,"The authorities said the boy died in the arms of a woman, believed to be his mother, who was trying to protect him. The woman was wounded and hospitalized.","['Mass Shootings', 'Murders, Attempted Murders and Homicides']",https://www.nytimes.com/2021/03/31/us/shooting-orange-california.html,article,News,"{'neg': 0.179, 'neu': 0.783, 'pos': 0.037, 'compound': -0.9001}"
Tiger Woods Update: Sheriff Says Crash Investigation Is Done,2021-04-01,-0.4019,0.16666666666666666,Sports,"Alex Villanueva, the sheriff of Los Angeles County, said that the authorities would need Woods’s permission to release the results of the investigation.","['Traffic Accidents and Safety', 'Golf']",https://www.nytimes.com/2021/03/31/sports/golf/tiger-woods-crash-investigation.html,article,News,"{'neg': 0.058, 'neu': 0.942, 'pos': 0.0, 'compound': -0.4019}"
