headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
Use of Ad-Blocking Software Rises by 30% Worldwide,2017-02-01,-0.4404,"{'neg': 0.055, 'neu': 0.945, 'pos': 0.0, 'compound': -0.4404}",Technology,People are increasingly using the technology on their mobile devices and computers to block intrusive advertisements while surfing the web.,"['Online Advertising', 'Smartphones', 'Computers and the Internet']",https://www.nytimes.com/2017/01/31/technology/ad-blocking-internet.html,article,News
"A Polluted Site, and a Potential Mess for the Trump Organization",2017-02-01,-0.6705,"{'neg': 0.118, 'neu': 0.882, 'pos': 0.0, 'compound': -0.6705}",Business Day,"The organization wants the State of South Carolina to limit its cleanup costs at an industrial site, but it may not be eligible for the program to which it applied.",[],https://www.nytimes.com/2017/01/31/business/charleston-sc-titan-atlas-manufacturing.html,article,News
Fighting in Ukraine May Complicate U.S. Thaw With Russia,2017-02-01,-0.7817,"{'neg': 0.162, 'neu': 0.761, 'pos': 0.077, 'compound': -0.7817}",World,"The outbreak of violence killed at least eight Ukrainian soldiers and three on the pro-Russian side, shifting the front lines by only a few hundred yards in spots.",['United States International Relations'],https://www.nytimes.com/2017/01/31/world/europe/eastern-ukraine-civil-war-russia.html,article,News
U.S. Airstrikes Hit Taliban After Attack on an Afghan Army Post,2017-02-01,-0.8587,"{'neg': 0.159, 'neu': 0.809, 'pos': 0.032, 'compound': -0.8587}",World,"The airstrikes in an embattled district of Helmand Province came after the militants tunneled under an army post and set off explosives, killing Afghan soldiers.","['United States Defense and Military Forces', 'Afghanistan War (2001-14)']",https://www.nytimes.com/2017/01/31/world/asia/afghanistan-taliban-helmand.html,article,News
A Diplomat’s Proper Channel of Dissent,2017-02-01,0.0387,"{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.0387}",Opinion,"Expressing opposition prevents group think, but you will get more listeners if you do it privately.","['United States International Relations', 'United States Politics and Government', 'Diplomatic Service, Embassies and Consulates', 'Immigration and Emigration', 'Executive Orders and Memorandums', 'Refugees and Displaced Persons']",https://www.nytimes.com/2017/01/31/opinion/a-diplomats-proper-channel-of-dissent.html,article,Op-Ed
"In Etan Patz Case, Prosecutors Point to Pedro Hernandez’s Words",2017-02-01,-0.7351,"{'neg': 0.16, 'neu': 0.772, 'pos': 0.068, 'compound': -0.7351}",New York,Closing arguments made by the prosecution rested heavily on video clips of Mr. Hernandez and testimony about what he had told relatives and friends.,"['Murders, Attempted Murders and Homicides']",https://www.nytimes.com/2017/01/31/nyregion/etan-patz-case-pedro-hernandezs.html,article,News
What You Need to Know About #DeleteUber,2017-02-01,-0.4215,"{'neg': 0.071, 'neu': 0.9, 'pos': 0.028, 'compound': -0.4215}",Technology,The ride-hailing company has been forced to contend with an unexpected event: a surge in users seeking to delete their accounts.,"['Car Services and Livery Cabs', 'Taxicabs and Taxicab Drivers', 'Immigration and Emigration']",https://www.nytimes.com/2017/01/31/business/delete-uber.html,article,News
The Depp Conundrum: Who Should Keep Tabs on the Money?,2017-02-01,-0.6298,"{'neg': 0.116, 'neu': 0.847, 'pos': 0.037, 'compound': -0.6298}",Business Day,New fiduciary rules are at the center of a battle in the federal government. Is Johnny Depp’s lawsuit against his financial advisers an argument for or against them?,"['Financial Planners', 'United States Politics and Government', 'Law and Legislation', 'Suits and Litigation (Civil)']",https://www.nytimes.com/2017/01/31/business/johnny-depp-management-group.html,article,News
Conservatives Alienated by Boy Scouts’ Shift on Transgender Policy,2017-02-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",U.S.,Conservative groups view the decision by the Boy Scouts of America as another sign that the organization is moving away from its traditions.,"['Christians and Christianity', 'Transgender and Transsexuals', 'Homosexuality and Bisexuality', 'Freedom of Religion']",https://www.nytimes.com/2017/01/31/us/boy-scouts-transgender-policy.html,article,News
"Wash Me, S’Il Vous Plaît",2017-02-01,-0.4404,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.4404}",New York,Recalling a universal message on a dirty car window.,['Automobiles'],https://www.nytimes.com/2017/01/31/nyregion/metropolitan-diary-wash-me-sil-vous-plait.html,article,Brief
Where Neil Gorsuch Would Fit on the Supreme Court,2017-02-01,0.7269,"{'neg': 0.0, 'neu': 0.826, 'pos': 0.174, 'compound': 0.7269}",U.S.,Where Trump’s nominee falls on the court’s ideological spectrum.,['Conservatism (US Politics)'],https://www.nytimes.com/interactive/2017/01/31/us/politics/trump-supreme-court-nominee.html,multimedia,Interactive Feature
"In Judge Neil Gorsuch, an Echo of Scalia in Philosophy and Style",2017-02-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",U.S.,"Judge Gorsuch, 49, is an originalist, meaning he tries to interpret the Constitution consistently with the understanding of those who drafted and adopted it.","['Appointments and Executive Changes', 'Constitution (US)', 'United States Politics and Government']",https://www.nytimes.com/2017/01/31/us/politics/neil-gorsuch-supreme-court-nominee.html,article,News
