headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
‘Battling a Demon’: Drifter Sought Help Before Texas Church Shooting,2020-01-01,0.6486,"{'neg': 0.0, 'neu': 0.888, 'pos': 0.112, 'compound': 0.6486}",U.S.,"The gunman who shot two parishioners at the West Freeway Church of Christ had come earlier looking for food and money, church leaders said.","['Churches (Buildings)', 'Murders, Attempted Murders and Homicides']",https://www.nytimes.com/2019/12/31/us/texas-church-shooting-white-settlement.html,article,News
Protect Veterans From Fraud,2020-01-01,0.7951,"{'neg': 0.0, 'neu': 0.808, 'pos': 0.192, 'compound': 0.7951}",Opinion,Congress could do much more to protect Americans who have served their country from predatory for-profit colleges.,"['Veterans', 'For-Profit Schools', 'Financial Aid (Education)', 'Frauds and Swindling', 'Colleges and Universities']",https://www.nytimes.com/2019/12/31/opinion/for-profit-college-veterans.html,article,Editorial
F.D.A. Plans to Ban Most E-Cigarette Flavors but Menthol,2020-01-01,-0.8555,"{'neg': 0.209, 'neu': 0.727, 'pos': 0.064, 'compound': -0.8555}",Health,The tobacco and vaping industries and conservative allies intensively lobbied against a ban on popular flavored e-cigarettes.,"['E-Cigarettes', 'Recalls and Bans of Products', 'Menthol', 'Nicotine', 'Teenagers and Adolescence', 'Regulation and Deregulation of Industry', 'Smoking and Tobacco', 'Lobbying and Lobbyists', 'United States Politics and Government', 'your-feed-healthcare']",https://www.nytimes.com/2019/12/31/health/e-cigarettes-flavor-ban-trump.html,article,News
‘It’s Green and Slimy’,2020-01-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Crosswords & Games,Christina Iverson and Jeff Chen ring in the New Year.,['Crossword Puzzles'],https://www.nytimes.com/2019/12/31/crosswords/daily-puzzle-2020-01-01.html,article,News
"Corrections: Jan. 1, 2020",2020-01-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Corrections,"Corrections that appeared in print on Wednesday, Jan. 1, 2020.",[],https://www.nytimes.com/2019/12/31/pageoneplus/corrections-jan-1-2020.html,article,Correction
Quotation of the Day: Ex-SEAL Now Pitching Products and President,2020-01-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Today’s Paper,"Quotation of the Day for Wednesday, January 1, 2020.",[],https://www.nytimes.com/2019/12/31/todayspaper/quotation-of-the-day-ex-seal-now-pitching-products-and-president.html,article,Quote
Hospitals and Schools Are Being Bombed in Syria. A U.N. Inquiry Is Limited. We Took a Deeper Look.,2020-01-01,-0.5419,"{'neg': 0.076, 'neu': 0.893, 'pos': 0.03, 'compound': -0.5419}",World,Attacks on civilian sites in Syria have grown so frequent that the U.N. launched a rare inquiry to document the violations. But the investigation is limited in scope and the final report may not be made public. The New York Times did its own investigation. Here’s what we found.,"['Defense and Military Forces', 'Civilian Casualties']",https://www.nytimes.com/interactive/2019/12/31/world/middleeast/syria-united-nations-investigation.html,multimedia,Interactive Feature
Hong Kong Protesters Return to Streets as New Year Begins,2020-01-01,-0.3187,"{'neg': 0.082, 'neu': 0.877, 'pos': 0.041, 'compound': -0.3187}",World,"Weeks of relative calm ended on Wednesday, as people marched in large numbers and the police deployed tear gas and pepper spray.","['Demonstrations, Protests and Riots', 'Hong Kong Protests (2019)', 'New Year']",https://www.nytimes.com/2020/01/01/world/asia/hong-kong-protest.html,article,News
Kevin Spacey Accuser’s Estate Drops Sexual Assault Lawsuit,2020-01-01,-0.9042,"{'neg': 0.219, 'neu': 0.781, 'pos': 0.0, 'compound': -0.9042}",U.S.,"A Los Angeles County massage therapist, who died in September, had accused Mr. Spacey of groping him and making improper advances during a 2016 massage.","['Sexual Harassment', 'Suits and Litigation (Civil)', 'Movies', '#MeToo Movement', 'Television', 'ACTORS AND ACTRESSES', 'Massage', 'Sex Crimes', 'Academy Awards (Oscars)', 'Golden Globes (Awards)', 'Tony Awards (Theater Awards)']",https://www.nytimes.com/2019/12/31/us/kevin-spacey-lawsuit-accuser.html,article,News
Dizzying Day for Trump Caps a Year Full of Them,2020-01-01,-0.7964,"{'neg': 0.124, 'neu': 0.876, 'pos': 0.0, 'compound': -0.7964}",U.S.,"The president monitored a Middle East crisis from his golf club, threatened Iran and implored reporters to be “honorable” in 2020.","['United States International Relations', 'United States Politics and Government', 'Trump-Ukraine Whistle-blower Complaint and Impeachment Inquiry']",https://www.nytimes.com/2019/12/31/us/politics/trump-new-years-eve.html,article,News
