headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
How Photography Exploits the Vulnerable,2018-09-01,-0.34,"{'neg': 0.059, 'neu': 0.941, 'pos': 0.0, 'compound': -0.34}",Opinion,There are too many gratuitous photos of people jamming needles into their bodies and bloated corpses carried out of filthy homes.,"['Photography', 'Drug Abuse and Traffic', 'News and News Media', 'Opioids and Opiates']",https://www.nytimes.com/2018/08/31/opinion/photography-exploitation-opioid.html,article,Editorial
Quotation of the Day: India’s Regulators Seek to Rein In Internet Giants,2018-09-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Today’s Paper,"Quotation of the Day for Saturday, September 1, 2018.",[],https://www.nytimes.com/2018/08/31/todayspaper/quotation-of-the-day-indias-leaders-seek-to-rein-in-internet-giants.html,article,Quote
Vultures! Elections! It’s September!,2018-09-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Opinion,"We have seen the future, and it’s in North Dakota.","['Midterm Elections (2018)', 'Elections, Senate', 'United States Politics and Government']",https://www.nytimes.com/2018/08/31/opinion/north-dakota-senate.html,article,Op-Ed
"At U.S. Open, Powers That Be Hold Off Powers That Will Be",2018-09-01,-0.4019,"{'neg': 0.079, 'neu': 0.885, 'pos': 0.036, 'compound': -0.4019}",Sports,"Karen Khachanov, 22, lost to Rafael Nadal in four sets. Denis Shapovalov, 19, pushed Kevin Anderson to five sets. Taylor Fritz, 20, fell to Dominic Thiem.","['Tennis', 'United States Open (Tennis)']",https://www.nytimes.com/2018/08/31/sports/tennis/us-open-nadal-khachanov.html,article,News
McCain and a Requiem for the American Century,2018-09-01,0.8149,"{'neg': 0.047, 'neu': 0.773, 'pos': 0.181, 'compound': 0.8149}",Opinion,"Torture imbued him with a humanity that transcended politics, and a belief in the centrality of American values in the battle for freedom.",['United States Politics and Government'],https://www.nytimes.com/2018/08/31/opinion/mccain-death-american-legacy.html,article,Op-Ed
Addiction Doesn’t Always Last a Lifetime ,2018-09-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Opinion,"In fact, most people recover, often on their own. Here are some of their stories.","['Drug Abuse and Traffic', 'Addiction (Psychology)', 'Opioids and Opiates', 'Buprenorphine (Drug)', 'Heroin', 'Therapy and Rehabilitation']",https://www.nytimes.com/2018/08/31/opinion/addiction-recovery-survivors.html,article,Editorial
California Lawmakers Pass Nation’s Toughest Net Neutrality Law,2018-09-01,-0.1779,"{'neg': 0.124, 'neu': 0.784, 'pos': 0.092, 'compound': -0.1779}",Technology,"The bill is sure to set up a fight between broadband providers, like Verizon and AT&T, and consumer groups.","['Net Neutrality', 'Law and Legislation', 'United States Politics and Government']",https://www.nytimes.com/2018/08/31/technology/california-net-neutrality-bill.html,article,News
"Corrections: September 1, 2018",2018-09-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Corrections,"Corrections appearing in print on Saturday, September 1, 2018.",[],https://www.nytimes.com/2018/08/31/pageoneplus/corrections-september-1-2018.html,article,Correction
Schools Can Keep Kids Safe Without Giving Their Teachers Guns,2018-09-01,0.2177,"{'neg': 0.051, 'neu': 0.876, 'pos': 0.073, 'compound': 0.2177}",Opinion,Betsy DeVos’s latest scheme flies in the face of expert advice. ,"['School Shootings and Armed Attacks', 'Firearms', 'Education (K-12)', 'Teachers and School Employees', 'United States Politics and Government']",https://www.nytimes.com/2018/08/31/opinion/schools-can-keep-kids-safe-without-giving-their-teachers-guns.html,article,Editorial
A Tumultuous Week for Justin Trudeau: The Canada Letter,2018-09-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",World,Prime Minister Justin Trudeau’s government was hit with a trade ultimatum from President Trump and a court ruling on a fraught pipeline issue.,[],https://www.nytimes.com/2018/08/31/world/canada/a-tumultuous-week-for-justin-trudeau-the-canada-letter.html,article,News
