headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
April Fools’ With the Epitome of Cool,2017-05-01,0.0,0.2583333333333333,New York,Targeting a hipster icon with a corny prank.,"[""APRIL FOOL'S DAY"", 'Hoaxes and Pranks']",https://www.nytimes.com/2017/04/30/nyregion/metropolitan-diary-april-fools-with-the-epitome-of-cool.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"City Pays for Mets Moment, Guided by Firm With Troubled Ties to de Blasio",2017-05-01,-0.5574,-0.20476190476190476,New York,A producer’s idea to recreate a World Series celebration for TV became reality with the help of a lobbying firm whose ties to Mayor Bill de Blasio were part of investigations last year.,"['Baseball', 'Reality Television', 'World Series', 'Lobbying and Lobbyists']",https://www.nytimes.com/2017/04/30/nyregion/mets-mayor-bill-de-blasio.html,article,News,"{'neg': 0.097, 'neu': 0.867, 'pos': 0.036, 'compound': -0.5574}"
"Review: Philip Glass’s ‘Madrigal Opera,’ Transparent and Opaque",2017-05-01,-0.1531,0.16666666666666666,Arts,"The hourlong work has no plot, characters or libretto, but features six singers, a violin and a viola. Can a composer still build an opera with them?",['Opera'],https://www.nytimes.com/2017/04/30/arts/music/review-philip-glasss-madrigal-opera-transparent-and-opaque.html,article,Review,"{'neg': 0.035, 'neu': 0.965, 'pos': 0.0, 'compound': -0.1531}"
"Emboldened by Trump but Divided by Generations, Democrats Look to 2020",2017-05-01,0.5499,0.29523809523809524,U.S.,"In a largely leaderless party, two distinct groups are emerging, defined mostly by age and national stature.",['Presidential Election of 2020'],https://www.nytimes.com/2017/04/30/us/politics/democrats-2020.html,article,News,"{'neg': 0.0, 'neu': 0.931, 'pos': 0.069, 'compound': 0.5499}"
Murdochs’ TV Deal in Britain Hinges on 3 Words: ‘Fit and Proper’,2017-05-01,0.5267,0.1111111111111111,Business Day,"A regulatory standard complicates a bid by Rupert Murdoch and his family, owners of the scandal-plagued Fox News, to gain complete control of the Sky satellite and cable network.","['News and News Media', 'Television']",https://www.nytimes.com/2017/04/30/business/media/murdochs-sky-deal-britain.html,article,News,"{'neg': 0.0, 'neu': 0.945, 'pos': 0.055, 'compound': 0.5267}"
Shaming Children So Parents Will Pay the School Lunch Bill,2017-05-01,-0.8413,0.2888888888888889,Well,"As school districts struggle under the burden of unpaid lunch debt, many of them resort to tactics that stigmatize children.","['Lunch and Breakfast Programs', 'Education (K-12)', 'Children and Childhood', 'Food']",https://www.nytimes.com/2017/04/30/well/family/lunch-shaming-children-parents-school-bills.html,article,News,"{'neg': 0.19, 'neu': 0.81, 'pos': 0.0, 'compound': -0.8413}"
"Jazz Top the Clippers in Game 7, Escorting Them to Another Early Exit",2017-05-01,0.5267,0.18095238095238095,Sports,"Utah, led by Gordon Hayward’s 26 points, knocked Chris Paul and his teammates out of the playoffs and into an uncertain future.","['Basketball', 'Playoff Games']",https://www.nytimes.com/2017/04/30/sports/basketball/playoffs-los-angeles-clippers-utah-jazz.html,article,News,"{'neg': 0.033, 'neu': 0.881, 'pos': 0.085, 'compound': 0.5267}"
"Fed Will Update Economic Outlook, and April Jobs Data Is Ahead",2017-05-01,0.0,0.18333333333333335,Business Day,"The Federal Reserve will meet Tuesday and Wednesday, and on Friday analysts expect to hear that 193,000 jobs were added in April.","['United States Economy', 'Banking and Financial Institutions', 'Labor and Jobs', 'AIRLINES AND AIRPLANES', 'Automobiles']",https://www.nytimes.com/2017/04/30/business/fed-will-update-economic-outlook-and-april-jobs-data-is-ahead.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Entertaining Loss Doesn’t Dim Luster of Yankees’ Opening Month,2017-05-01,0.4588,0.043333333333333314,Sports,The Yankees tied the score in the ninth inning against the Orioles but came undone in the 11th. They now share the second-best record in the majors.,['Baseball'],https://www.nytimes.com/2017/04/30/sports/baseball/new-york-yankees-baltimore-orioles.html,article,News,"{'neg': 0.051, 'neu': 0.853, 'pos': 0.096, 'compound': 0.4588}"
"Sebastian Gorka Likely to Be Out of White House Role, Officials Say",2017-05-01,0.3182,0.03333333333333333,U.S.,"Mr. Gorka, an adviser on national security who has attracted criticism for his links to far-right groups and his hard-line views on Islam, is to take on another administration role.","['Appointments and Executive Changes', 'United States Politics and Government']",https://www.nytimes.com/2017/04/30/us/politics/sebastian-gorka-white-house.html,article,News,"{'neg': 0.044, 'neu': 0.877, 'pos': 0.079, 'compound': 0.3182}"
"‘The Leftovers’ Season 3, Episode 3 Recap: Down Under",2017-05-01,0.1531,-0.06273148148148149,Arts,"This week, Kevin Sr. goes a-wandering: What’s a little cultural appropriation when you’ve got a solid messiah complex?",['Television'],https://www.nytimes.com/2017/04/30/arts/television/the-leftovers-recap-crazy-whitefella-thinking.html,article,Review,"{'neg': 0.0, 'neu': 0.959, 'pos': 0.041, 'compound': 0.1531}"
Quotation of the Day: Shaming Children So Parents Will Pay the School Lunch Bill,2017-05-01,-0.1689,0.16666666666666666,Today’s Paper,"Quotation of the Day for Monday, May 1, 2017.",[],https://www.nytimes.com/2017/04/30/todayspaper/quotation-of-the-day-shaming-children-so-parents-will-pay-the-school-lunch-bill.html,article,News,"{'neg': 0.045, 'neu': 0.955, 'pos': 0.0, 'compound': -0.1689}"
Bipartisan Agreement Reached to Fund Government Through September,2017-05-01,0.8689,0.25555555555555554,U.S.,"Congressional leaders reached a spending agreement on Sunday, aides from both parties said, effectively ending the threat of a government shutdown next weekend.","['United States Politics and Government', 'Federal Budget (US)']",https://www.nytimes.com/2017/04/30/us/politics/bipartisan-agreement-reached-to-fund-government-through-september.html,article,News,"{'neg': 0.057, 'neu': 0.671, 'pos': 0.272, 'compound': 0.8689}"
"‘Billions’ Season 2, Episode 11 Recap: Even the Losers Get Plucky",2017-05-01,0.4939,0.22916666666666666,Arts,"It’s a wonderful feeling to get hoodwinked by masterly plotting, and this episode is the long-term play that has been brewing all season long.",['Television'],https://www.nytimes.com/2017/04/30/arts/television/billions-recap-golden-frog-time.html,article,Review,"{'neg': 0.063, 'neu': 0.796, 'pos': 0.141, 'compound': 0.4939}"
21st Century Fox and Blackstone Said to Be Interested in Buying Tribune Media,2017-05-01,0.7579,0.08333333333333333,Business Day,"Recent changes at the F.C.C. governing station ownership would allow Fox and Blackstone to vie for 42 television stations, valued at about $3.2 billion.","['Television', 'Mergers, Acquisitions and Divestitures', 'Regulation and Deregulation of Industry', 'News and News Media']",https://www.nytimes.com/2017/04/30/business/21st-century-fox-and-blackstone-said-to-be-interested-in-buying-tribune-media.html,article,News,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.7579}"
Celtics Open Conference Semifinal by Beating Wizards,2017-05-01,-0.2023,0.11333333333333333,Sports,"Isaiah Thomas, a day after attending his sister’s funeral, scored 33 points as Boston won Game 1.",['Basketball'],https://www.nytimes.com/2017/04/30/sports/basketball/celtics-open-conference-semifinal-by-beating-wizards.html,article,News,"{'neg': 0.11, 'neu': 0.817, 'pos': 0.074, 'compound': -0.2023}"
William McChesney Martin and President Lyndon B. Johnson,2017-05-01,0.0,0.16666666666666666,Business Day,William McChesney Martin and President Lyndon B. Johnson,[],https://www.nytimes.com/audio/2017/04/30/business/comboNov231964.html,audio,,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Conversations Between Warhol and Capote to Be Adapted Into a Play,2017-05-01,0.34,0.08333333333333333,Theater,"“Warhol Capote,” based on exchanges between the two artists in the 1970s, will come to the American Repertory Theater in September.",['Theater'],https://www.nytimes.com/2017/05/01/theater/conversations-between-warhol-and-capote-to-be-adapted-into-a-play.html,article,News,"{'neg': 0.0, 'neu': 0.953, 'pos': 0.047, 'compound': 0.34}"
"France, Russia, Donald Trump: Your Monday Briefing",2017-05-01,0.0,0.16666666666666666,Briefing,Here’s what you need to know to start your day.,[],https://www.nytimes.com/2017/05/01/briefing/france-russia-donald-trump.html,article,briefing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
At Home in Beijing,2017-05-01,0.34,0.1515151515151515,Travel,"Where to eat, play and people-watch, from someone who lives there.",['Travel and Vacations'],https://www.nytimes.com/2017/05/01/travel/where-to-go-in-beijing-china.html,article,News,"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.34}"
