headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
How to End a Forever War,2020-12-01,0.1872,"{'neg': 0.057, 'neu': 0.866, 'pos': 0.078, 'compound': 0.1872}",Opinion,The Biden administration should support a regional effort to stabilize Afghanistan.,"['Afghanistan War (2001- )', 'Terrorism', 'Peace Process', 'United States International Relations', 'United States Defense and Military Forces']",https://www.nytimes.com/2020/11/30/opinion/afghanistan-withdrawal-biden.html,article,Editorial
"Citing Pardon, Justice Dept. Asks Judge to ‘Immediately’ Dismiss Flynn Case",2020-12-01,0.8779,"{'neg': 0.045, 'neu': 0.736, 'pos': 0.219, 'compound': 0.8779}",U.S.,Prosecutors also revealed in a court filing that President Trump’s pardon of Michael Flynn was written broadly to end the former aide’s legal jeopardy.,"['Russian Interference in 2016 US Elections and Ties to Trump Associates', 'Amnesties, Commutations and Pardons', 'United States Politics and Government', 'Special Prosecutors (Independent Counsel)']",https://www.nytimes.com/2020/11/30/us/politics/michael-flynn-pardon.html,article,News
"As Trump Attacks Georgia Republicans, Party Worries About Senate Races",2020-12-01,-0.93,"{'neg': 0.253, 'neu': 0.708, 'pos': 0.039, 'compound': -0.93}",U.S.,Some Republicans in the state fear that the doubt President Trump is sowing about the fairness of the election could depress turnout for the crucial Senate runoff races.,"['Presidential Election of 2020', 'Elections, Senate', 'United States Politics and Government']",https://www.nytimes.com/2020/11/30/us/politics/georgia-republicans-trump-kemp.html,article,News
Biden’s Inauguration: Expect Smaller Crowds and More Social Distancing,2020-12-01,0.296,"{'neg': 0.045, 'neu': 0.876, 'pos': 0.08, 'compound': 0.296}",U.S.,"Unlike President Trump, who was expected to shrug off health threats in favor of huge crowds, President-elect Joseph R. Biden Jr. has indicated that his inauguration will not be business as usual.","['Inaugurations', 'Presidents and Presidency (US)', 'Presidential Transition (US)', 'Presidential Election of 2020', 'United States Politics and Government', 'Coronavirus (2019-nCoV)', 'Coronavirus Risks and Safety Concerns']",https://www.nytimes.com/2020/11/30/us/politics/biden-inauguration.html,article,News
"Thank You, Justice Gorsuch",2020-12-01,0.9614,"{'neg': 0.0, 'neu': 0.549, 'pos': 0.451, 'compound': 0.9614}",Opinion,Liberals will one day cite and celebrate this defense of religious liberty.,"['Constitution (US)', 'Places of Worship']",https://www.nytimes.com/2020/11/30/opinion/cuomo-gorsuch-coronavirus.html,article,Op-Ed
De Blasio Has Actually Got Something Right,2020-12-01,0.197,"{'neg': 0.074, 'neu': 0.837, 'pos': 0.089, 'compound': 0.197}",Opinion,The mayor so many love to hate is doing more than most to get kids back in class.,"['Coronavirus Reopenings', 'Education (K-12)', 'Teachers and School Employees', 'Mayors']",https://www.nytimes.com/2020/11/30/opinion/deblasio-covid-schools-reopening.html,article,Op-Ed
Quotation of the Day: U.S. Faces a New Crisis: ‘An Extreme Level of Teacher Burnout’,2020-12-01,-0.6249,"{'neg': 0.097, 'neu': 0.903, 'pos': 0.0, 'compound': -0.6249}",Today’s Paper,"Quotation of the Day for Tuesday, December 1, 2020.",[],https://www.nytimes.com/2020/11/30/todayspaper/quotation-of-the-day-us-faces-a-new-crisis-an-extreme-level-of-teacher-burnout.html,article,Quote
"Corrections: Dec. 1, 2020",2020-12-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Corrections,"Corrections that appeared in print on Tuesday, Dec. 1, 2020.",[],https://www.nytimes.com/2020/11/30/pageoneplus/corrections-dec-1-2020.html,article,Correction
"Dr. Atlas, Trump’s coronavirus adviser, resigns.",2020-12-01,-0.5267,"{'neg': 0.078, 'neu': 0.922, 'pos': 0.0, 'compound': -0.5267}",U.S.,"Dr. Scott W. Atlas, the former Stanford University radiologist who espoused disputed theories and rankled government scientists while advising President Trump on the pandemic, has resigned his White House position, according to a senior government official.",['internal-essential'],https://www.nytimes.com/2020/11/30/us/dr-atlas-trumps-coronavirus-adviser-resigns.html,article,News
"Scott Atlas, a Trump Coronavirus Adviser, Resigns",2020-12-01,-0.1027,"{'neg': 0.079, 'neu': 0.869, 'pos': 0.052, 'compound': -0.1027}",U.S.,"Dr. Atlas joined the White House in August as a special government employee for a limited term, prompting clashes with government scientists over his contentious theories.","['Coronavirus (2019-nCoV)', 'United States Politics and Government', 'Appointments and Executive Changes']",https://www.nytimes.com/2020/11/30/us/politics/scott-atlas-trump-coronavirus-adviser-resigns.html,article,News
