headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
Attack of the Fanatical Centrists,2019-02-01,-0.765,"{'neg': 0.275, 'neu': 0.659, 'pos': 0.066, 'compound': -0.765}",Opinion,"Of obsessions, vanity and delusions of superiority.","['Health Insurance and Managed Care', 'United States Politics and Government', 'Medicare', 'Presidential Election of 2020']",https://www.nytimes.com/2019/01/31/opinion/howard-schultz-president.html,article,Op-Ed
"Trump Returns This Weekend to Mar-a-Lago, His Gilded Comfort Zone",2019-02-01,0.9465,"{'neg': 0.0, 'neu': 0.753, 'pos': 0.247, 'compound': 0.9465}",U.S.,"In his Palm Beach cocoon, President Trump is in his most comfortable mode, friends and allies say: playing the host in front of an adoring crowd.","['United States Politics and Government', 'Travel and Vacations']",https://www.nytimes.com/2019/01/31/us/politics/mar-a-lago-trump.html,article,News
N.F.L. Players Union Says Retiree Benefits Are a Priority,2019-02-01,0.9499,"{'neg': 0.0, 'neu': 0.73, 'pos': 0.27, 'compound': 0.9499}",Sports,"The association will push for more generous benefits for all retired players in negotiations over the collective bargaining agreement, which expires after the 2020 season.",['Football'],https://www.nytimes.com/2019/01/31/sports/nflpa-demaurice-smith.html,article,News
"Trump Administration Eases Regulations on Gun Exports, Raising Concerns",2019-02-01,-0.6059,"{'neg': 0.148, 'neu': 0.797, 'pos': 0.055, 'compound': -0.6059}",U.S.,"The administration’s plan to shift commercial gun export regulations from the State Department to the Commerce Department should boost overseas sales, but Democrats are worried.","['United States Politics and Government', 'Arms Trade', 'Gun Control', 'Newtown, Conn, Shooting (2012)', 'Regulation and Deregulation of Industry']",https://www.nytimes.com/2019/01/31/us/politics/gun-exports-trump.html,article,News
"18 Accidents, 32 Dead. But Crash Site Clues May Have Been Lost in Shutdown.",2019-02-01,-0.9696,"{'neg': 0.318, 'neu': 0.682, 'pos': 0.0, 'compound': -0.9696}",U.S.,Important evidence in at least 18 fatal accidents could have been lost because so many federal investigators were on furlough.,"['Shutdowns (Institutional)', 'Aviation Accidents, Safety and Disasters']",https://www.nytimes.com/2019/01/31/us/ntsb-accidents-government-shutdown.html,article,News
"For Black History Month, Remarkable Women and Men We Overlooked Since 1851",2019-02-01,0.5267,"{'neg': 0.04, 'neu': 0.894, 'pos': 0.066, 'compound': 0.5267}",Obituaries,The ragtime master Scott Joplin and the blues singer Gladys Bentley are among many black men and women whose deaths The New York Times overlooked — until now.,"['Blacks', 'Black People', 'Race and Ethnicity']",https://www.nytimes.com/interactive/2019/obituaries/black-history-month-overlooked.html,multimedia,Interactive Feature
"Major Taylor, World Champion Bicyclist",2019-02-01,0.802,"{'neg': 0.12, 'neu': 0.627, 'pos': 0.253, 'compound': 0.802}",Obituaries,"The first African-American cycling champion, fans called him the Black Cyclone. He blew past terrifying threats, setting records with an elegant grace.","['Blacks', 'Black People', 'Race and Ethnicity', 'Cycling, Track', 'Discrimination', 'Biographical Information']",https://www.nytimes.com/interactive/2019/obituaries/major-taylor-overlooked.html,multimedia,Interactive Feature
Moses Fleetwood Walker,2019-02-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Obituaries,It turns out Jackie Robinson was not the first big league baseball player known to be African-American. That distinction belongs to Moses Fleetwood Walker.,"['Biographical Information', 'Baseball', 'Blacks', 'Black People', 'Race and Ethnicity', 'Discrimination']",https://www.nytimes.com/interactive/2019/obituaries/moses-fleetwood-walker-overlooked.html,multimedia,Interactive Feature
"Philip Payton, the Real Estate Mogul Who Made Harlem a Black Mecca",2019-02-01,0.6486,"{'neg': 0.0, 'neu': 0.88, 'pos': 0.12, 'compound': 0.6486}",Obituaries,An African-American entrepreneur seized the chance to draw black New Yorkers from slums to a comfortable white enclave.,"['Real Estate and Housing (Residential)', 'Blacks', 'Black People', 'Discrimination', 'Race and Ethnicity', 'Biographical Information']",https://www.nytimes.com/interactive/2019/obituaries/philip-a-payton-jr-overlooked.html,multimedia,Interactive Feature
"Elizabeth Jennings, Who Desegregated New York’s Trolleys",2019-02-01,-0.3818,"{'neg': 0.06, 'neu': 0.94, 'pos': 0.0, 'compound': -0.3818}",Obituaries,"She had been primed, by temperament and family ties, to fight for racial equality. Her moment came on a streetcar ride to church.","['Blacks', 'Black People', 'Race and Ethnicity', 'Discrimination', 'Transportation', 'Segregation and Desegregation', 'Biographical Information']",https://www.nytimes.com/interactive/2019/obituaries/elizabeth-jennings-overlooked.html,multimedia,Interactive Feature
