headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
Anyone Else Want to See Trump ‘Shut Up’?,2020-10-01,-0.4329,"{'neg': 0.099, 'neu': 0.827, 'pos': 0.074, 'compound': -0.4329}",Opinion,Our president as a terrible toddler.,"['Presidential Election of 2020', 'Debates (Political)']",https://www.nytimes.com/2020/09/30/opinion/presidential-debate-trump.html,article,Op-Ed
How the Lakers Beat the Heat in Game 1 of the N.B.A. Finals,2020-10-01,-0.5859,"{'neg': 0.089, 'neu': 0.911, 'pos': 0.0, 'compound': -0.5859}",Sports,"The Lakers fell into a deficit early but fought back with a string of 3-pointers. The Heat were hobbled by injuries, a concern for the rest of the series.","['Basketball', 'NBA Championship', 'Playoff Games']",https://www.nytimes.com/2020/09/30/sports/basketball/lakers-heat-live-game-1.html,article,News
Trump Calls on Extremists to ‘Stand By’,2020-10-01,-0.5994,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.5994}",Opinion,"Instead of condemning violent groups, the president marshals them.","['Presidential Election of 2020', 'United States Politics and Government', 'Right-Wing Extremism and Alt-Right', 'Fringe Groups and Movements', 'Whites', 'Debates (Political)', 'Demonstrations, Protests and Riots']",https://www.nytimes.com/2020/09/30/opinion/trump-election-debate.html,article,Op-Ed
Facebook will forbid ads that undermine the legitimacy of the coming election.,2020-10-01,-0.5423,"{'neg': 0.077, 'neu': 0.923, 'pos': 0.0, 'compound': -0.5423}",U.S.,"Facebook on Wednesday said it would prohibit the purchase of ads that seek to delegitimize the outcome of the Nov. 3 election, as the social network prepares for a turbulent next few weeks.",[],https://www.nytimes.com/2020/09/30/us/elections/facebook-will-forbid-ads-that-undermine-the-legitimacy-of-the-coming-election.html,article,News
"Can Mike Espy Make History, Again?",2020-10-01,0.7998,"{'neg': 0.0, 'neu': 0.827, 'pos': 0.173, 'compound': 0.7998}",Opinion,"If the Democratic Party claims to value Black support, then they should work harder to make it happen.","['Black People', 'Blacks', 'Presidential Election of 2020', 'United States Politics and Government', 'State Legislatures', 'Elections, Senate']",https://www.nytimes.com/2020/09/30/opinion/mike-espy-election-2020.html,article,Op-Ed
Trump’s Tax Avoidance Is a Tax on the Rest of Us,2020-10-01,0.1779,"{'neg': 0.082, 'neu': 0.842, 'pos': 0.076, 'compound': 0.1779}",Opinion,The majority of taxpayers can’t afford the expensive professional advice on which successful tax-avoidance strategies depend.,"['Tax Shelters', 'Income Tax', 'Federal Taxes (US)', 'Trump Tax Returns']",https://www.nytimes.com/2020/09/30/opinion/trump-taxes.html,article,Op-Ed
"Tokyo Stock Market Halts Trading for a Day, Citing Glitch",2020-10-01,-0.4019,"{'neg': 0.054, 'neu': 0.946, 'pos': 0.0, 'compound': -0.4019}",Business Day,The exchange resumed trading on Friday after a technical problem left investors unable to place orders on Thursday.,['Stocks and Bonds'],https://www.nytimes.com/2020/09/30/business/tokyo-stock-market-glitch.html,article,News
Images From Four More Years of ‘What’s Going On in This Picture?’,2020-10-01,0.5351,"{'neg': 0.0, 'neu': 0.929, 'pos': 0.071, 'compound': 0.5351}",The Learning Network,A slide show including some of our most popular images published from 2016 to 2020 in “What’s Going On in This Picture?”,[],https://www.nytimes.com/slideshow/2020/09/30/learning/images-from-four-more-years-of-whats-going-on-in-this-picture.html,multimedia,Slideshow
In Which Rikishi Wear Mawashi,2020-10-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Crosswords & Games,Adam Fromm is on the line.,['Crossword Puzzles'],https://www.nytimes.com/2020/09/30/crosswords/daily-puzzle-2020-10-01.html,article,News
"Quotation of the Day: Insults, Bluster and a Sense of a Superpower in Decline",2020-10-01,-0.4215,"{'neg': 0.072, 'neu': 0.928, 'pos': 0.0, 'compound': -0.4215}",Today’s Paper,"Quotation of the Day for Thursday, October 1, 2020.",[],https://www.nytimes.com/2020/09/30/todayspaper/quotation-of-the-day-insults-bluster-and-a-sense-of-a-superpower-in-decline.html,article,Quote
"Corrections: Oct. 1, 2020",2020-10-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Corrections,"Corrections that appeared in print on Thursday, Oct. 1, 2020.",[],https://www.nytimes.com/2020/09/30/pageoneplus/corrections-oct-1-2020.html,article,Correction
"U.S. Debate, Vladimir Putin, African Art: Your Thursday Briefing",2020-10-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Briefing,Here’s what you need to know.,"['Coronavirus (2019-nCoV)', 'Coronavirus Reopenings', 'Coronavirus Aid, Relief, and Economic Security Act (2020)']",https://www.nytimes.com/2020/09/30/briefing/us-debate-vladimir-putin-african-art.html,article,briefing
2020 French Open: What to Watch on Thursday,2020-10-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Sports,"Novak Djokovic, Sofia Kenin and Karolina Pliskova will be featured on Court Philippe-Chatrier as the second round wraps up.","['Tennis', 'French Open (Tennis)']",https://www.nytimes.com/2020/10/01/sports/tennis/french-open-what-to-watch.html,article,News
N.F.L. Week 4 Predictions: Our Picks Against the Spread,2020-10-01,0.2732,"{'neg': 0.036, 'neu': 0.905, 'pos': 0.058, 'compound': 0.2732}",Sports,Tom Brady and the Buccaneers are building momentum and the Bears hope to continue an improbable start. Two games — Chiefs-Patriots and Titans-Steelers — have been postponed.,['Football'],https://www.nytimes.com/2020/10/01/sports/football/nfl-picks-week-4.html,article,News
"Hong Kong Is China, Like It or Not",2020-10-01,-0.296,"{'neg': 0.086, 'neu': 0.856, 'pos': 0.058, 'compound': -0.296}",Opinion,"After months of chaos in the city, something had to be done, and the Chinese government did it.","['Politics and Government', 'Constitutions', 'Secession and Independence Movements', 'Coronavirus (2019-nCoV)', 'Fugitives', 'Embargoes and Sanctions', 'Law and Legislation', 'United States Politics and Government', 'Human Rights and Human Rights Violations', 'Extradition']",https://www.nytimes.com/2020/10/01/opinion/hong-kong-china-security-law.html,article,Op-Ed
Chrissy Teigen and John Legend Lose Baby After Pregnancy Complications,2020-10-01,-0.5994,"{'neg': 0.086, 'neu': 0.914, 'pos': 0.0, 'compound': -0.5994}",Style,"“Driving home from the hospital with no baby,” Ms. Teigen wrote on Twitter. “How can this be real.” She said she and her husband had decided to call the infant Jack.","['Models (Professional)', 'Social Media', 'Miscarriages']",https://www.nytimes.com/2020/10/01/style/chrissy-teigen-john-legend-baby.html,article,News
Word + Quiz: guttural,2020-10-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",The Learning Network,This word has appeared in 23 articles on NYTimes.com in the past year.,[],https://www.nytimes.com/2020/10/01/learning/word-quiz-guttural.html,article,News
Samantha Bee Decries Trump’s ‘Stand Back and Stand By’,2020-10-01,0.6369,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.6369}",Arts,"“Do not tell Trump that he can say anything he wants about race,” Bee said — one reason being that “Mark Burnett will have to spend hours erasing the tapes.”",[],https://www.nytimes.com/2020/10/01/arts/television/late-night-trump-proud-boys.html,article,News
Confrontation,2020-10-01,0.5719,"{'neg': 0.0, 'neu': 0.856, 'pos': 0.144, 'compound': 0.5719}",The Learning Network,What story does this image inspire for you?,[],https://www.nytimes.com/2020/10/01/learning/confrontation.html,article,News
"For Voters Still Mulling, One Thing Is Clear: That Debate Didn’t Help",2020-10-01,0.4466,"{'neg': 0.0, 'neu': 0.923, 'pos': 0.077, 'compound': 0.4466}",U.S.,A small but crucial segment of likely voters say they remain uncommitted — to a candidate or to voting at all — and nothing they heard on Tuesday clinched things for them.,"['Presidential Election of 2020', 'Debates (Political)', 'Voting and Voters']",https://www.nytimes.com/2020/10/01/us/politics/trump-biden-undecided-voters.html,article,News
