headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
U.S. Allies Denounce Trump’s Tariffs Decision,2018-06-01,-0.3182,0.08333333333333333,U.S.,"Leaders and officials from the E.U., Canada and Mexico were united in their disapproval of President Trump’s move to place tariffs on metals, which could provoke retaliation against American businesses.","['International Trade and World Market', 'Customs (Tariff)', 'Politics and Government']",https://www.nytimes.com/video/us/politics/100000005930477/us-allies-denounce-trumps-tariffs-decision.html,multimedia,Video,"{'neg': 0.095, 'neu': 0.853, 'pos': 0.052, 'compound': -0.3182}"
Dinesh D’Souza? Really?,2018-06-01,-0.3067,0.18333333333333335,Opinion,There’s a pattern emerging for Trump’s pardons — he’s using them as a weapon.,"['Amnesties, Commutations and Pardons', 'United States Politics and Government']",https://www.nytimes.com/2018/05/31/opinion/dinesh-dsouza-trump-pardons.html,article,Editorial,"{'neg': 0.132, 'neu': 0.802, 'pos': 0.065, 'compound': -0.3067}"
Cuomo Finally Says the Obvious: He Backs the Transit Rescue Plan,2018-06-01,0.5362,0.029004329004329,New York,What took so long? Maybe the timing had something to do with Cynthia Nixon.,"['Transit Systems', 'Politics and Government', 'Elections, Governors']",https://www.nytimes.com/2018/05/31/nyregion/cuomo-subway-transit-cynthia-nixon.html,article,News,"{'neg': 0.024, 'neu': 0.904, 'pos': 0.072, 'compound': 0.5362}"
Quotation of the Day: Jury in Wrongful Death Suit Gives $4 to Family of Black Man Shot by Deputies,2018-06-01,-0.5994,0.0,Today’s Paper,"Quotation of the Day for Friday, June 1, 2018.",[],https://www.nytimes.com/2018/05/31/todayspaper/quotation-of-the-day-jury-in-wrongful-death-suit-gives-4-to-family-of-black-man-shot-by-deputies.html,article,Quote,"{'neg': 0.083, 'neu': 0.917, 'pos': 0.0, 'compound': -0.5994}"
Review: Jim Parsons and Zachary Quinto Enter Sniping in ‘The Boys in the Band’,2018-06-01,0.5106,0.22916666666666666,Theater,"Mart Crowley’s epochal 1968 comic drama at last makes its Broadway debut, in Joe Mantello’s entertaining but disconnected production.",['Theater'],https://www.nytimes.com/2018/05/31/theater/the-boys-in-the-band-review-jim-parsons-zachary-quinto.html,article,Review,"{'neg': 0.0, 'neu': 0.918, 'pos': 0.082, 'compound': 0.5106}"
"Corrections: June 1, 2018",2018-06-01,0.0,0.16666666666666666,Corrections,"Corrections appearing in print on Friday, June 1, 2018.",[],https://www.nytimes.com/2018/05/31/pageoneplus/corrections-june-1-2018.html,article,Correction,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Winter Carnival Spectacle,2018-06-01,0.0,0.16666666666666666,Crosswords & Games,Andrew J. Ries swashbuckles his way through a Friday puzzle.,['Crossword Puzzles'],https://www.nytimes.com/2018/05/31/crosswords/daily-puzzle-2018-06-01.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Watch Now: Excerpts From the 25 Best New American Plays,2018-06-01,0.8914,0.32060606060606067,Theater,See and hear what makes our critics’ favorites so powerful. ,['Theater'],https://www.nytimes.com/2018/05/31/theater/25-best-plays-video.html,article,News,"{'neg': 0.0, 'neu': 0.739, 'pos': 0.261, 'compound': 0.8914}"
Old Pest Torments Mets: The Injury Bug,2018-06-01,-0.8658,-0.022222222222222216,Sports,"Several notable injuries throughout the organization have been contributing factors to a ragged 10-18 May, during which the Mets were one of the worst teams in baseball.","['Sports Injuries', 'Baseball']",https://www.nytimes.com/2018/05/31/sports/new-york-mets-chicago-cubs.html,article,News,"{'neg': 0.157, 'neu': 0.843, 'pos': 0.0, 'compound': -0.8658}"
Archdiocese in Minnesota Plans to Settle With Abuse Victims for $210 Million,2018-06-01,-0.9201,0.16666666666666666,U.S.,"If approved, the settlement will be the largest ever for a sex abuse case involving an archdiocese that has filed for bankruptcy protection.","['Priests', 'Sex Crimes', 'Child Abuse and Neglect', 'Suits and Litigation (Civil)', 'Clergy', 'Bankruptcies', 'Statutes of Limitations']",https://www.nytimes.com/2018/05/31/us/catholic-abuse-settlement-minnesota.html,article,News,"{'neg': 0.227, 'neu': 0.731, 'pos': 0.043, 'compound': -0.9201}"
Anatomy of a Scene | ‘Adrift’,2018-06-01,0.0,0.16666666666666666,Movies,The director Baltasar Kormakur narrates a sequence from his film featuring Shailene Woodley and Sam Claflin.,['Movies'],https://www.nytimes.com/video/movies/100000005931178/scene-from-adrift-baltasar-kormakur-interview.html,multimedia,Video,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
 The Ones We Left Behind,2018-06-01,0.8074,0.3074074074074074,Theater,"Majority rule (mostly). One play per playwright. How we put together the 25 Plays list, and a bid to remember notable writers and favorite works that missed the cut. ",['Theater'],https://www.nytimes.com/2018/05/31/theater/best-25-plays-how-we-made-the-list.html,article,News,"{'neg': 0.068, 'neu': 0.747, 'pos': 0.184, 'compound': 0.8074}"
Yankees Endure Another Postponement,2018-06-01,-0.1531,-0.21111111111111114,Sports,"The team’s game Thursday in Baltimore was rained out, the Yankees’ sixth game this season to be affected by subpar weather.",['Baseball'],https://www.nytimes.com/2018/05/31/sports/yankees-orioles-postponed.html,article,News,"{'neg': 0.041, 'neu': 0.959, 'pos': 0.0, 'compound': -0.1531}"
When Neither Male Nor Female Seems to Fit,2018-06-01,0.6808,0.16969696969696968,Style,"What happens when a transgender person, who fantasizes about having an androgynous body, falls for a straight man who loves female curves?","['Women and Girls', 'Transgender and Transsexuals', 'Dating and Relationships', 'Love (Emotion)']",https://www.nytimes.com/2018/06/01/style/modern-love-neither-male-nor-female-seems-to-fit.html,article,News,"{'neg': 0.0, 'neu': 0.894, 'pos': 0.106, 'compound': 0.6808}"
Election Day for a Beleaguered Turkish Soccer Power,2018-06-01,0.2023,0.07784090909090909,Sports,"Fenerbahce, a storied club with a history of success, has fallen on hard times. Will its members vote for a new president, or stick with the longtime incumbent?",['Soccer'],https://www.nytimes.com/2018/06/01/sports/soccer/turkey-fenerbahce.html,article,News,"{'neg': 0.071, 'neu': 0.861, 'pos': 0.068, 'compound': 0.2023}"
"Tariffs, Italy, Telegram: Your Friday Briefing",2018-06-01,0.0,0.16666666666666666,Briefing,Here’s what you need to know to start your day.,[],https://www.nytimes.com/2018/06/01/briefing/tariffs-italy-telegram-your-friday-briefing.html,article,briefing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"From ‘The Wire’ to ‘2001: A Space Odyssey,’ New Books Cover Screens Big and Small",2018-06-01,0.6369,0.16991341991341993,Books,A new batch of summer reading tells the back story of some of the greatest movies and television.,"['Books and Literature', 'Movies', 'Television Sets and Media Devices', 'Culture (Arts)', 'Blacks', 'Black People']",https://www.nytimes.com/interactive/2018/books/review/summer-reading-movies-tv.html,multimedia,Interactive Feature,"{'neg': 0.0, 'neu': 0.911, 'pos': 0.089, 'compound': 0.6369}"
Moths Aren’t All Bad and Nightingales Love Pasta,2018-06-01,0.1779,-0.008333333333333304,Books,"A roundup of outdoor books takes you from Central Park to the desert gardens of the Southwest, with time out for insect, botanical and avian lore.","['Books and Literature', 'Gardens and Gardening', 'Butterflies and Moths', 'Flowers and Plants']",https://www.nytimes.com/interactive/2018/books/review/summer-reading-great-outdoors.html,multimedia,Interactive Feature,"{'neg': 0.068, 'neu': 0.851, 'pos': 0.081, 'compound': 0.1779}"
"We’ll Always Have Paris: Also Isfahan, Khartoum and Calcutta",2018-06-01,0.0,0.07575757575757575,Books,"Why do we travel? New books consider that question, in venues as varied as a Central American jungle, a glacier in Alaska and a Midwestern parlor.","['Books and Literature', 'Travel and Vacations', 'Road Trips']",https://www.nytimes.com/interactive/2018/books/review/summer-reading-travel.html,multimedia,Interactive Feature,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
From Hip-Hop to Christian Rock,2018-06-01,0.0,0.04329004329004328,Books,Several new books range far and wide across the American music scene.,"['Books and Literature', 'Music']",https://www.nytimes.com/interactive/2018/books/review/summer-reading-music.html,multimedia,Interactive Feature,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
From Vegan Barbecue to Apple Pie: New Cookbooks for Everyone,2018-06-01,0.0,0.101010101010101,Books,"This season’s food writers serve up both recipes and stories, from Sam Kass’s tales of cooking at the White House to Maira Kalman’s memories of cakes.","['Books and Literature', 'Cooking and Cookbooks', 'Bakeries and Baked Products', 'Veganism', 'Barbecue', 'Pies', 'Cakes', 'Peaches', 'Salads', 'Sweet Potatoes', 'Health Foods', 'Indian Food (Cuisine)']",https://www.nytimes.com/interactive/2018/books/review/summer-reading-cooking.html,multimedia,Interactive Feature,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8 Summer Romance Novels,2018-06-01,0.4735,0.101010101010101,Books,"Escape to Regency England, Gilded Age New York or a French sex-commune chateau.",['Books and Literature'],https://www.nytimes.com/interactive/2018/books/review/summer-reading-romance.html,multimedia,Interactive Feature,"{'neg': 0.047, 'neu': 0.841, 'pos': 0.112, 'compound': 0.4735}"
6 Pulse-Pounding Summer Thrillers,2018-06-01,0.6908,0.16666666666666666,Books,"If you like your vacation reading to deliver excitement, we’ve got books for you.",['Books and Literature'],https://www.nytimes.com/interactive/2018/books/review/summer-reading-thrillers.html,multimedia,Interactive Feature,"{'neg': 0.0, 'neu': 0.836, 'pos': 0.164, 'compound': 0.6908}"
Summertime Sports Books: From Keith Hernandez to Vladimir Nabokov,2018-06-01,-0.8271,0.20833333333333331,Books,"This season’s batch features a rakish first baseman, Albert Camus the brooding goalkeeper and a bucking bronc named Lunatic From Hell.","['Books and Literature', 'Baseball', 'Rodeos', 'Blacks', 'Black People', 'Athletics and Sports', 'Soccer']",https://www.nytimes.com/interactive/2018/books/review/summer-reading-sports.html,multimedia,Interactive Feature,"{'neg': 0.166, 'neu': 0.81, 'pos': 0.023, 'compound': -0.8271}"
Notorious Killers and the Woman Who Mops Up the Gore,2018-06-01,-0.9678,0.201010101010101,Books,"Marilyn Stasio considers six new true-crime books, including one about the Golden State Killer and one about a woman whose company cleans up “homicide, suicide and death scenes.”","['Books and Literature', 'Murders, Attempted Murders and Homicides', 'Sex Crimes', 'Deaths (Fatalities)', 'Crime and Criminals']",https://www.nytimes.com/interactive/2018/books/review/summer-reading-true-crime.html,multimedia,Interactive Feature,"{'neg': 0.307, 'neu': 0.693, 'pos': 0.0, 'compound': -0.9678}"
73 Books to Read While the Sun Is Out and the Days Are Long,2018-06-01,0.745,0.3541666666666667,Books,"Thrillers, romances, cookbooks, the great outdoors: We’ve got them, and more.",['Books and Literature'],https://www.nytimes.com/interactive/2018/books/review/summer-reading.html,multimedia,Interactive Feature,"{'neg': 0.025, 'neu': 0.824, 'pos': 0.151, 'compound': 0.745}"
An Enduring Paris Hotel in a New Light,2018-06-01,0.4215,0.22393939393939394,Travel,"A renovation has kept the Lutetia closed for four years. The property will reopen with more windows, a courtyard, a spa and a pool. Its popular brasserie will be back later this year.","['Travel and Vacations', 'Hotels and Travel Lodgings']",https://www.nytimes.com/2018/06/01/travel/lutetia-hotel-paris-reopening.html,article,News,"{'neg': 0.0, 'neu': 0.951, 'pos': 0.049, 'compound': 0.4215}"
What’s on TV Friday: ‘Dateline’ With Andrea Constand and ‘800 Words’,2018-06-01,0.0,0.14646464646464644,Arts,Andrea Constand breaks her silence to Kate Snow on “Dateline.” And stream a new season of the New Zealand drama “800 Words.”,"['Television', 'Movies']",https://www.nytimes.com/2018/06/01/arts/television/whats-on-tv-friday-dateline-with-andrea-constand-and-800-words.html,article,Schedule,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Kanye West Delivers New Album, ‘Ye,’ Live From Wyoming",2018-06-01,0.34,0.14646464646464644,Arts,The rapper’s eighth LP was a mystery until the moment he pressed play.,['Rap and Hip-Hop'],https://www.nytimes.com/2018/06/01/arts/music/kanye-west-ye-wyoming-.html,article,News,"{'neg': 0.0, 'neu': 0.932, 'pos': 0.068, 'compound': 0.34}"
"In 3 Netflix Films, Female Friends Chasing After Good Times",2018-06-01,0.9349,0.2861111111111111,Movies,"In “Ibiza,” “Dude” and “The Kissing Booth,” the young heroines aren’t interested in making what some viewers would call “appropriate” choices.",['Movies'],https://www.nytimes.com/2018/06/01/movies/ibiza-dude-the-kissing-booth-netflix-films.html,article,News,"{'neg': 0.0, 'neu': 0.714, 'pos': 0.286, 'compound': 0.9349}"
Word + Quiz: ecumenical,2018-06-01,0.0,-0.04166666666666667,The Learning Network,This word has appeared in 42 articles on nytimes.com in the past year.,[],https://www.nytimes.com/2018/06/01/learning/01WODLN.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
