headline,date,compound_score,SA,section,abstract,keywords,url,doc_type,material_type
Biden Defends Afghan Pullout and Declares an End to Nation-Building,2021-09-01,0.2235,"{'neg': 0.0, 'neu': 0.967, 'pos': 0.033, 'compound': 0.2235}",U.S.,"The president offered a glimpse of a different American foreign policy in the post-9/11 world, one that he said would be guided more by competition with China and Russia.","['Speeches and Statements', 'Afghanistan War (2001- )', 'United States Defense and Military Forces', 'United States International Relations', 'United States Politics and Government', 'Evacuations and Evacuees']",https://www.nytimes.com/2021/08/31/us/politics/biden-defends-afghanistan-withdrawal.html,article,News
An Afghan Left Behind Tells His Story,2021-09-01,-0.4215,"{'neg': 0.074, 'neu': 0.926, 'pos': 0.0, 'compound': -0.4215}",Opinion,Rasheed worked with the U.S. in Afghanistan. Now he is facing threats from the Taliban.,"['Afghanistan War (2001- )', 'International Relations', 'United States Defense and Military Forces']",https://www.nytimes.com/2021/08/31/opinion/Afghanistan-taliban-escape.html,article,Op-Ed
What Is Stefanos Tsitsipas Doing in the Bathroom During His Matches?,2021-09-01,-0.2869,"{'neg': 0.04, 'neu': 0.96, 'pos': 0.0, 'compound': -0.2869}",Sports,Andy Murray says his Monday opponent employs stall tactics too often. Reilly Opelka says Tsitsipas is probably changing his socks.,"['Tennis', 'United States Open (Tennis)']",https://www.nytimes.com/2021/08/31/sports/tennis/us-open-stefanos-tsitsipas-bathroom-andy-murray.html,article,News
Goalball Teammates Set Paralympic Record for Longevity,2021-09-01,0.5719,"{'neg': 0.0, 'neu': 0.917, 'pos': 0.083, 'compound': 0.5719}",Sports,"Asya Miller and Lisa Czechowski, who have won three Paralympic medals as teammates, first competed together at the Sydney Games in 2000.","['Goalball', 'Olympic Games (2020)', 'Disabilities', 'Blindness', 'Content Type: Personal Profile', 'Paralympic Games', 'Records and Achievements']",https://www.nytimes.com/2021/08/31/sports/olympics/tokyo-paralympics-goalball.html,article,News
Developer Charged in Scheme to Bilk Matt Gaetz’s Family,2021-09-01,0.5194,"{'neg': 0.079, 'neu': 0.788, 'pos': 0.133, 'compound': 0.5194}",U.S.,The Justice Department arrested the man for seeking $25 million for a presidential pardon that would have purportedly ended a sex trafficking investigation into Mr. Gaetz.,"['United States Politics and Government', 'Frauds and Swindling', 'Amnesties, Commutations and Pardons']",https://www.nytimes.com/2021/09/01/us/politics/matt-gaetz-stephen-alford.html,article,News
Black Surfers Refuse to Be Excluded: ‘I Have a Right to Be on This Wave’,2021-09-01,-0.7096,"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.7096}",Sports,A new generation of surfers and activists are building on the efforts and achievements of those who came before — and carving out a space for themselves.,"['Black People', 'Blacks', 'Surfing', 'Discrimination']",https://www.nytimes.com/interactive/2021/08/31/sports/black-surfers.html,multimedia,Interactive Feature
Biden Plays the Long Game as He Justifies the End of the ‘Forever War’,2021-09-01,-0.6124,"{'neg': 0.1, 'neu': 0.843, 'pos': 0.057, 'compound': -0.6124}",U.S.,"President Biden is banking on the assumption that he will be remembered for finally extricating the country from the war in Afghanistan, not for how he did it.","['Afghanistan War (2001- )', 'Evacuations and Evacuees', 'United States Defense and Military Forces', 'United States International Relations', 'United States Politics and Government', 'Speeches and Statements']",https://www.nytimes.com/2021/08/31/us/politics/biden-politics-afghanistan.html,article,News
Wowza!,2021-09-01,0.6588,"{'neg': 0.0, 'neu': 0.834, 'pos': 0.166, 'compound': 0.6588}",Crosswords & Games,Sean Yamada-Hunter’s debut is a hypothetical masterpiece.,['Crossword Puzzles'],https://www.nytimes.com/2021/09/01/crosswords/daily-puzzle-2021-09-01.html,article,News
"Corrections: Sept. 01, 2021",2021-09-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Corrections,"Corrections that appeared in print on Wednesday, Sept. 1, 2021.",[],https://www.nytimes.com/2021/09/01/pageoneplus/corrections-sept-01-2021.html,article,Correction
Novak Djokovic holds off Holger Rune in his first U.S. Open match.,2021-09-01,-0.0644,"{'neg': 0.1, 'neu': 0.805, 'pos': 0.096, 'compound': -0.0644}",Sports,"Djokovic, who is chasing the Grand Slam, dropped the second set, but his night got easier when the teenager Rune began suffering from cramps in his legs.","['Tennis', 'United States Open (Tennis)']",https://www.nytimes.com/2021/08/31/sports/tennis/novak-djokovic-wins-match.html,article,News
"Quotation of the Day: Spurning Critics, Biden Calls Exit Notable Success",2021-09-01,-0.296,"{'neg': 0.059, 'neu': 0.941, 'pos': 0.0, 'compound': -0.296}",Today’s Paper,"Quotation of the Day for Wednesday, September 1, 2021.",[],https://www.nytimes.com/2021/08/31/todayspaper/quotation-of-the-day-spurning-critics-biden-calls-exit-notable-success.html,article,Quote
Member of ISIS ‘Beatles’ Cell Plans to Plead Guilty in Abuse of Hostages,2021-09-01,-0.8519,"{'neg': 0.181, 'neu': 0.819, 'pos': 0.0, 'compound': -0.8519}",U.S.,An upcoming change-of-plea hearing for Alexanda Kotey suggests he is cooperating with prosecutors and could provide details about victims.,"['Terrorism', 'United States Politics and Government', 'Kidnapping and Hostages']",https://www.nytimes.com/2021/08/31/us/politics/isis-beatles-alexanda-kotey.html,article,News
U.S.A. Gymnastics and Abuse Survivors Propose a $425 Million Payout,2021-09-01,-0.8689,"{'neg': 0.201, 'neu': 0.799, 'pos': 0.0, 'compound': -0.8689}",Sports,A $215 million settlement offer was rejected last year by victims of Lawrence G. Nassar and by others in the sport.,"['Gymnastics', 'Suits and Litigation (Civil)', 'Child Abuse and Neglect', 'Sex Crimes']",https://www.nytimes.com/2021/09/01/sports/olympics/usa-gymnastics-payout-sexual-abuse.html,article,News
2021 U.S. Open: What to Watch on Wednesday,2021-09-01,0.5859,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.5859}",Sports,Sloane Stephens and Coco Gauff will meet on the third day of action at Flushing Meadows.,"['Tennis', 'United States Open (Tennis)']",https://www.nytimes.com/2021/09/01/sports/tennis/us-open-matches-wednesday.html,article,News
Your Wednesday Briefing,2021-09-01,0.0258,"{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.0258}",Briefing,President Biden’s comments on the Afghanistan withdrawal.,[],https://www.nytimes.com/2021/09/01/briefing/afghanistan-coronavirus-vaccinations.html,article,briefing
"Europe, Afghanistan Is Your Wake-Up Call",2021-09-01,0.3182,"{'neg': 0.0, 'neu': 0.927, 'pos': 0.073, 'compound': 0.3182}",Opinion,"To strengthen the alliance with America, Europe must step up.",['Defense and Military Forces'],https://www.nytimes.com/2021/09/01/opinion/afghanistan-europe-nato.html,article,Op-Ed
"Supreme Court, Breaking Silence, Won’t Block Texas Abortion Law",2021-09-01,-0.2263,"{'neg': 0.087, 'neu': 0.84, 'pos': 0.073, 'compound': -0.2263}",U.S.,"The law, which prohibits most abortions after six weeks and went into effect on Wednesday, was drafted by Texas lawmakers with the goal of frustrating efforts to challenge it in federal court.","['Abortion', 'Law and Legislation', 'Roe v Wade (Supreme Court Decision)', ""Women's Rights"", 'State Legislatures', 'Suits and Litigation (Civil)', 'Decisions and Verdicts', 'United States Politics and Government']",https://www.nytimes.com/2021/09/01/us/supreme-court-texas-abortion.html,article,News
Spelling Bee Forum,2021-09-01,0.0849,"{'neg': 0.124, 'neu': 0.776, 'pos': 0.1, 'compound': 0.0849}",Crosswords & Games,Feeling stuck on today’s puzzle? We can help.,[],https://www.nytimes.com/2021/09/01/crosswords/spelling-bee-2021-09-01.html,article,News
Sustainability Advocates Ask: Why Demolish When You Can Deconstruct?,2021-09-01,0.5267,"{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.5267}",Business Day,"More cities are adopting deconstruction ordinances that require older homes to be taken down for salvageable parts, but they face challenges in trying to expand their efforts.","['Building (Construction)', 'Salvage', 'Waste Materials and Disposal', 'Sustainable Living', 'Real Estate (Commercial)']",https://www.nytimes.com/2021/09/01/business/waste-salvage-deconstruction-sustainability.html,article,News
Japan Needs a Lot More Tech Workers. Can It Find a Place for Women?,2021-09-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",Business Day,"The country is pushing to digitally modernize itself, but one of the developed world’s starkest gender gaps is holding it back.","['Women and Girls', 'Discrimination', 'Computers and the Internet', 'Engineering and Engineers', 'Labor and Jobs', 'Shortages', 'Politics and Government']",https://www.nytimes.com/2021/09/01/business/japan-tech-workers-women.html,article,News
Why New York Lawmakers Are Holding a Special Session on Evictions,2021-09-01,-0.0772,"{'neg': 0.069, 'neu': 0.87, 'pos': 0.062, 'compound': -0.0772}",New York,Gov. Kathy Hochul called lawmakers back to Albany to consider extending New York's eviction moratorium. ,"['Evictions', 'State Legislatures', 'Landlords']",https://www.nytimes.com/2021/09/01/nyregion/new-york-eviction-moratorium.html,article,briefing
An Impossible Task? New Zealand Tries to Eliminate Delta.,2021-09-01,0.0,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",World,The country is holding fast to a lockdown to contain an outbreak that began in mid-August. But it’s also acknowledging that lockdowns can’t go on forever.,"['Coronavirus Delta Variant', 'Coronavirus (2019-nCoV)', 'Quarantines', 'Vaccination and Immunization']",https://www.nytimes.com/2021/09/01/world/australia/delta-new-zealand-lockdown.html,article,News
Little Simz’s Big Moment,2021-09-01,0.509,"{'neg': 0.042, 'neu': 0.851, 'pos': 0.107, 'compound': 0.509}",Arts,"The British rapper’s laser focus has been trained on fame since she was a child. Now, she’s ready to take it to the next level.","['Rap and Hip-Hop', 'Music']",https://www.nytimes.com/2021/09/01/arts/music/little-simzs-introvert.html,article,News
