date,NYT_vader_daily,textblob_SA_daily,DJIA_close
2017-01-01,0.0523657534246575,0.1450764524207861,
2017-01-02,-0.0477397727272727,0.0795781953736499,
2017-01-03,0.0381905405405405,0.1155022472162623,19881.76
2017-01-04,0.054095,0.1347694538369968,19942.16
2017-01-05,0.0664481283422459,0.1218777125404799,19899.29
2017-01-06,0.0349639639639639,0.1175809792476458,19963.8
2017-01-07,0.013456976744186,0.1013352132901551,
2017-01-08,0.0653337662337662,0.1443154551076629,
2017-01-09,0.0467156756756756,0.1048403892153892,19887.38
2017-01-10,0.0858857142857142,0.1259682841368246,19855.53
2017-01-11,0.0557915094339622,0.1272875288146514,19954.28
2017-01-12,0.0391758620689655,0.1209097814245597,19891.0
2017-01-13,0.0867086956521739,0.1161593603653281,19885.73
2017-01-14,0.0287096153846153,0.1261306604275353,
2017-01-15,0.0962355263157894,0.1234163514056605,
2017-01-16,-0.0090961240310077,0.1048058003581259,
2017-01-17,0.0269420454545454,0.1169388368797358,19826.77
2017-01-18,0.059568018018018,0.120586762763846,19804.72
2017-01-19,0.0126045977011494,0.1206453403853264,19732.4
2017-01-20,0.0654904580152671,0.1169678525007041,19827.25
2017-01-21,0.0540165137614678,0.1184220596402771,
2017-01-22,-0.0152759493670886,0.1161836583269264,
2017-01-23,0.0116377142857142,0.1136384140991283,19799.85
2017-01-24,0.019428901734104,0.10995257905229,19912.71
2017-01-25,0.0036130841121495,0.1192838775383,20068.51
2017-01-26,0.0456062801932367,0.1103346170688146,20100.91
2017-01-27,0.0205910638297872,0.117626691177223,20093.78
2017-01-28,-0.0167072072072072,0.1204377429377429,
2017-01-29,-0.1309513157894737,0.1356781381589495,
2017-01-30,0.0911478873239436,0.1526410221523679,19971.13
2017-01-31,0.0342073529411764,0.1336898096991321,19864.09
2017-02-01,0.0481373913043478,0.1266659812432445,19890.94
2017-02-02,0.0274888412017167,0.1194770939003771,19884.91
2017-02-03,0.048502868852459,0.1416101982521771,20071.46
2017-02-04,0.0274126213592233,0.1358847912951588,
2017-02-05,0.038173469387755,0.0988849500839296,
2017-02-06,0.080478698224852,0.1225056763037532,20052.42
2017-02-07,-0.0246843575418994,0.1186379016097358,20090.29
2017-02-08,0.0681660098522167,0.1396270825002791,20054.34
2017-02-09,-0.0223286363636363,0.1108354962779032,20172.4
2017-02-10,0.0813803347280334,0.1372713021327037,20269.37
