headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
Why a Pilot Is Under Investigation for Saying ‘Let’s Go Brandon’,2021-11-01,-0.6124,0.16666666666666666,U.S.,"His remarks went viral after he repeated the chant, which is understood to be code for swearing at President Biden, during a Southwest Airlines flight.","['AIRLINES AND AIRPLANES', 'Pilots', 'United States Politics and Government', 'Social Media']",https://www.nytimes.com/2021/10/31/us/lets-go-brandon-southwest-airlines.html,article,News,"{'neg': 0.091, 'neu': 0.909, 'pos': 0.0, 'compound': -0.6124}"
"‘Succession’ Season 3, Episode 3: Head Spaces and Hullabaloo",2021-11-01,-0.8689,-0.3541666666666667,Arts,There was plenty of petty Roy cruelty to go around in this week’s brutal episode.,['Television'],https://www.nytimes.com/2021/10/31/arts/television/succession-season-3-episode-3-head-spaces-and-hullabaloo.html,article,News,"{'neg': 0.224, 'neu': 0.776, 'pos': 0.0, 'compound': -0.8689}"
Your Monday Briefing,2021-11-01,0.0,0.08333333333333333,Briefing,Deciding the future of the climate.,[],https://www.nytimes.com/2021/10/31/briefing/climate-g20-britain-coronavirus.html,article,briefing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
What Is a ‘Carbon Footprint’? And 12 Other Climate Buzzwords,2021-11-01,0.0,-0.014583333333333337,Climate,"As climate change discussions take center stage in Glasgow, here’s a primer on some of the jargon you’re likely to hear a lot.","['Global Warming', 'Environment', 'Sustainable Living']",https://www.nytimes.com/interactive/2021/10/31/climate/climate-change-sustainability-definition.html,multimedia,Interactive Feature,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"‘Insecure’ Recap, Season 5, Episode 2: Pick Up Your Feelings",2021-11-01,0.25,-0.05833333333333334,Arts,"Busy with their careers and friendship, Issa and Molly forget to turn back to themselves.",['Television'],https://www.nytimes.com/2021/10/31/arts/television/insecure-recap-season-5-episode-2.html,article,News,"{'neg': 0.047, 'neu': 0.882, 'pos': 0.071, 'compound': 0.25}"
Word of the Day: conflagration,2021-11-01,0.0772,-0.04166666666666667,The Learning Network,This word has appeared in 70 articles on NYTimes.com in the past year. Can you use it in a sentence?,[],https://www.nytimes.com/2021/10/31/learning/word-of-the-day-conflagration.html,article,News,"{'neg': 0.0, 'neu': 0.968, 'pos': 0.032, 'compound': 0.0772}"
New Black N.B.A. Coaches Wonder Why It Took So Long to Get a Shot,2021-11-01,-0.1901,0.0036363636363636377,Sports,"The N.B.A.’s coaching ranks have long been dominated by white men, but a demand from Black players for more diversity may be changing things.","['Coaches and Managers', 'Basketball', 'Black People', 'Blacks', 'Hiring and Promotion', 'Discrimination']",https://www.nytimes.com/2021/11/01/sports/basketball/nba-black-coaches-diversity.html,article,News,"{'neg': 0.03, 'neu': 0.97, 'pos': 0.0, 'compound': -0.1901}"
"Once a Leading Polluter, the U.K. Is Now Trying to Lead on Climate Change",2021-11-01,0.714,0.18166666666666667,World,"On the eve of a global climate summit, Britain’s evolution from fossil fuels to clean energy is on display. But experts question whether its commitment is sufficient, and whether it can persuade other nations to meet meaningful goals.","['Politics and Government', 'United Nations Framework Convention on Climate Change', 'Greenhouse Gas Emissions', 'Global Warming', 'Coal', 'Wind Power', 'Alternative and Renewable Energy']",https://www.nytimes.com/2021/11/01/world/europe/britain-climate-change.html,article,News,"{'neg': 0.047, 'neu': 0.832, 'pos': 0.121, 'compound': 0.714}"
How Much Are Countries Pledging to Reduce Emissions?,2021-11-01,-0.1179,0.11333333333333333,Climate,The newest plans by countries to fight climate change still fall short of what scientists say is necessary. Here’s what the 10 biggest emitters have promised.,"['United Nations Framework Convention on Climate Change', 'Greenhouse Gas Emissions', 'Global Warming']",https://www.nytimes.com/interactive/2021/11/01/climate/paris-pledges-tracker-cop-26.html,multimedia,Interactive Feature,"{'neg': 0.052, 'neu': 0.905, 'pos': 0.044, 'compound': -0.1179}"
"Facing Elimination, the Houston Astros Find Their Bats",2021-11-01,-0.2732,0.06666666666666665,Sports,"A first-inning grand slam had Atlanta thinking championship, but the Astros kept fighting and sent the Series back to Houston for Game 6.","['Baseball', 'World Series']",https://www.nytimes.com/2021/11/01/sports/baseball/astros-braves-world-series-game-5.html,article,News,"{'neg': 0.092, 'neu': 0.836, 'pos': 0.072, 'compound': -0.2732}"
