headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
Revisiting Andrew Yang,2019-09-13,-0.296,0.10416666666666666,Podcasts,What a colleague says he missed the first time.,"['Podcasts', 'Newsletters', 'Presidential Election of 2020', 'Politics and Government', 'Debates (Political)', '#MeToo Movement']",https://www.nytimes.com/2019/09/13/podcasts/revisiting-andrew-yang.html,article,News,"{'neg': 0.071, 'neu': 0.929, 'pos': 0.0, 'compound': -0.296}"
"Jennifer Aniston, Joaquin Phoenix and ‘Slave Play’: Take a Dip Into Our Fall Preview",2019-09-13,0.3612,0.2222222222222222,Arts,"Linda Hamilton on coming back to ‘Terminator,’ Tina Turner on what it’s like to be Tina, and more.","['Art', 'Movies']",https://www.nytimes.com/2019/09/13/arts/fall-arts-preview.html,article,News,"{'neg': 0.0, 'neu': 0.945, 'pos': 0.055, 'compound': 0.3612}"
"Jean Edward Smith, Biographer of the Underrated, Dies at 86",2019-09-13,0.5719,0.08333333333333333,Books,His books helped restore the reputations of Grant and Eisenhower and return John Marshall to the forefront of the American story.,"['Books and Literature', 'Deaths (Obituaries)', 'Presidents and Presidency (US)', 'Writing and Writers']",https://www.nytimes.com/2019/09/13/books/jean-edward-smith-dead.html,article,Obituary (Obit),"{'neg': 0.0, 'neu': 0.914, 'pos': 0.086, 'compound': 0.5719}"
Netflix’s ‘Unbelievable’ Retells a Confounding Story of Injustice,2019-09-13,-0.8658,0.04791666666666665,Arts,"The true crime series, starring Toni Collette and Merritt Wever, is based on the real-life case of a rape victim the police refused to believe.",['Television'],https://www.nytimes.com/2019/09/13/arts/television/review-netflix-unbelievable.html,article,News,"{'neg': 0.214, 'neu': 0.738, 'pos': 0.048, 'compound': -0.8658}"
"A Tokyo Itinerary, Over-the-Top Hats and More",2019-09-13,0.0,0.055555555555555546,T Magazine,"T’s roundup of people, places and things to know now.","['Jewels and Jewelry', 'Handicrafts', 'Luxury Goods and Services', 'Furniture', 'Design', 'Art', 'Hats and Caps', 'Magazines', 'Copper, Brass and Bronze']",https://www.nytimes.com/2019/09/13/t-magazine/tiffany-jewelry-men-kagurazaka-tokyo-culture-style-news.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Boko Haram Is Back. With Better Drones.,2019-09-13,-0.5118,0.17407407407407405,World,"After a decade of devastating war with Boko Haram extremists, they are now better armed than ever and have more sophisticated drones than the demoralized Nigerian military.","['Terrorism', 'Vigilantes', 'Politics and Government', 'Drones (Pilotless Planes)', 'Defense and Military Forces']",https://www.nytimes.com/2019/09/13/world/africa/nigeria-boko-haram.html,article,News,"{'neg': 0.211, 'neu': 0.61, 'pos': 0.179, 'compound': -0.5118}"
"Bill Clinton, Tony Blair and Michael Bloomberg Raise Money for 9/11 Causes",2019-09-13,-0.2924,0.16666666666666666,Fashion & Style,Benefits were held by Cantor Fitzgerald and the 9/11 Memorial & Museum.,[],https://www.nytimes.com/slideshow/2019/09/13/fashion/bill-clinton-tony-blair-and-michael-bloomberg-raise-money-for-9-11-causes.html,multimedia,Slideshow,"{'neg': 0.059, 'neu': 0.941, 'pos': 0.0, 'compound': -0.2924}"
Honoring 9/11 Victims,2019-09-13,0.6615,0.16666666666666666,Style,Benefits were held by Cantor Fitzgerald and the 9/11 Memorial & Museum.,"['September 11 (2001)', 'Philanthropy', 'Parties (Social)']",https://www.nytimes.com/2019/09/13/style/honoring-9-11-victims.html,article,News,"{'neg': 0.061, 'neu': 0.755, 'pos': 0.184, 'compound': 0.6615}"
11 of Our Best Weekend Reads,2019-09-13,0.6705,0.4527777777777778,Arts,Men’s stories of sex assault in the military. A full picture of the Great Flood of 2019. Jennifer Aniston. Demi Moore. Giuliani’s divorce. And more.,"['United States Defense and Military Forces', 'Floods']",https://www.nytimes.com/2019/09/13/arts/11-of-our-best-weekend-reads.html,article,News,"{'neg': 0.073, 'neu': 0.768, 'pos': 0.159, 'compound': 0.6705}"
"Yes, They Found It in a Box",2019-09-13,0.0,0.16666666666666666,Books,"Twenty-one years ago, Dr. Seuss’ widow discovered some unpublished manuscripts, including one that has become “Dr. Seuss’s Horse Museum,” illustrated by Andrew Joyner.",['Books and Literature'],https://www.nytimes.com/2019/09/13/books/review/yes-they-found-it-in-a-box.html,article,List,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"The Concept Cars Gleam, but Executive Dread Clouds the Frankfurt Auto Show",2019-09-13,-0.9209,0.15833333333333333,Business Day,"Trade war, technology shifts and a global downturn are putting “unprecedented” pressure on automakers. Sustainability is now about survival.","['Frankfurt Auto Show', 'Automobiles', 'Electric and Hybrid Vehicles', 'Driverless and Semiautonomous Vehicles', 'International Trade and World Market', 'Greenhouse Gas Emissions', 'Fuel Efficiency', 'Batteries', 'Engines']",https://www.nytimes.com/2019/09/13/business/frankfurt-car-show.html,article,News,"{'neg': 0.209, 'neu': 0.791, 'pos': 0.0, 'compound': -0.9209}"
