headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
Quotation of the Day: Ripped-Off Riffs? Better Not to Risk It,2019-04-01,0.5739,0.3333333333333333,Today’s Paper,"Quotation of the Day for Monday, April 1, 2019.",[],https://www.nytimes.com/2019/03/31/todayspaper/quotation-of-the-day-ripped-off-riffs-better-not-to-risk-it.html,article,Quote,"{'neg': 0.0, 'neu': 0.878, 'pos': 0.122, 'compound': 0.5739}"
"Erdogan, Turkey’s Leader, Staring at Major Electoral Defeat",2019-04-01,0.5365,-0.014166666666666666,World,"Istanbul, the president’s hometown and stronghold, seemed poised to slip through his fingers in municipal elections that signaled a political earthquake.","['Elections', 'Politics and Government']",https://www.nytimes.com/2019/03/31/world/europe/turkey-election-erdogan.html,article,News,"{'neg': 0.0, 'neu': 0.887, 'pos': 0.113, 'compound': 0.5365}"
Review: ‘Do You Feel Anger’ Plumbs the Depths of Office Humor,2019-04-01,0.8225,-0.07083333333333333,Theater,"In Mara Nelson-Greenberg’s fitfully funny play, a female empathy coach faces the insuperable challenge of teaching men some compassion.",['Theater'],https://www.nytimes.com/2019/03/31/theater/do-you-feel-anger-review.html,article,Review,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.8225}"
Review: Can a Play Make the Constitution Great Again?,2019-04-01,0.9648,0.43787878787878787,Theater,"“What the Constitution Means to Me,” the best new play of the Broadway season so far, rivetingly combines personal history and civic engagement.",['Theater'],https://www.nytimes.com/2019/03/31/theater/what-the-constitution-means-to-me-review.html,article,Review,"{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.9648}"
"Review: In ‘The White Devil,’ Pick Your Poison",2019-04-01,-0.2732,-0.06222222222222223,Theater,Turns out that a Jacobean tragedy with a bleak worldview and an extensive body count can still be a lot of fun.,['Theater'],https://www.nytimes.com/2019/03/31/theater/the-white-devil-review.html,article,Review,"{'neg': 0.122, 'neu': 0.776, 'pos': 0.102, 'compound': -0.2732}"
"After Waiting Out the Rain, the Orioles Outlast the Yankees",2019-04-01,-0.4019,0.08333333333333333,Sports,"Uneven pitching and sputtering hitting gave the Yankees a second straight loss to Baltimore, and gave J.A. Happ his first loss at Yankee Stadium since 2013.",['Baseball'],https://www.nytimes.com/2019/03/31/sports/yankees-orioles.html,article,News,"{'neg': 0.079, 'neu': 0.889, 'pos': 0.032, 'compound': -0.4019}"
‘The Case Against Adnan Syed’: Finale Reveals New DNA Test Results,2019-04-01,-0.836,0.3006060606060606,Arts,The HBO series made good on its promise to deliver big revelations about the 20-year-old murder case that “Serial” made famous.,"['Television', 'Forensic Science', 'DNA (Deoxyribonucleic Acid)', 'Murders, Attempted Murders and Homicides', 'Documentary Films and Programs']",https://www.nytimes.com/2019/03/31/arts/television/case-against-adnan-syed-dna-hbo-finale.html,article,News,"{'neg': 0.191, 'neu': 0.727, 'pos': 0.082, 'compound': -0.836}"
"‘Billions’ Season 4, Episode 3: Hurts So Good",2019-04-01,-0.1027,0.42777777777777776,Arts,"Most of the key characters in “Billions” — Bobby Axelrod, Chuck, Taylor Mason — seem to require intense adversity to be at their best.",['Television'],https://www.nytimes.com/2019/03/31/arts/television/billions-chickentown-review.html,article,News,"{'neg': 0.117, 'neu': 0.774, 'pos': 0.109, 'compound': -0.1027}"
"Twitter Network Uses Fake Accounts to Promote Netanyahu, Israel Watchdog Finds",2019-04-01,-0.765,-0.13333333333333333,World,"A network of hundreds of social media accounts, many of them fake, was used to smear opponents of the Israeli prime minister, investigators found.","['Elections', 'Social Media', 'Rumors and Misinformation']",https://www.nytimes.com/2019/03/31/world/middleeast/netanyahu-fake-twitter.html,article,News,"{'neg': 0.184, 'neu': 0.734, 'pos': 0.081, 'compound': -0.765}"
Police Body-Cam Video Appears to Show Willie McCoy Sleeping Before He Was Fatally Shot,2019-04-01,-0.6369,0.101010101010101,U.S.,"The footage, newly released by the police in Vallejo, Calif., shows that Mr. McCoy was shot about 10 seconds after he began to move in his car outside a Taco Bell.","['Police Brutality, Misconduct and Shootings', 'Video Recordings, Downloads and Streaming', 'Murders, Attempted Murders and Homicides']",https://www.nytimes.com/2019/03/31/us/willie-mccoy-shooting-video.html,article,News,"{'neg': 0.07, 'neu': 0.93, 'pos': 0.0, 'compound': -0.6369}"
