headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
Human Rights Group Says Two U.S. Strikes Killed Somali Civilians,2020-04-01,-0.9559,-0.058333333333333334,World,A report by Amnesty International challenges the American military’s claim that the February strikes hit only terrorists and no innocent bystanders.,"['Civilian Casualties', 'Terrorism', 'United States Defense and Military Forces']",https://www.nytimes.com/2020/03/31/world/africa/somalia-civilian-casualties.html,article,News,"{'neg': 0.294, 'neu': 0.652, 'pos': 0.054, 'compound': -0.9559}"
‘Never Thought I Would Need It’: Americans Put Pride Aside to Seek Aid,2020-04-01,0.4284,0.26325757575757575,U.S.,"With coronavirus-related job losses, many workers are reluctantly seeking charity and unemployment benefits for the first time in their lives.","['Unemployment', 'Food Banks and Pantries', 'Layoffs and Job Reductions', 'Philanthropy', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2020/03/31/us/virus-food-banks-unemployment.html,article,News,"{'neg': 0.115, 'neu': 0.723, 'pos': 0.162, 'compound': 0.4284}"
"$30 Million in Illegal Drugs Seized From Cross-Border Tunnel in San Diego, U.S. Says",2020-04-01,-0.802,-0.1244949494949495,U.S.,The tunnel’s entrance was not far from a newly constructed portion of the border wall that President Trump visited last September in the Otay Mesa section of San Diego.,"['Drug Abuse and Traffic', 'Border Barriers', 'Smuggling', 'Immigration and Emigration', 'Organized Crime']",https://www.nytimes.com/2020/03/31/us/drug-tunnel-san-diego-tijuana.html,article,News,"{'neg': 0.104, 'neu': 0.896, 'pos': 0.0, 'compound': -0.802}"
"As Furloughs Grow, Kennedy Center Defends Use of $25 Million in Aid",2020-04-01,-0.4959,-0.008333333333333338,Arts,Critics in Congress push to revoke the performing arts center’s piece of the stimulus package as it works to explain its response to the financial crisis.,"['Finances', 'Art', 'Coronavirus Aid, Relief, and Economic Security Act (2020)', 'United States Politics and Government']",https://www.nytimes.com/2020/03/31/arts/kennedy-center-defends-25-million.html,article,News,"{'neg': 0.075, 'neu': 0.891, 'pos': 0.034, 'compound': -0.4959}"
Historic Town in Veszprém County,2020-04-01,0.3875,0.0356060606060606,Crosswords & Games,"Mad magazine editor in chief John Ficarra makes his New York Times Crossword debut, with the able assistance of Patrick Merrell.",['Crossword Puzzles'],https://www.nytimes.com/2020/03/31/crosswords/daily-puzzle-2020-04-01.html,article,News,"{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.3875}"
Trump Calls New Fuel Economy Rule a Boon. Some Experts See Steep Costs.,2020-04-01,0.0,0.17575757575757578,Climate,"The president said the measure,  announced Tuesday, would lift the economy, but outside analysts said the administration's rosy numbers did not represent an accurate accounting of its costs. ","['Global Warming', 'Environment', 'Greenhouse Gas Emissions', 'United States Politics and Government', 'Fuel Efficiency', 'Regulation and Deregulation of Industry', 'United States Economy']",https://www.nytimes.com/2020/03/31/climate/trump-pollution-rollback.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
This Broccoli-Dill Pasta Has a Hippie Twist. Your Kids Will Love It.,2020-04-01,0.9154,0.44375,Magazine,"A quick purée, seasoned with lemon and garlic, is a kind of delicious all-purpose dip, sauce and spread.","['Cooking and Cookbooks', 'Vegetables', 'Broccoli', 'Recipes']",https://www.nytimes.com/2020/03/31/magazine/broccoli-dill-pasta-recipe.html,article,News,"{'neg': 0.0, 'neu': 0.803, 'pos': 0.197, 'compound': 0.9154}"
"Quotation of the Day: Cases Spiral Aboard an Aircraft Carrier, and a Commander Pleads for Help",2020-04-01,0.0258,0.16666666666666666,Today’s Paper,"Quotation of the Day for April 1, 2020.",[],https://www.nytimes.com/2020/03/31/todayspaper/quotation-of-the-day-cases-spiral-aboard-an-aircraft-carrier-and-a-commander-pleads-for-help.html,article,Quote,"{'neg': 0.0, 'neu': 0.972, 'pos': 0.028, 'compound': 0.0258}"
"Corrections: April 1, 2020",2020-04-01,0.0,0.16666666666666666,Corrections,"Corrections that appeared in print on Wednesday, April 1, 2020.",[],https://www.nytimes.com/2020/03/31/pageoneplus/corrections-april-1-2020.html,article,Correction,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Wallace Roney, Jazz Trumpet Virtuoso, Is Dead at 59",2020-04-01,-0.7096,0.1449829931972789,Arts,"Initially dismissed by some as a Miles Davis imitator, Mr. Roney, who has died of coronavirus complications, emerged as a major musician in his own right.","['Deaths (Obituaries)', 'Jazz', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2020/03/31/arts/music/wallace-roney-dead-coronavirus.html,article,Obituary (Obit),"{'neg': 0.12, 'neu': 0.835, 'pos': 0.046, 'compound': -0.7096}"
"Coronavirus, Donald Trump, Asia: Your Wednesday Briefing",2020-04-01,0.0,0.16666666666666666,Briefing,Here’s what you need to know.,[],https://www.nytimes.com/2020/03/31/briefing/coronavirus-trump-asia.html,article,briefing,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Fire at Bronx Apartment Building Kills 4,2020-04-01,-0.5733,-0.011111111111111118,New York,The cause of the three-alarm blaze remains under investigation.,"['Fires and Firefighters', 'Deaths (Fatalities)']",https://www.nytimes.com/2020/03/31/nyregion/bronx-fire-building.html,article,News,"{'neg': 0.185, 'neu': 0.735, 'pos': 0.08, 'compound': -0.5733}"
"Coronavirus Spreads Amid Supply Shortages, Stay-at-Home Orders and Sobering Economics",2020-04-01,-0.6597,0.060606060606060594,World,"Florida’s governor belatedly directed residents to stay home, but only after a call with President Trump. States raised new concerns about medical supplies, and fears grew about a prolonged global downturn.","['Coronavirus (2019-nCoV)', 'Epidemics', 'Deaths (Fatalities)']",https://www.nytimes.com/2020/04/01/world/coronavirus-live-news-updates.html,article,News,"{'neg': 0.116, 'neu': 0.884, 'pos': 0.0, 'compound': -0.6597}"
Retailers Under Pressure to Protect Workers,2020-04-01,0.1027,0.1515151515151515,Business Day,Live updates on stock market and business news during the coronavirus outbreak.,"['United States Economy', ""Standard & Poor's 500-Stock Index"", 'Stocks and Bonds', 'Coronavirus (2019-nCoV)', 'Economic Conditions and Trends', 'International Trade and World Market']",https://www.nytimes.com/2020/04/01/business/stock-market-recap-coronavirus.html,article,News,"{'neg': 0.065, 'neu': 0.858, 'pos': 0.077, 'compound': 0.1027}"
What’s on TV Wednesday: ‘Baghdad Central’ and a Sketch Comedy Show,2020-04-01,0.4404,0.05555555555555555,Arts,A British thriller series is on Hulu. And “The Iliza Shlesinger Sketch Show” debuts on Netflix.,"['Television', 'Movies']",https://www.nytimes.com/2020/04/01/arts/television/whats-on-tv-wednesday-baghdad-central-and-a-sketch-comedy-show.html,article,News,"{'neg': 0.0, 'neu': 0.907, 'pos': 0.093, 'compound': 0.4404}"
