headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
The Eagles of Reelfoot Lake,2019-03-01,-0.2516,0.018055555555555557,Opinion,Why do these birds mean so much to us? Maybe because we almost lost them.,"['Eagles (Birds)', 'Endangered and Extinct Species', 'your-feed-photojournalism']",https://www.nytimes.com/2019/02/28/opinion/the-eagles-of-reelfoot-lake.html,article,Op-Ed,"{'neg': 0.051, 'neu': 0.949, 'pos': 0.0, 'compound': -0.2516}"
"Why Allen Weisselberg, Trump’s Money Man, Could Face Scrutiny Next",2019-03-01,0.0,0.08333333333333333,New York,Mr. Weisselberg has referred to himself as President Trump’s “eyes and ears” at the Trump Organization. He was incriminated by Michael Cohen in testimony on Wednesday.,"['Campaign Finance', 'ADULTERY', 'Presidential Election of 2016', 'United States Politics and Government']",https://www.nytimes.com/2019/02/28/nyregion/allen-weisselberg-facts-history.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Russia Blocks Venezuela Measure at U.N., Calling It a U.S. Ploy for Regime Change",2019-03-01,-0.2023,-0.07424242424242425,World,"In a Cold War-style dispute at the United Nations, Russia sided with President Nicolás Maduro of Venezuela and against an American resolution calling for aid distribution and new elections.","['Humanitarian Aid', 'International Relations', 'United States International Relations']",https://www.nytimes.com/2019/02/28/world/americas/russia-venezuela-veto-united-nations.html,article,News,"{'neg': 0.069, 'neu': 0.889, 'pos': 0.042, 'compound': -0.2023}"
Gap Plans to Spin Off Old Navy After a Dismal Year,2019-03-01,-0.3612,0.11770833333333333,Business Day,"Old Navy will become its own public company, while Gap will form another public company made up of its namesake label and its other brands like Banana Republic.","['Fashion and Apparel', 'Shopping and Retail', 'Company Reports']",https://www.nytimes.com/2019/02/28/business/gap-old-navy-spinoff.html,article,News,"{'neg': 0.065, 'neu': 0.894, 'pos': 0.041, 'compound': -0.3612}"
Netanyahu Responds to Effort to Indict Him: What He Said and What He Meant,2019-03-01,0.1531,0.08333333333333333,World,"Prime Minister Benjamin Netanyahu delivered an emotional response to the decision to indict him, with a not-too-subtle subtext.","['Politics and Government', 'Bribery and Kickbacks']",https://www.nytimes.com/2019/02/28/world/middleeast/benjamin-netanyahu-indictment-speech.html,article,News Analysis,"{'neg': 0.0, 'neu': 0.965, 'pos': 0.035, 'compound': 0.1531}"
Morality and Michael Cohen,2019-03-01,-0.6249,0.08333333333333333,Opinion,Wednesday’s testimony and the crisis of American conscience.,"['Ethics (Personal)', 'United States Politics and Government']",https://www.nytimes.com/2019/02/28/opinion/michael-cohen-testimony.html,article,Op-Ed,"{'neg': 0.132, 'neu': 0.868, 'pos': 0.0, 'compound': -0.6249}"
A Clash at the Cohen Hearing Reveals the Left’s Racial Divide,2019-03-01,-0.6249,0.027179487179487177,U.S.,A clash over racism between a freshman Democrat and a conservative Republican revealed as much about the divide within the Democratic Party as the chasm between Democrats and Republicans over race.,"['Discrimination', 'Women and Girls', 'Blacks', 'Black People', 'United States Politics and Government']",https://www.nytimes.com/2019/02/28/us/politics/race-divide-democrats-republicans.html,article,News,"{'neg': 0.104, 'neu': 0.855, 'pos': 0.041, 'compound': -0.6249}"
"Mongols Biker Club Can Keep Its Logo, Judge Rules",2019-03-01,0.0,0.08333333333333333,U.S.,A federal jury said last month that the motorcycle gang must forfeit the rights to its trademarked logo. But a judge said it would be unconstitutional.,"['Decisions and Verdicts', 'Logos', 'Racketeering and Racketeers']",https://www.nytimes.com/2019/02/28/us/mongol-motorcycle-club-ruling.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"Mexico Approves 60,000-Strong National Guard. Critics Call It More of the Same.",2019-03-01,0.8271,0.18787878787878787,World,Congress gave the go-ahead for the creation of a new security force to be overseen by civilian authorities. The move awaits state approvals.,"['Police', 'Defense and Military Forces', 'Law and Legislation', 'Organized Crime']",https://www.nytimes.com/2019/02/28/world/americas/mexico-amlo-national-guard.html,article,News,"{'neg': 0.06, 'neu': 0.733, 'pos': 0.208, 'compound': 0.8271}"
How Much Watching Time Do You Have This Weekend?,2019-03-01,0.4588,0.2916666666666667,Arts,"Our TV critic Margaret Lyons has great suggestions on what to watch, whether you have a half-hour or several.",['Television'],https://www.nytimes.com/2019/02/28/arts/television/best-weekend-tv.html,article,News,"{'neg': 0.044, 'neu': 0.869, 'pos': 0.087, 'compound': 0.4588}"
