headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
February Thaw at the Flea Market,2017-06-01,0.0,0.16666666666666666,New York,A tender moment amid the tchotchkes.,['Flea Markets'],https://www.nytimes.com/2017/05/31/nyregion/metropolitan-diary-february-thaw-at-the-flea-market.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Twitter Fails E.U. Standard on Removing Hate Speech Online,2017-06-01,-0.9442,-0.3041666666666667,Technology,The findings are part of a study by the European Commission as policy makers and tech companies battle over what should be permitted online.,"['Computers and the Internet', 'Cyberharassment', 'Hate Crimes', 'Social Media', 'Freedom of Speech and Expression']",https://www.nytimes.com/2017/05/31/technology/twitter-facebook-google-europe-hate-speech.html,article,News,"{'neg': 0.244, 'neu': 0.756, 'pos': 0.0, 'compound': -0.9442}"
Obamas Pay $8.1 Million for Home Just Miles From White House,2017-06-01,0.1779,0.16060606060606059,U.S.,"The former president and his family had been renting the mansion in the Kalorama neighborhood, a wealthy area where Trump administration officials also live.","['Real Estate and Housing (Residential)', 'United States Politics and Government']",https://www.nytimes.com/2017/05/31/us/obama-buys-house-washington-kalorama.html,article,News,"{'neg': 0.05, 'neu': 0.906, 'pos': 0.044, 'compound': 0.1779}"
Review: ‘The Incomparable Rose Hartman’ Snaps Glimpses of the Glitterati,2017-06-01,0.2846,0.40952380952380946,Movies,Otis Mass’s documentary portrait of a Manhattan celebrity photographer reflects a talented but exasperating pro.,"['Photography', 'Documentary Films and Programs']",https://www.nytimes.com/2017/05/31/movies/the-incomparable-rose-hartman-review.html,article,Review,"{'neg': 0.0, 'neu': 0.946, 'pos': 0.054, 'compound': 0.2846}"
"City Law Illegally Promotes Unionization of Carwash Workers, Judge Rules",2017-06-01,0.7579,-0.2777777777777778,New York,The ruling dealt a blow to Mayor Bill de Blasio’s efforts to increase protections for the low-wage carwash workers; fewer than 10 percent of whom are in unions.,"['Car Washes', 'Organized Labor']",https://www.nytimes.com/2017/05/31/nyregion/city-law-illegally-promotes-unionization-of-carwash-workers-judge-rules.html,article,News,"{'neg': 0.0, 'neu': 0.876, 'pos': 0.124, 'compound': 0.7579}"
"Review: In ‘Dean,’ Demetri Martin Doodles Through Grief",2017-06-01,0.7579,0.061111111111111095,Movies,"The comic tries his hand at writing and directing a feature film, producing a sweet, humorous drama about loss.",['Movies'],https://www.nytimes.com/2017/05/31/movies/dean-review-demetri-martin.html,article,Review,"{'neg': 0.051, 'neu': 0.754, 'pos': 0.195, 'compound': 0.7579}"
Yankees Slugger Aaron Judge Is Third in Early All-Star Voting,2017-06-01,-0.2263,0.05333333333333333,Sports,"Judge, who had a major-league-leading 17 homers when the initial balloting was released, said he was undecided about whether he would participate in the Home Run Derby.","['Baseball', 'ALL STAR GAMES']",https://www.nytimes.com/2017/05/31/sports/baseball/yankees-slugger-aaron-judge-is-third-in-early-al-all-star-voting.html,article,News,"{'neg': 0.032, 'neu': 0.968, 'pos': 0.0, 'compound': -0.2263}"
"Comey Expected to Testify Before Senate, if He Isn’t Blocked",2017-06-01,0.0772,-0.011111111111111118,U.S.,The testimony about conversations with the president would force Mr. Trump to decide whether to invoke executive privilege to try to stop Mr. Comey from testifying.,['Presidential Election of 2016'],https://www.nytimes.com/2017/05/31/us/politics/james-comey-testify-trump-russia-fbi.html,article,News,"{'neg': 0.037, 'neu': 0.921, 'pos': 0.042, 'compound': 0.0772}"
"Sorry, Cavaliers. It’s Warriors (in Four, Five, Six or Seven).",2017-06-01,0.34,-0.16666666666666669,Sports,Editors and writers from The Times predict how the much anticipated N.B.A. finals will play out.,"['Basketball', 'NBA Championship']",https://www.nytimes.com/2017/05/31/sports/basketball/sorry-cavaliers-its-warriors-in-four-five-six-or-seven.html,article,News,"{'neg': 0.0, 'neu': 0.948, 'pos': 0.052, 'compound': 0.34}"
Review: ‘Radio Dreams’ Builds a Spiritual Home for Stateless Souls,2017-06-01,0.0,0.05555555555555555,Movies,A fictional San Francisco radio station provides a place for immigrants adrift to bond in the ether.,['Movies'],https://www.nytimes.com/2017/05/31/movies/radio-dreams-review.html,article,Review,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
