headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
Celebrities lend Biden a hand in turning out the vote in Philadelphia.,2020-11-01,0.4939,0.16666666666666666,U.S.,PHILADELPHIA — Add Debra Messing and Kathy Najimy to the thousands of canvassers spread out across Philadelphia for the Biden campaign on Saturday.,[],https://www.nytimes.com/2020/10/31/us/elections/celebrities-lend-biden-a-hand-in-turning-out-the-vote-in-philadelphia.html,article,News,"{'neg': 0.0, 'neu': 0.934, 'pos': 0.066, 'compound': 0.4939}"
The Battlegrounds Within Battlegrounds,2020-11-01,-0.6705,0.05555555555555555,U.S.,Here are 20 counties in battleground states that are crucial for a White House victory.,['Presidential Election of 2020'],https://www.nytimes.com/interactive/2020/us/politics/battleground-state-polls.html,multimedia,Interactive Feature,"{'neg': 0.169, 'neu': 0.831, 'pos': 0.0, 'compound': -0.6705}"
"‘They’re coming after our state,’ McSally warns Arizona Republicans.",2020-11-01,0.3182,0.08333333333333333,U.S.,"SUN CITY, Ariz. — Don’t believe the polls. Don’t believe the media. And definitely do not believe the Democrats.",[],https://www.nytimes.com/2020/10/31/us/elections/theyre-coming-after-our-state-mcsally-warns-arizona-republicans.html,article,News,"{'neg': 0.033, 'neu': 0.903, 'pos': 0.064, 'compound': 0.3182}"
Kids’ Graphic Novels That Turn the Superhero Genre on Its Head,2020-11-01,0.05,0.24166666666666667,Books,"Bright, bold and utterly unconventional, both “Mister Invincible” and “Primer” flout all the “rules.”","['Books and Literature', 'Children and Childhood', 'Comic Books and Strips', 'Graphic Novels']",https://www.nytimes.com/2020/10/31/books/review/mister-invincible-pascal-jousselin.html,article,Review,"{'neg': 0.056, 'neu': 0.884, 'pos': 0.06, 'compound': 0.05}"
Got Worries? Make Newspaper Dolls to Catch Them,2020-11-01,-0.0,0.1597222222222222,At Home,Whispering your fears to these little dolls made of rolled newspaper might help you sleep better.,"['Quarantine (Life and Culture)', 'Dolls', 'Handicrafts']",https://www.nytimes.com/2020/10/31/at-home/activity-worry-dolls.html,article,News,"{'neg': 0.114, 'neu': 0.772, 'pos': 0.114, 'compound': -0.0}"
Learn the Etiquette of Virtual Weddings,2020-11-01,0.0,0.16666666666666666,At Home,The answers to all your 2020 pandemic wedding dilemmas.,"['Quarantine (Life and Culture)', 'Content Type: Service', 'Weddings and Engagements', 'Videophones and Videoconferencing', 'Parties (Social)', 'Customs, Etiquette and Manners']",https://www.nytimes.com/2020/10/31/at-home/virtual-weddings-etiquette.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Listen to the Globe,2020-11-01,0.0,0.2833333333333333,At Home,Radio programming from around the world is available on the internet or through apps.,"['Quarantine (Life and Culture)', 'Radio', 'Music']",https://www.nytimes.com/2020/10/31/at-home/global-radio-stations.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Tap LinkedIn for Career Opportunities,2020-11-01,0.5106,0.18825757575757573,At Home,"Whether you’re looking for a new role or just trying to expand your professional network, here’s how to use the website’s services to your full advantage.","['Quarantine (Life and Culture)', 'Content Type: Service', 'Social Media', 'Careers and Professions', 'Hiring and Promotion']",https://www.nytimes.com/2020/10/31/at-home/linkedin-career-opportunities.html,article,News,"{'neg': 0.0, 'neu': 0.915, 'pos': 0.085, 'compound': 0.5106}"
Sean Connery: From Tentative Secret Agent to Suave Bond,2020-11-01,0.25,-0.014666666666666672,Movies,"He may be considered the ultimate 007, but it took him time to find his footing, helped by a director with a taste for high living.","['Movies', 'Bond, James (Fictional Character)', 'Content Type: Personal Profile', 'Actors and Actresses']",https://www.nytimes.com/2020/10/31/movies/sean-connery-james-bond.html,article,News,"{'neg': 0.0, 'neu': 0.962, 'pos': 0.038, 'compound': 0.25}"
Don’t Give In to ‘Election Stress Disorder’,2020-11-01,-0.6908,0.08333333333333333,At Home,"Voting day won’t bring an end to the strain of this political season, but you don’t have to let things get contentious.","['Quarantine (Life and Culture)', 'Content Type: Service', 'Presidential Election of 2020', 'Anxiety and Stress', 'Politics and Government']",https://www.nytimes.com/2020/10/31/at-home/election-stress.html,article,News,"{'neg': 0.158, 'neu': 0.842, 'pos': 0.0, 'compound': -0.6908}"
"Corrections: Nov. 1, 2020",2020-11-01,0.0,0.16666666666666666,Corrections,"Corrections that appeared in print on Sunday, Nov. 1, 2020.",[],https://www.nytimes.com/2020/10/31/pageoneplus/corrections-nov-1-2020.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Quotation of the Day: Tracing Now All but Impossible as Outbreaks Tear Through U.S.,2020-11-01,0.0,-0.25,Today’s Paper,"Quotation of the Day for Sunday, November 1, 2020.",[],https://www.nytimes.com/2020/10/31/todayspaper/quotation-of-the-day-tracing-now-all-but-impossible-as-outbreaks-tear-through-us.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"This Election Week, Revisit the Constitution, Then Soothe Your Stressed Mind",2020-11-01,-0.3098,0.23333333333333334,At Home,"Calm your nerves with a meditation guide, a night at the Seattle Symphony and a day among the sea otters at the Monterey Bay Aquarium.","['Quarantine (Life and Culture)', 'Theater', 'Dancing', 'Meditation', 'Music', 'Classical Music', 'Art']",https://www.nytimes.com/2020/10/31/at-home/things-to-do-this-week.html,article,News,"{'neg': 0.102, 'neu': 0.853, 'pos': 0.044, 'compound': -0.3098}"
Obituaries for the American Dream,2020-11-01,0.0,0.12222222222222223,Opinion,"If it was ever real, it isn’t anymore.","['Social Conditions and Trends', 'Art']",https://www.nytimes.com/2020/11/01/opinion/american-dream-stories.html,article,Op-Ed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Vehicles flying Trump flags try to force a Biden-Harris campaign bus off a highway in Texas.,2020-11-01,0.296,0.08333333333333333,U.S.,Vehicles flying Trump flags tried to force a Biden-Harris campaign bus off a highway in Texas. Trump chuckled about it at a rally later that evening.,[],https://www.nytimes.com/2020/11/01/us/elections/vehicles-flying-trump-flags-try-to-force-a-biden-harris-campaign-bus-off-a-highway-in-texas.html,article,News,"{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.296}"
"Trump moves Florida rally up by two hours, but it could still run afoul of a local curfew.",2020-11-01,0.0,-0.03333333333333333,U.S.,A Trump rally planned for late Sunday in Florida could run afoul of a local curfew.,[],https://www.nytimes.com/2020/11/01/us/elections/trump-moves-florida-rally-up-by-two-hours-but-it-could-still-run-afoul-of-a-local-curfew.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
"With just two days until Election Day, all eyes are on Pennsylvania.",2020-11-01,0.0,0.16666666666666666,U.S.,"All eyes are on Pennsylvania, which both presidential campaigns seem to believe could determine the outcome of the race.",[],https://www.nytimes.com/2020/11/01/us/elections/with-just-two-days-until-election-day-all-eyes-are-on-pennsylvania.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
8 Pro-Democracy Politicians Arrested in Hong Kong Over Heated Meeting,2020-11-01,-0.9001,0.14166666666666666,World,"The Hong Kong politicians were arrested in connection with a contentious meeting in May, when the local legislature’s chambers were filled with protest over a battle for control over a key committee.","['Politics and Government', 'Law and Legislation', 'Hong Kong Protests (2019)', 'Demonstrations, Protests and Riots']",https://www.nytimes.com/2020/11/01/world/asia/hong-kong-prodemocracy-lawmakers-arrested-legco.html,article,News,"{'neg': 0.217, 'neu': 0.783, 'pos': 0.0, 'compound': -0.9001}"
Halloween Stabbing Attack in Quebec City Leaves 2 Dead,2020-11-01,-0.7351,-0.15833333333333333,World,The police arrested a 24-year-old man who they said was dressed in medieval garb and carrying a sword when he went on a rampage.,"['Murders, Attempted Murders and Homicides', 'Halloween']",https://www.nytimes.com/2020/11/01/world/canada/quebec-city-stabbing-deaths-halloween-medieval-costume.html,article,News,"{'neg': 0.134, 'neu': 0.866, 'pos': 0.0, 'compound': -0.7351}"
"On ‘S.N.L.’, Jim Carrey Reads a Spooky Election Update of ‘The Raven’",2020-11-01,0.0,0.101010101010101,Arts,Carrey appeared in his recurring role as Joe Biden in a Halloween episode hosted by the “Saturday Night Live” alum John Mulaney and featuring the Strokes as the musical guest.,['Television'],https://www.nytimes.com/2020/11/01/arts/television/snl-john-mulaney-jim-carrey-strokes.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
‘He Managed a Smile and Thanked Charles for the Compliment’,2020-11-01,0.5859,0.27575757575757576,New York,"A reunion with a well-dressed teacher, a tricky census question and more reader tales of New York City in this week’s Metropolitan Diary.",[],https://www.nytimes.com/2020/11/01/nyregion/metropolitan-diary.html,article,News,"{'neg': 0.034, 'neu': 0.851, 'pos': 0.115, 'compound': 0.5859}"
Inside One Brooklyn Restaurant’s Desperate Fight to Survive the Pandemic,2020-11-01,-0.8225,-0.0027272727272727227,New York,"Half of New York City’s 24,000 restaurants could go out of business. Gertie is fighting to avoid becoming one of them.","['Restaurants', 'Coronavirus (2019-nCoV)', 'Renting and Leasing (Real Estate)', 'Landlords', 'Bars and Nightclubs', 'Shutdowns (Institutional)']",https://www.nytimes.com/2020/11/01/nyregion/williamsburg-restaurant-reopening-brooklyn.html,article,News,"{'neg': 0.167, 'neu': 0.833, 'pos': 0.0, 'compound': -0.8225}"
"Preaching or Avoiding Politics, Conservative Churches Walk a Delicate Line",2020-11-01,-0.7227,0.010833333333333339,U.S.,"Pastors can’t endorse or oppose candidates from the pulpit, and many of them don’t want to. But that doesn’t mean they’re ignoring politics.","['Ministers (Protestant)', 'Presidential Election of 2020', 'Christians and Christianity', 'Endorsements', 'Religion-State Relations']",https://www.nytimes.com/2020/11/01/us/church-sermons-election-politics.html,article,News,"{'neg': 0.149, 'neu': 0.765, 'pos': 0.086, 'compound': -0.7227}"
"In Italy, Like Everywhere the Virus Goes, It’s the Discontent That’s Contagious",2020-11-01,0.8074,0.05833333333333333,World,"Italians are now a long way away from the days of singing on balconies and their summer fling with freedom. Just like everyone else, they’ve had it.","['Demonstrations, Protests and Riots', 'Politics and Government', 'Shutdowns (Institutional)', 'Curfews', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2020/11/01/world/europe/italy-coronavirus-lockdown.html,article,News,"{'neg': 0.03, 'neu': 0.827, 'pos': 0.144, 'compound': 0.8074}"
She’s Moved From the Upper East Side to ‘Cobble Hill’,2020-11-01,0.1655,0.08989898989898988,Books,"Cecily von Ziegesar, the author of “Gossip Girl,” is going for an adult, possibly Brooklyn-based audience in her new novel, but there will still be drama.","['Books and Literature', 'Writing and Writers', 'Television', 'Content Type: Personal Profile']",https://www.nytimes.com/2020/11/01/books/cecily-von-ziegesar-cobble-hill-gossip-girl.html,article,News,"{'neg': 0.0, 'neu': 0.97, 'pos': 0.03, 'compound': 0.1655}"
"Meet the Ebony Anglers, Five Black Women Catching Fish and Stares",2020-11-01,0.1779,0.09375,Sports,"The team, formed in the past few months, is trying to make a mark in the mostly white, mostly male world of competitive fishing.","['Fishing, Sport', 'Women and Girls', 'Black People', 'Blacks', 'Content Type: Personal Profile']",https://www.nytimes.com/2020/11/01/sports/ebony-anglers-fishing-black-women.html,article,News,"{'neg': 0.0, 'neu': 0.967, 'pos': 0.033, 'compound': 0.1779}"
"States Undercount Positive Rapid Tests, Masking the Spread of Disease",2020-11-01,0.6652,0.33030303030303027,U.S.,"Health officials say an influx of rapid, inexpensive tests is good for the country, but caution that they are struggling to count those who test positive.","['Coronavirus (2019-nCoV)', 'Tests (Medical)', 'States (US)', 'Disease Rates']",https://www.nytimes.com/interactive/2020/11/01/us/antigen-testing.html,multimedia,Interactive Feature,"{'neg': 0.059, 'neu': 0.796, 'pos': 0.146, 'compound': 0.6652}"
"A Nutmegger, a Buckeye and a Sooner Walked Into a Voting Booth...",2020-11-01,0.3182,0.13333333333333333,U.S.,"Every four years, as Election Day draws near, we embrace America’s oddball geographic nicknames.","['Elections', 'Voting and Voters', 'United States Politics and Government']",https://www.nytimes.com/interactive/2020/11/01/us/elections/election-voters-state-nicknames-quiz.html,multimedia,Interactive Feature,"{'neg': 0.0, 'neu': 0.938, 'pos': 0.062, 'compound': 0.3182}"
Dwight Garner Shares From His Stash of Other Writers’ Words,2020-11-01,0.7096,0.1630050505050505,Books,"In an excerpt from his new book, “Garner’s Quotations: A Modern Miscellany,” the Times critic explains why he’s hoarded favorite lines for nearly 40 years and why he’s sharing some with readers now.","['Books and Literature', 'Quotations and Proverbs', 'Writing and Writers']",https://www.nytimes.com/2020/11/01/books/review/dwight-garner-garners-quotations.html,article,News,"{'neg': 0.033, 'neu': 0.84, 'pos': 0.127, 'compound': 0.7096}"
"U.S. Diplomat Coughs Online, and European Allies Wonder if They Were Exposed",2020-11-01,-0.7096,-0.10101010101010101,U.S.,A senior State Department official who tested positive for the coronavirus after a trip to Europe has angered other diplomats and irritated foreign officials whom he could have infected.,"['United States International Relations', 'Diplomatic Service, Embassies and Consulates', 'Coronavirus (2019-nCoV)']",https://www.nytimes.com/2020/11/01/us/politics/coronavirus-state-department-diplomats.html,article,News,"{'neg': 0.144, 'neu': 0.802, 'pos': 0.054, 'compound': -0.7096}"
"Ahead of Election, Police Prepare for Violence and Disruption",2020-11-01,-0.802,0.36666666666666664,U.S.,Many law enforcement officials have attempted to inject calm while warning of dire consequences for those who try to disrupt voting.,"['United States Politics and Government', 'Presidential Election of 2020', 'Right-Wing Extremism and Alt-Right', 'Police', 'Demonstrations, Protests and Riots']",https://www.nytimes.com/2020/11/01/us/election-police-violence.html,article,News,"{'neg': 0.159, 'neu': 0.803, 'pos': 0.038, 'compound': -0.802}"
"Americans Are Afraid. Not for Themselves, but for the Country.",2020-11-01,-0.8383,-0.10833333333333334,The Upshot,"A feeling of alarm and fear about the future of democracy, from voters across the political spectrum.","['Presidential Election of 2020', 'United States Politics and Government', 'Democracy (Theory and Philosophy)', 'Voting and Voters']",https://www.nytimes.com/2020/11/01/upshot/election-democracy-fear-americans.html,article,News,"{'neg': 0.199, 'neu': 0.801, 'pos': 0.0, 'compound': -0.8383}"
Pastors at the Polls? Meet Ohio’s Election Protection Squad,2020-11-01,-0.7645,-0.11666666666666668,U.S.,"After the most tense election season in generations, clergy members are being trained and deployed to defuse potentially violent encounters on Election Day.","['Elections', 'Clergy', 'United States Politics and Government', 'Presidential Election of 2020']",https://www.nytimes.com/2020/11/01/us/politics/election-day-violence.html,article,News,"{'neg': 0.111, 'neu': 0.889, 'pos': 0.0, 'compound': -0.7645}"
Can Raphael Warnock Go From the Pulpit to the Senate?,2020-11-01,0.4329,0.12222222222222223,U.S.,"The pastor at the Ebenezer Baptist Church in Atlanta, where Martin Luther King Jr. once preached, is betting that Georgia is ready to send a religious progressive to Washington.","['Elections, Senate']",https://www.nytimes.com/2020/11/01/us/politics/raphael-warnock-ga.html,article,News,"{'neg': 0.0, 'neu': 0.956, 'pos': 0.044, 'compound': 0.4329}"
How the Wealthy World Has Failed Poor Countries During the Pandemic,2020-11-01,0.1556,-0.11979166666666667,Business Day,"Despite pledges for debt relief and expanded programs, the World Bank and International Monetary Fund have delivered meager aid, say economists.","['Poverty', 'Third World and Developing Countries', 'Stimulus (Economic)', 'Banking and Financial Institutions', 'Coronavirus (2019-nCoV)', 'Credit and Debt']",https://www.nytimes.com/2020/11/01/business/coronavirus-imf-world-bank.html,article,News,"{'neg': 0.147, 'neu': 0.682, 'pos': 0.171, 'compound': 0.1556}"
"Election at Hand, Biden Leads Trump in Four Key States, Poll Shows",2020-11-01,0.4939,0.022222222222222216,U.S.,"Joseph R. Biden Jr. leads President Trump in Pennsylvania, Florida, Arizona and, by a wide margin, in Wisconsin, according to a Times/Siena College poll.","['Presidential Election of 2016', 'Presidential Election of 2020', 'Polls and Public Opinion', 'United States Politics and Government']",https://www.nytimes.com/2020/11/01/us/politics/biden-trump-poll-florida-pennsylvania-wisconsin.html,article,News,"{'neg': 0.0, 'neu': 0.94, 'pos': 0.06, 'compound': 0.4939}"
