headline,date,vader_SA,textblob_SA,section,abstract,keywords,url,doc_type,material_type,vader_full
1919: The Year of the Crack-Up,2019-01-01,0.0,0.16666666666666666,Opinion,"From the Treaty of Versailles to Prohibition, the events of that year shaped America, and the world, for a century to come. ","['United States Politics and Government', 'New Year']",https://www.nytimes.com/2018/12/31/opinion/1919-america.html,article,Op-Ed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
In Search of Lost Screen Time,2019-01-01,-0.5574,0.16666666666666666,Opinion,"Imagine what we could do with our money, and hours, if we set our phones aside for a year.","['Smartphones', 'Social Media']",https://www.nytimes.com/2018/12/31/opinion/smartphones-screen-time.html,article,Op-Ed,"{'neg': 0.103, 'neu': 0.897, 'pos': 0.0, 'compound': -0.5574}"
"Warren Wells, Star Receiver With a Derailed Career, Dies at 76",2019-01-01,-0.6597,-0.02666666666666666,Obituaries,"Wells was a deep threat for the vaunted Oakland offenses of the late 1960s, but his playing days ended after he served a seasonlong prison sentence.","['Football', 'Deaths (Obituaries)']",https://www.nytimes.com/2018/12/31/obituaries/warren-wells-dead.html,article,Obituary (Obit),"{'neg': 0.184, 'neu': 0.67, 'pos': 0.146, 'compound': -0.6597}"
2019: The Year of the Wolves,2019-01-01,0.0,0.16666666666666666,Opinion,Can the Constitution withstand the partisans?,"['United States Politics and Government', 'Constitution (US)', 'Watergate Affair']",https://www.nytimes.com/2018/12/31/opinion/trump-indictment-2019.html,article,Op-Ed,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Why Trump Reigns as King Cyrus,2019-01-01,0.6124,0.11309523809523808,Opinion,The Christian right doesn’t like the president only for his judges. They like his style.,"['United States Politics and Government', 'Bible', 'Evangelical Movement']",https://www.nytimes.com/2018/12/31/opinion/trump-evangelicals-cyrus-king.html,article,Op-Ed,"{'neg': 0.0, 'neu': 0.881, 'pos': 0.119, 'compound': 0.6124}"
Wanted: A Jets Coach Who Suits Sam Darnold,2019-01-01,0.0,0.06666666666666667,Sports,"The quarterback won’t have a say in who will be his next coach, but the team is looking for a coach that can complement its future star.","['Football', 'Coaches and Managers']",https://www.nytimes.com/2018/12/31/sports/jets-coach-sam-darnold.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
Military Deletes New Year’s Eve Tweet Saying It’s ‘Ready to Drop Something’,2019-01-01,0.4019,0.0806060606060606,U.S.,The United States Strategic Command’s tweet also included a video that showed a B-2 stealth bomber releasing two bombs. Officials later apologized.,"['Nuclear Weapons', 'New Year', 'United States Defense and Military Forces', 'Computers and the Internet', 'Military Aircraft']",https://www.nytimes.com/2018/12/31/us/strategic-command-bomb-video.html,article,News,"{'neg': 0.069, 'neu': 0.828, 'pos': 0.103, 'compound': 0.4019}"
Firing of Several Black Coaches Puts N.F.L. Hiring Under Scrutiny,2019-01-01,-0.7902,0.01704545454545455,Sports,"There are now only two African-American head coaches, after five others were fired. Newly revised rules compel owners to more seriously consider minority candidates.","['Coaches and Managers', 'Football', 'Race and Ethnicity']",https://www.nytimes.com/2018/12/31/sports/nfl-black-coaches-fired.html,article,News,"{'neg': 0.145, 'neu': 0.855, 'pos': 0.0, 'compound': -0.7902}"
Quotation of the Day: Louis C.K. Mocks Parkland School Shooting Survivors in Recent Set,2019-01-01,-0.4588,0.08333333333333333,Today’s Paper,"Quotation of the Day for Tuesday, January 1, 2019.",[],https://www.nytimes.com/2018/12/31/todayspaper/quotation-of-the-day-louis-ck-mocks-parkland-school-shooting-survivors-in-recent-set.html,article,Quote,"{'neg': 0.073, 'neu': 0.927, 'pos': 0.0, 'compound': -0.4588}"
Video on Turkish TV Is Said to Show Khashoggi’s Remains Being Moved,2019-01-01,0.0,0.14365079365079367,World,"The television network A Haber broadcast footage of the residence of Saudi Arabia’s consul general in Istanbul, and of men carrying large suitcases inside.",['Assassinations and Attempted Assassinations'],https://www.nytimes.com/2018/12/31/world/middleeast/khashoggi-video-turkey.html,article,News,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}"
