0,1
"['""ncaa bracket""', '""snow storm""', '""ncaa tournament 2017 bracket""', '""complicit""', '""school closings""', '""tony romo""', '""ncaa tournament""', '""irs.gov refund status""', '""kong skull island""', '""march madness""', '""michigan basketball""', '""wbc""', '""nfl free agency""', '""world baseball classic""', '""weather nyc""', '""duke basketball""', '""oreillys""', '""cbs sports""', '""daylight savings 2017""', '""redskins""', '""cleveland browns""', '""weather channel""', '""nfl rumors""', '""dallas cowboys""', '""acc tournament""']","['""+1,650%""', '""+950%""', '""+900%""', '""+900%""', '""+650%""', '""+450%""', '""+400%""', '""+400%""', '""+300%""', '""+250%""', '""+250%""', '""+250%""', '""+250%""', '""+200%""', '""+150%""', '""+140%""', '""+140%""', '""+130%""', '""+120%""', '""+120%""', '""+120%""', '""+110%""', '""+110%""', '""+110%""', '""+110%""']"
"['""chuck berry""', '""march madness live""', '""auntie fee""', '""ncaa scores""', '""more life""', '""the belko experiment""', '""iron fist""', '""ncaa march madness""', '""chuck berry songs""', '""rachel maddow""', '""beauty and the beast cast""', '""first day of spring 2017""', '""first day of spring""', '""ncaa basketball scores""', '""march madness""', '""mass effect andromeda""', '""beauty and the beast""', '""gmail sign in""', '""emma watson""', '""espn bracket""', '""cbs sports""', '""ncaa""', '""drake""', '""leprechaun""', '""southwest airlines flights""']","['""+3,900%""', '""+1,700%""', '""+1,300%""', '""+700%""', '""+600%""', '""+550%""', '""+550%""', '""+450%""', '""+350%""', '""+300%""', '""+300%""', '""+300%""', '""+250%""', '""+250%""', '""+250%""', '""+250%""', '""+200%""', '""+200%""', '""+200%""', '""+190%""', '""+180%""', '""+170%""', '""+160%""', '""+150%""', '""+130%""']"
"['""london attack""', '""final four""', '""archie miller""', '""power rangers movie""', '""power rangers""', '""weather radar""', '""sing cast""', '""ghost in the shell""', '""gonzaga""', '""xavier basketball""', '""raiders""']","['""+2,850%""', '""+250%""', '""+200%""', '""+190%""', '""+160%""', '""+130%""', '""+120%""', '""+60%""', '""+50%""', '""+40%""', '""+40%""']"
"['""13 reasons why""', '""13 reasons why cast""', '""rick and morty season 3""', '""wrestlemania 33""', '""it trailer""', '""rick and morty""', '""ncaa final four""', '""the boss baby""', '""boss baby showtimes""', '""club penguin""', '""gonzaga university""', '""boss baby""', '""april the giraffe live feed""', '""galaxy s8""', '""mlb scores""', '""samsung galaxy s8""', '""liga mx""', '""ghost in the shell""', '""april the giraffe""', '""final four""', '""mama june""', '""gonzaga""', '""tony romo""', '""red sox""', '""gmail login""']","['""+1,850%""', '""+1,350%""', '""+850%""', '""+600%""', '""+550%""', '""+500%""', '""+450%""', '""+450%""', '""+400%""', '""+350%""', '""+350%""', '""+300%""', '""+300%""', '""+250%""', '""+250%""', '""+250%""', '""+250%""', '""+190%""', '""+180%""', '""+170%""', '""+170%""', '""+170%""', '""+160%""', '""+140%""', '""+120%""']"
"['""sergio garcia""', '""don rickles""', '""masters leaderboard""', '""syria""', '""kendall jenner pepsi ad""', '""pepsi""', '""justin rose""', '""syria gas attack""', '""going in style""', '""masters 2017""', '""masters""', '""united airlines""', '""san bernardino""', '""the case for christ""', '""casey anthony""', '""harry styles""', '""passover""', '""north korea""', '""mlb scores""', '""passover 2017""', '""delta airlines flights""', '""phillies""', '""13 reasons why""', '""13 reasons why cast""', '""real madrid""']","['""+3,800%""', '""+3,400%""', '""+2,900%""', '""+2,600%""', '""+1,600%""', '""+1,100%""', '""+1,050%""', '""+900%""', '""+600%""', '""+550%""', '""+450%""', '""+400%""', '""+300%""', '""+300%""', '""+300%""', '""+250%""', '""+250%""', '""+200%""', '""+160%""', '""+140%""', '""+110%""', '""+100%""', '""+100%""', '""+90%""', '""+70%""']"
"['""charlie murphy""', '""steve stephens""', '""cleveland shooting""', '""todd heap""', '""steve stephens video""', '""happy easter""', '""moab""', '""happy easter images""', '""isaiah thomas""', '""j geils""', '""eddie murphy""', '""nba playoffs""', '""aaron hernandez""', '""dodge demon""', '""coachella""', '""north korea news""', '""fate of the furious""', '""the fate of the furious""', '""deviled eggs""', '""north korea""', '""fast and furious 8""', '""kendrick lamar""', '""easter""', '""sean spicer""', '""cleveland""']","['""Breakout""', '""Breakout""', '""+3,400%""', '""+1,750%""', '""+1,650%""', '""+1,600%""', '""+1,550%""', '""+1,000%""', '""+950%""', '""+750%""', '""+650%""', '""+550%""', '""+500%""', '""+450%""', '""+450%""', '""+400%""', '""+400%""', '""+350%""', '""+350%""', '""+300%""', '""+300%""', '""+190%""', '""+150%""', '""+140%""', '""+140%""']"
"['""erin moran""', '""aaron hernandez""', '""unicorn frappuccino""', '""serena williams""', '""alexis ohanian""', '""bill oreilly""', '""starbucks unicorn drink""', '""french election""', '""french election results""', '""unforgettable""', '""born in china""', '""earth day""', '""the promise""', '""outlast 2""', '""nfl schedule""', '""fidget spinner""', '""starbucks""', '""google earth""', '""nfl draft""', '""nba scores""', '""galaxy s8""', '""warriors""', '""google classroom""', '""nfl""', '""kahoot""']","['""Breakout""', '""+950%""', '""+800%""', '""+750%""', '""+750%""', '""+700%""', '""+700%""', '""+650%""', '""+550%""', '""+450%""', '""+400%""', '""+300%""', '""+250%""', '""+250%""', '""+200%""', '""+90%""', '""+90%""', '""+80%""', '""+80%""', '""+70%""', '""+60%""', '""+50%""', '""+50%""', '""+50%""', '""+50%""']"
"['""fyre festival""', '""espn layoffs""', '""nfl draft grades""', '""nfl draft time""', '""nfl draft""', '""taco charlton""', '""michael mantenuto""', '""how to be a latin lover""', '""2017 nfl draft""', '""nfl""', '""patrick mahomes""', '""wwe payback""', '""the circle""', '""chicago bears""', '""jimmy johns""', '""steelers""', '""dallas cowboys""', '""fidget spinner""', '""spurs""', '""clippers""', '""weather radar""', '""espn""', '""guardians of the galaxy 2""', '""versace""']","['""+3,950%""', '""+2,350%""', '""+950%""', '""+900%""', '""+500%""', '""+450%""', '""+450%""', '""+450%""', '""+400%""', '""+300%""', '""+190%""', '""+190%""', '""+160%""', '""+130%""', '""+110%""', '""+90%""', '""+80%""', '""+60%""', '""+60%""', '""+60%""', '""+60%""', '""+50%""', '""+50%""', '""+50%""']"
"['""sally yates""', '""kentucky derby results""', '""canelo vs chavez""', '""lonzo ball shoes""', '""kentucky derby""', '""kentucky derby odds""', '""french election""', '""cinco de mayo""', '""emmanuel macron""', '""kentucky derby contenders 2017""', '""canelo vs chavez jr date""', '""stephen colbert""', '""guardians of the galaxy 2""', '""cavs""', '""warriors""', '""golden state warriors""', '""mothers day""', '""logic""', '""edible arrangements""', '""cleveland cavaliers""', '""chris pratt""', '""the boss baby""', '""cubs""', '""yankees""', '""college board""']","['""+1,300%""', '""+1,000%""', '""+950%""', '""+900%""', '""+850%""', '""+750%""', '""+500%""', '""+500%""', '""+500%""', '""+450%""', '""+350%""', '""+350%""', '""+300%""', '""+110%""', '""+110%""', '""+110%""', '""+100%""', '""+90%""', '""+60%""', '""+60%""', '""+50%""', '""+50%""', '""+50%""', '""+40%""', '""+40%""']"
"['""happy mothers day""', '""powers boothe""', '""happy mothers day images""', '""feliz dia de las madres""', '""sean spicer""', '""derek jeter""', '""avril lavigne""', '""big black""', '""malibu miley cyrus""', '""kawhi leonard""', '""truepeoplesearch""', '""comey""', '""james comey""', '""mothers day""', '""true people search""', '""ufc""', '""edible arrangements""', '""fathers day 2017""', '""bernie madoff""', '""real madrid""', '""celtics score""', '""celtics""', '""boston celtics""', '""trump""', '""donald trump""']","['""+2,750%""', '""+1,500%""', '""+1,250%""', '""+1,150%""', '""+600%""', '""+600%""', '""+500%""', '""+500%""', '""+500%""', '""+350%""', '""+300%""', '""+250%""', '""+200%""', '""+170%""', '""+160%""', '""+140%""', '""+80%""', '""+80%""', '""+70%""', '""+60%""', '""+60%""', '""+60%""', '""+50%""', '""+50%""', '""+50%""']"
"['""chris cornell""', '""ariana grande concert""', '""roger ailes""', '""nicky hayden""', '""roger moore""', '""soundgarden""', '""ariana grande""', '""pippa middleton wedding""', '""everything, everything""', '""male romper""', '""billboard music awards 2017""', '""romper""', '""rompers""', '""cher""', '""chris cornell cause of death""', '""preakness""', '""mens romper""', '""times square""', '""romphim""', '""cavs""', '""destiny 2""', '""manchester""', '""bernie madoff""', '""preakness 2017 horses""', '""chelsea manning""']","['""Breakout""', '""+3,200%""', '""+2,450%""', '""+2,150%""', '""+2,100%""', '""+1,900%""', '""+1,850%""', '""+1,300%""', '""+1,300%""', '""+1,100%""', '""+1,000%""', '""+950%""', '""+900%""', '""+850%""', '""+800%""', '""+800%""', '""+650%""', '""+550%""', '""+400%""', '""+400%""', '""+350%""', '""+300%""', '""+300%""', '""+300%""', '""+300%""']"
"['""gregg allman""', '""tiger woods""', '""montana special election""', '""pirates of the caribbean 2017""', '""dirty dancing 2017""', '""indy 500""', '""bella thorne""', '""memorial day""', '""pirates of the caribbean""', '""memorial day sales""', '""baywatch""', '""guardians of the galaxy vol. 2""', '""wonder woman""', '""dancing with the stars""', '""pepsi fire""', '""memorial day 2017""', '""costco hours""', '""bitcoin price""', '""pittsburgh penguins""', '""fathers day 2017""']","['""+2,850%""', '""+1,650%""', '""+1,050%""', '""+800%""', '""+600%""', '""+350%""', '""+300%""', '""+250%""', '""+250%""', '""+200%""', '""+180%""', '""+170%""', '""+110%""', '""+100%""', '""+90%""', '""+70%""', '""+60%""', '""+60%""', '""+50%""', '""+50%""']"
"['""covfefe""', '""kathy griffin trump""', '""kathy griffin""', '""paris climate agreement""', '""covfefe meaning""', '""london bridge""', '""london bridge attack""', '""cavs vs warriors""', '""bill maher""', '""kevin durant""', '""captain underpants""', '""warriors""', '""nba finals""', '""wonder woman""', '""real madrid""', '""golden state warriors""', '""gal gadot""', '""champions league""', '""nba finals schedule 2017""', '""london""', '""french open""', '""fathers day""', '""wwe extreme rules 2017""', '""fathers day 2017""', '""cavs""']","['""Breakout""', '""+5,000%""', '""+5,000%""', '""+2,000%""', '""+1,850%""', '""+1,750%""', '""+1,000%""', '""+750%""', '""+700%""', '""+450%""', '""+400%""', '""+350%""', '""+350%""', '""+300%""', '""+300%""', '""+250%""', '""+200%""', '""+200%""', '""+190%""', '""+180%""', '""+130%""', '""+130%""', '""+120%""', '""+120%""', '""+110%""']"
