real_date_trends_songs,percent_change,NYT_vader,NYT_textblob,NYT_bert,NYT_flair
5/22/18,0.001535162,-0.021034239,0.075215026,-0.058178634,-0.075520758
5/29/18,-0.004785021,0.025211875,0.076561427,-0.165154866,-0.086734716
6/5/18,0.026912061,0.08868866,0.099130094,0.01797118,0.067840306
6/12/18,-0.009009393,0.070189848,0.058565326,-0.004973303,-0.069677618
6/19/18,-0.020731145,0.011953927,0.075054333,-0.081735158,-0.052903409
6/26/18,-0.012750804,0.010522086,0.096986795,-0.060321445,-0.012544195
7/3/18,0.00756732,0.077327381,0.077410557,0.052061098,0.047568713
7/10/18,0.022499731,0.115247647,0.059693813,0.001225726,0.043336733
7/17/18,0.001544809,0.026026286,0.078880305,-0.05334842,-0.058002599
7/24/18,0.015439043,0.024069182,0.064310366,-0.180188082,-0.107475944
7/31/18,0.000452429,0.027459459,0.077515819,-0.223301945,-0.13447633
8/7/18,-0.005903653,-0.016491837,0.067657692,-0.135149768,-0.000713104
8/14/18,0.013875708,0.052265823,0.092106643,-0.152146374,-0.083670051
8/21/18,0.004692841,-0.017276023,0.082429167,-0.009197429,-0.011916327
8/28/18,0.006719477,-0.036069851,0.12842835,-0.522154979,-0.015754515
9/4/18,-0.001862903,-0.001780357,0.065884461,0.015719633,0.038495743
9/11/18,0.009104684,0.047637895,0.087866987,-0.043655689,0.017062369
9/18/18,0.022017687,0.067759341,0.100474753,0.085354991,0.051030162
9/25/18,-0.010778844,-0.051459116,0.073620536,-0.081504127,0.202793923
10/2/18,-0.000425756,0.034822652,0.07634471,-0.121657549,-0.002115274
10/9/18,-0.043688257,0.119041379,0.037588594,0.168413345,0.197906332
10/16/18,0.004101109,-0.010311386,0.080905706,-0.042085369,0.004000096
10/23/18,-0.030622995,0.007243169,0.070725212,-0.226339826,0.003788417
10/30/18,0.023051083,-0.052768553,0.043175923,-0.162117785,0.204694295
11/6/18,0.027644838,0.02768383,0.112025905,-0.17787992,0.00196335
11/13/18,-0.022668517,-0.004120225,0.057442504,-0.064866108,0.20131895
11/20/18,-0.046416549,0.008131443,0.064536728,-0.197087607,0.009790904
11/27/18,0.049044069,0.001864626,0.076858522,-0.193636689,0.000798694
12/4/18,-0.04713241,-0.005678421,0.062310251,-0.153954933,-0.062879785
12/11/18,-0.011968211,0.054846703,0.123927963,0.012998267,0.08343347
12/18/18,-0.07374082,-0.006439181,0.067144183,-0.134641299,-0.15122148
12/25/18,0.026754804,0.003588525,0.062371411,0.094432317,0.037300916
1/1/19,0.015822023,-0.04011358,0.071361261,-0.208734076,-0.0372464
1/8/19,0.023453541,0.010335625,0.054845384,-0.197521568,-0.143669203
1/15/19,0.028753741,0.075884211,0.057492477,-0.115125214,0.183903096
1/22/19,0.00124711,0.00838908,0.0870493,-0.04749819,0.180457623
1/29/19,0.01303429,-0.005958025,0.058305815,-0.19357987,0.175037521
2/5/19,0.00169041,-0.007863291,0.059382394,-0.006332223,0.175855938
2/12/19,0.030016323,0.03446802,0.075134239,-0.064091536,-0.025227608
2/19/19,0.005706864,-0.017443506,0.074846134,-0.012593476,-0.026663292
2/26/19,-0.00021094,0.009865269,0.092159292,-0.052471118,-0.023635041
3/5/19,-0.022635543,-0.056610759,0.027560249,-0.102857556,-0.021384442
3/12/19,0.015421564,-0.097478919,0.072288461,-0.161380819,-0.01922636
3/19/19,-0.01358896,-0.006839344,0.079106244,-0.156974235,-0.01502816
3/26/19,0.016443568,-0.019630409,0.061638627,-0.204369337,-0.011255917
4/2/19,0.018781842,-0.014588372,0.075603348,-0.180279994,-0.127709071
4/9/19,-0.000480458,0.061519767,0.082447093,-0.138477553,-0.081711722
4/16/19,0.008402382,0.020273418,0.084052024,0.009692488,0.022267236
4/23/19,0.004936457,-0.051683626,0.072258843,-0.272309488,-0.169849158
4/30/19,-0.001448031,0.035993989,0.095636363,-0.097048071,-0.11322155
5/7/19,-0.02168576,0.024255,0.066826943,-0.047498489,-0.009016604
5/14/19,-0.006923226,-0.007502793,0.085748055,-0.154442773,-0.096725453
5/21/19,-0.00696913,0.054310303,0.088634253,-0.11400025,-0.133107621
5/28/19,-0.031055763,0.020687013,0.066144082,0.003727108,-0.021170024
6/4/19,0.044985479,-0.03508956,0.061832299,-0.071353552,-0.002256084
6/11/19,0.004050271,-0.032546951,0.075923625,-0.09994136,-0.003657999
