date,vader_SA_daily_average,textblob_SA_daily_average
2017-01-01,0.05236575342465753,0.14507645242078612
2017-01-02,-0.04773977272727273,0.0795781953736499
2017-01-03,0.038190540540540545,0.11550224721626233
2017-01-04,0.054095,0.1347694538369968
2017-01-05,0.06644812834224598,0.1218777125404799
2017-01-06,0.034963963963963965,0.11758097924764589
2017-01-07,0.013456976744186047,0.1013352132901551
2017-01-08,0.06533376623376624,0.1443154551076629
2017-01-09,0.046715675675675666,0.1048403892153892
2017-01-10,0.08588571428571427,0.12596828413682468
2017-01-11,0.055791509433962265,0.1272875288146514
2017-01-12,0.03917586206896552,0.12090978142455971
2017-01-13,0.08670869565217391,0.1161593603653281
2017-01-14,0.028709615384615382,0.12613066042753537
2017-01-15,0.09623552631578948,0.12341635140566058
2017-01-16,-0.009096124031007749,0.10480580035812592
2017-01-17,0.02694204545454545,0.1169388368797358
2017-01-18,0.05956801801801802,0.12058676276384606
2017-01-19,0.012604597701149427,0.12064534038532641
2017-01-20,0.06549045801526718,0.11696785250070416
2017-01-21,0.054016513761467884,0.11842205964027719
2017-01-22,-0.015275949367088608,0.11618365832692641
2017-01-23,0.011637714285714286,0.11363841409912835
2017-01-24,0.019428901734104043,0.10995257905229
2017-01-25,0.0036130841121495305,0.11928387753830008
2017-01-26,0.04560628019323672,0.1103346170688146
2017-01-27,0.02059106382978723,0.11762669117722306
2017-01-28,-0.016707207207207215,0.12043774293774293
2017-01-29,-0.1309513157894737,0.13567813815894952
2017-01-30,0.09114788732394366,0.15264102215236797
2017-01-31,0.03420735294117647,0.13368980969913213
2017-02-01,0.048137391304347826,0.12666598124324452
2017-02-02,0.027488841201716737,0.11947709390037713
2017-02-03,0.04850286885245902,0.14161019825217716
2017-02-04,0.027412621359223302,0.1358847912951588
2017-02-05,0.03817346938775509,0.09888495008392965
2017-02-06,0.08047869822485208,0.1225056763037532
2017-02-07,-0.02468435754189944,0.11863790160973584
2017-02-08,0.06816600985221676,0.13962708250027916
2017-02-09,-0.02232863636363636,0.11083549627790328
2017-02-10,0.08138033472803347,0.13727130213270378
2017-02-11,0.06650094339622642,0.13400534004233883
2017-02-12,0.1062590909090909,0.15553750778892822
2017-02-13,0.06271083743842365,0.12047611178113463
2017-02-14,0.0409045871559633,0.12362999269249265
2017-02-15,0.08220925925925926,0.12216531273095173
2017-02-16,0.0723139344262295,0.12013624417603239
2017-02-17,0.11608780487804879,0.13917142632284907
2017-02-18,0.020675,0.12113532647907645
2017-02-19,0.0105020202020202,0.11716906012991868
2017-02-20,0.005358015267175572,0.100547296391762
2017-02-21,0.003494179894179896,0.11652044506541859
2017-02-22,0.03937582417582418,0.11820627669288379
2017-02-23,0.059948803827751196,0.12430242487316988
2017-02-24,-0.01543032786885246,0.1265515942985438
2017-02-25,-0.01477232142857143,0.1059612598669518
2017-02-26,0.03168625,0.09991050948472821
2017-02-27,0.09348631578947368,0.12422734139642032
2017-02-28,0.029377248677248682,0.1026007476503508
2017-03-01,0.03333663793103448,0.11569980037921844
2017-03-02,0.0720467248908297,0.11955544993445281
2017-03-03,0.12987510917030567,0.14478778953942703
2017-03-04,0.05929809523809524,0.11656567242281524
2017-03-05,-2.6865671641796373e-05,0.11306478071403442
2017-03-06,0.03283060109289618,0.12354404599506079
