date,DJIA_percent_change,trends_bert_sum,trends_bert_mean,trends_vader_mean,trends_vader_sum,trends_textblob_mean,trends_textblob_sum,NYT_vader,NYT_textblob,NYT_flair,NYT_bert,whole_song_vader,song_mean_by_sentence_vader,song_mean_by_sentence_without_0_vader,whole_song_textblob,song_by_sentence_without_0_textblob,song_bert,song_flair,WEIGHTED_whole_song_score,WEIGHTED_mean_by_sentence_song_score,WEIGHTED_mean_without_0_by_sentence_song_score,WEIGHTED_tb_whole_song,WEIGHTED_tb_song_by_sentence,WEIGHTED_tb_song_by_sentence_without_0,WEIGHTED_bert,WEIGHTED_flair
2017-01-03,0.010078242,-1.2516819834709167,-0.0500672793388366,0.0559559999999999,1.3989,0.1309090909090909,3.272727272727273,0.022296622,0.071347053,0.059468429,0.011698801,0.342644,0.058717405,0.113224206,0.102330329,0.118448238,3.330889383,0.132211426,0.34619128333913185,0.058468300563333,0.11270040861612501,0.10801649791701756,0.04599522547727496,0.12402452091465603,3.597214100549936,0.09105972914480193
2017-01-10,-0.003925931,-4.2717496156692505,-0.17086998462677,0.031796,0.7948999999999999,0.0673333333333333,1.6833333333333331,0.087536508,0.094456349,0.007536067,0.054493264,0.282988,0.048846632,0.085448719,0.075832646,0.087923541,3.197612319,0.018187199,0.31591980491339483,0.05393659762904845,0.0991183432198041,0.08519775036362552,0.037470649237625726,0.09730297286409446,3.4867111523603143,-0.00906953426517459
2017-01-17,-0.002949476,-13.035086810588837,-0.5214034724235534,0.005624,0.1406,-0.0212121212121212,-0.5303030303030305,0.034522159,0.092090328,0.046848101,0.034319873,0.24816,0.039356385,0.070404304,0.072616219,0.084230845,3.180948054,0.057724767,0.2828758910628885,0.043809375645650094,0.08309335051749674,0.08123815523568939,0.03595775502655212,0.09251647906010131,3.4330356385447307,0.03599185258772779
2017-01-24,0.013264304,2.774017632007599,0.1109607052803039,0.0,0.0,0.0094545454545454,0.2363636363636363,0.019754913,0.064662778,-0.089692084,-0.054306772,0.313874,0.046611237,0.091588635,0.086640109,0.098249304,3.214145358,0.095629327,0.34387740108172055,0.05008510506756081,0.0987433739584378,0.09307171067973141,0.03985302865934079,0.10494827797989019,3.521329992036421,0.06894771937584514
2017-01-31,-0.001112027,-7.994503855705261,-0.3197801542282104,-0.0500279999999999,-1.2507,-0.0184848484848484,-0.4621212121212121,0.028894118,0.08608561,-0.02180335,0.033067432,0.29395,0.04505506,0.090661791,0.080233825,0.095805595,3.190644186,0.108502529,0.3238338804789203,0.048548793344457115,0.09891829247543558,0.08710313120286278,0.03858426471080021,0.1035882522834778,3.501793866694183,0.08461196558806373
2017-02-07,0.009763994,-4.0932424664497375,-0.1637296986579895,0.11878,2.9695,0.0586666666666666,1.4666666666666666,-0.025818994,0.081002179,-0.091978076,-0.073717951,0.397111,0.054598829,0.113099671,0.093411946,0.114321764,3.236636251,0.090160969,0.44919211733859066,0.06237283526135074,0.12850215511911925,0.1055740103812824,0.04741410458205339,0.12730735429834783,3.5563821630547183,0.07056770378290501
2017-02-14,0.017197398,2.4364749789237976,0.0974589991569519,0.089448,2.2362,0.094,2.35,0.058297248,0.073156736,0.086926557,0.06788089,0.344772,0.055539812,0.110314021,0.092687966,0.111704641,3.227970508,0.088777893,0.3870789701347672,0.062110137076695986,0.12231171504854162,0.10160270589061278,0.0445020929577015,0.12246094393898432,3.529949483189206,0.08850537924289821
2017-02-21,0.009495355,-5.432894289493561,-0.2173157715797424,0.02734,0.6835,0.0081818181818181,0.2045454545454545,0.006594709,0.06895276,0.125484578,0.014642663,0.415443,0.058202148,0.117517879,0.085400246,0.102642422,3.219632647,0.077700514,0.4611550362274676,0.06540111124963213,0.1315373164458573,0.09474850397796528,0.04019347523493243,0.11188125380164317,3.5089827105228846,0.06593079341243681
2017-02-28,0.008757143,3.5599276423454285,0.1423971056938171,0.0479319999999999,1.1983,0.0,0.0,0.058428042,0.069557119,-0.001128097,0.013371323,0.380286,0.049646731,0.100777496,0.075004034,0.090776493,3.212367881,0.145366615,0.4282715675549425,0.05654689412302414,0.11400985674160619,0.08501743289072065,0.03615040879345207,0.10353345414207625,3.5497918777921904,0.13552019521007272
2017-03-07,-0.00491461,-8.607940196990967,-0.3586641748746236,0.0244125,0.5859,0.0,0.0,0.043177778,0.065890821,-0.224364296,-0.142418973,0.347911,0.048057688,0.096886435,0.077959609,0.091592993,3.212717414,0.033159288,0.4007710312788677,0.055656063231635626,0.11082143838843336,0.08840672343665737,0.03599716323344561,0.10457345550686929,3.568763700248919,0.023000166158209764
2017-03-14,0.000556548,-14.32066172361374,-0.5728264689445496,0.002808,0.0702,0.0226666666666666,0.5666666666666667,0.067877228,0.072602028,-0.012241767,-0.035148552,0.377545,0.051470056,0.099859759,0.0767385,0.093285767,3.250635374,0.065791107,0.42567448653419143,0.05954665945042494,0.11427520136483722,0.08787079889212021,0.03677948109523177,0.10743757766957839,3.624684052091918,0.05779458462957306
2017-03-21,-0.015434496,-5.453407227993012,-0.2181362891197204,-0.005976,-0.1494000000000001,0.0454545454545454,1.1363636363636362,0.015354011,0.051784495,0.061995838,0.120341458,0.438685,0.064427246,0.128901804,0.099353505,0.118898488,3.340098706,0.123055721,0.5040004046324436,0.07590117603889278,0.1513571219829603,0.11411666443150999,0.04406824742071568,0.13554587603369914,3.754992649385945,0.11503210538456582
