real_date_trends_songs,percent_change,NYT_vader,NYT_textblob,NYT_bert,NYT_flair,whole_song_score,mean_by_sentence_song_score,mean_without_0_by_sentence_song_score,tb_whole_song,tb_song_by_sentence,tb_song_by_sentence_without_0,bert,flair
8/8/2017,-0.010727723,-0.003881132,0.051356756,-0.082128305,0.015454286,0.284274747,0.049633607,0.098063324,0.051572954,0.015348117,0.062334734,3.139224364,0.162020152
8/15/2017,-0.008480469,-0.055038182,0.038861341,-0.09951759,0.017933518,0.355017172,0.059075436,0.111641512,0.058311528,0.022126048,0.070826086,3.179847218,0.151430113
8/22/2017,0.006379486,-0.032154749,0.046951926,-0.1438219,0.011940001,0.373022222,0.059620968,0.116899018,0.058539772,0.023638822,0.073962349,3.155456811,0.155197099
8/29/2017,0.007908563,-0.009062092,0.066409642,-0.019141636,0.010391438,0.36799596,0.062127928,0.117979683,0.061302242,0.025953433,0.076711446,3.178967272,0.093403259
9/5/2017,-0.008705928,0.028615152,0.061786316,0.040656829,0.012393971,0.350285859,0.066363853,0.127244062,0.060748939,0.02481626,0.076545377,3.165010553,0.033955598
9/12/2017,0.021130897,0.044004523,0.079051866,0.122664169,0.149508222,0.329104,0.052677315,0.101965668,0.051733314,0.019891061,0.067865089,3.037390922,-0.084427893
9/19/2017,0.003635413,-0.058912429,0.067068188,-0.019733235,0.038135708,0.341446,0.055329582,0.107182308,0.063776224,0.022553756,0.081892807,3.107823427,-0.015403682
9/26/2017,0.002477116,-0.019101579,0.070734405,0.033445273,0.009190236,0.289841,0.047484333,0.099113638,0.058145813,0.020433681,0.073660426,3.112787793,-0.019821762
10/3/2017,0.01618448,-0.002572165,0.074162487,0.008201448,0.067421772,0.309464,0.050543002,0.107177389,0.069273556,0.023912457,0.083081199,3.115734484,-0.017476734
10/10/2017,0.004286953,0.030512821,0.066014733,-0.045132171,-0.079888663,0.353427,0.055529979,0.113759458,0.072304372,0.026456775,0.088652949,3.174756301,0.003453662
10/17/2017,0.019585805,-0.031388889,0.049464859,-0.137852271,-0.104052219,0.346655,0.053293589,0.112509756,0.068081182,0.026507505,0.086384968,3.12419518,-0.034929102
10/24/2017,0.004504529,0.080037563,0.085197324,0.036026924,0.184060915,0.387625,0.058356058,0.122693976,0.072764349,0.027266528,0.088113588,3.161588912,0.006455921
10/31/2017,0.004460646,-0.035161576,0.082355914,0.047273214,0.070270342,0.356994,0.053533079,0.10536757,0.053010177,0.024453614,0.07171448,3.162629487,-0.035268059
11/7/2017,-0.004994405,0.034638095,0.06733699,-0.021426163,0.055299215,0.355861,0.05604424,0.11009246,0.064948064,0.028275187,0.086098351,3.158830312,-0.08567933
11/14/2017,-0.002738648,0.037296296,0.094231183,-0.062453134,-0.089071465,0.271466,0.044581134,0.085093184,0.046632127,0.023302586,0.06246963,3.153534659,-0.063239884
