Date, Open, High, Low, Close
09/28/21, 34747.70, 34798.21, 34254.65, 34299.99
09/27/21, 34739.27, 35061.12, 34739.27, 34869.37
09/24/21, 34762.31, 34857.06, 34648.08, 34798.00
09/23/21, 34296.30, 34879.78, 34296.30, 34764.82
09/22/21, 34006.87, 34440.42, 34006.87, 34258.32
09/21/21, 34025.61, 34313.88, 33914.02, 33919.84
09/20/21, 34459.72, 34459.72, 33613.03, 33970.47
09/17/21, 34737.86, 34779.86, 34519.63, 34584.88
09/16/21, 34810.27, 34943.55, 34540.11, 34751.32
09/15/21, 34580.95, 34880.77, 34522.03, 34814.39
09/14/21, 34906.90, 34990.36, 34510.30, 34577.57
09/13/21, 34665.50, 34939.10, 34665.50, 34869.63
09/10/21, 34949.59, 35104.25, 34599.61, 34607.72
09/09/21, 35013.08, 35199.89, 34847.30, 34879.38
09/08/21, 35087.45, 35175.15, 34925.61, 35031.07
09/07/21, 35373.24, 35373.24, 35060.90, 35100.00
09/03/21, 35401.73, 35422.71, 35269.40, 35369.09
09/02/21, 35353.06, 35475.40, 35348.48, 35443.82
09/01/21, 35387.55, 35407.37, 35287.05, 35312.53
08/31/21, 35391.38, 35449.79, 35289.86, 35360.73
08/30/21, 35471.80, 35510.71, 35374.46, 35399.84
08/27/21, 35231.11, 35479.18, 35231.11, 35455.80
08/26/21, 35449.68, 35498.45, 35205.10, 35213.12
08/25/21, 35388.77, 35501.14, 35287.63, 35405.50
08/24/21, 35382.72, 35445.47, 35356.18, 35366.26
08/23/21, 35160.97, 35428.91, 35160.97, 35335.71
08/20/21, 34917.96, 35177.26, 34867.07, 35120.08
08/19/21, 34874.67, 34997.81, 34690.25, 34894.12
08/18/21, 35310.20, 35356.80, 34943.41, 34960.69
08/17/21, 35500.01, 35500.01, 35120.31, 35343.28
08/16/21, 35490.83, 35631.19, 35231.87, 35625.40
08/13/21, 35551.56, 35610.57, 35474.78, 35515.38
08/12/21, 35481.94, 35510.77, 35352.53, 35499.85
08/11/21, 35300.89, 35501.16, 35300.89, 35484.97
08/10/21, 35135.17, 35285.16, 35091.91, 35264.67
08/09/21, 35229.67, 35229.67, 35041.24, 35101.85
08/06/21, 35077.44, 35246.79, 35077.44, 35208.51
08/05/21, 34815.61, 35067.54, 34815.61, 35064.25
08/04/21, 35047.44, 35047.44, 34790.62, 34792.67
08/03/21, 34864.10, 35120.94, 34714.33, 35116.40
08/02/21, 34968.56, 35192.11, 34808.20, 34838.16
07/30/21, 35013.26, 35106.30, 34871.13, 34935.47
07/29/21, 34985.99, 35171.52, 34985.99, 35084.53
07/28/21, 35109.95, 35116.37, 34876.84, 34930.93
07/27/21, 35078.90, 35078.90, 34878.07, 35058.52
07/26/21, 35055.86, 35150.37, 34950.19, 35144.31
07/23/21, 34855.11, 35095.33, 34855.11, 35061.55
07/22/21, 34799.68, 34879.28, 34673.03, 34823.35
07/21/21, 34556.96, 34820.24, 34556.96, 34798.00
07/20/21, 33981.79, 34621.79, 33981.79, 34511.99
07/19/21, 34528.48, 34528.48, 33741.76, 33962.04
07/16/21, 35007.94, 35090.01, 34647.82, 34687.85
07/15/21, 34924.81, 34990.41, 34762.87, 34987.02
07/14/21, 34920.83, 35069.18, 34826.87, 34933.23
07/13/21, 34959.96, 35018.79, 34876.89, 34888.79
07/12/21, 34836.75, 35014.90, 34730.15, 34996.18
07/09/21, 34457.51, 34893.72, 34457.51, 34870.16
07/08/21, 34569.01, 34569.01, 34145.59, 34421.93
07/07/21, 34604.17, 34708.78, 34435.59, 34681.79
07/06/21, 34790.16, 34814.20, 34358.42, 34577.37
07/02/21, 34642.42, 34821.93, 34613.49, 34786.35
07/01/21, 34507.32, 34640.28, 34498.85, 34633.53
06/30/21, 34290.74, 34553.16, 34245.48, 34502.51
06/29/21, 34338.89, 34469.83, 34266.83, 34292.29
06/28/21, 34428.10, 34449.65, 34186.13, 34283.27
06/25/21, 34328.10, 34501.02, 34314.80, 34433.84
06/24/21, 33933.91, 34233.02, 33933.91, 34196.82
06/23/21, 33948.54, 34009.40, 33869.83, 33874.24
06/22/21, 33872.56, 34040.70, 33751.06, 33945.58
06/21/21, 33312.07, 33908.09, 33312.07, 33876.97
06/18/21, 33622.70, 33622.70, 33271.93, 33290.08
06/17/21, 34014.38, 34091.79, 33626.61, 33823.45
06/16/21, 34308.48, 34333.25, 33917.11, 34033.67
06/15/21, 34397.10, 34420.38, 34199.16, 34299.33
06/14/21, 34472.52, 34472.52, 34211.54, 34393.75
06/11/21, 34499.81, 34618.09, 34328.65, 34479.60
06/10/21, 34502.51, 34737.79, 34447.25, 34466.24
06/09/21, 34626.16, 34654.67, 34439.37, 34447.14
06/08/21, 34645.84, 34665.38, 34452.94, 34599.82
06/07/21, 34766.20, 34820.91, 34574.51, 34630.24
06/04/21, 34618.69, 34772.12, 34618.69, 34756.39
06/03/21, 34550.31, 34667.41, 34334.41, 34577.04
06/02/21, 34614.62, 34706.65, 34545.96, 34600.38
06/01/21, 34584.19, 34849.32, 34542.87, 34575.31
05/28/21, 34558.50, 34631.11, 34520.09, 34529.45
05/27/21, 34432.47, 34608.82, 34389.24, 34464.64
05/26/21, 34336.34, 34409.59, 34271.44, 34323.05
05/25/21, 34428.66, 34511.35, 34266.03, 34312.46
05/24/21, 34253.87, 34472.51, 34253.87, 34393.98
05/21/21, 34121.91, 34415.48, 34121.91, 34207.84
05/20/21, 33906.30, 34233.40, 33872.41, 34084.15
05/19/21, 33945.81, 33945.81, 33473.80, 33896.04
05/18/21, 34351.18, 34408.99, 34044.10, 34060.66
05/17/21, 34375.29, 34383.84, 34176.65, 34327.79
05/14/21, 34050.86, 34454.05, 34050.86, 34382.13
05/13/21, 33624.74, 34181.77, 33623.49, 34021.45
05/12/21, 34206.40, 34207.87, 33555.22, 33587.66
05/11/21, 34572.74, 34572.74, 34075.31, 34269.16
05/10/21, 34785.27, 35091.56, 34741.57, 34742.82
05/07/21, 34578.27, 34811.39, 34464.31, 34777.76
05/06/21, 34245.11, 34561.29, 34185.06, 34548.53
05/05/21, 34163.99, 34331.20, 34039.66, 34230.34
05/04/21, 34080.20, 34147.78, 33765.68, 34133.03
05/03/21, 33904.89, 34221.06, 33904.89, 34113.23
04/30/21, 33988.75, 33988.75, 33784.96, 33874.85
04/29/21, 33855.64, 34087.21, 33744.28, 34060.36
04/28/21, 33860.46, 33946.60, 33805.56, 33820.38
04/27/21, 33932.13, 34043.98, 33870.46, 33984.93
04/26/21, 34044.23, 34148.94, 33941.37, 33981.57
04/23/21, 33804.52, 34157.57, 33713.29, 34043.49
04/22/21, 34109.88, 34126.57, 33717.19, 33815.90
04/21/21, 33808.30, 34160.34, 33773.80, 34137.31
04/20/21, 34034.18, 34034.18, 33687.01, 33821.30
04/19/21, 34182.38, 34182.38, 33980.56, 34077.63
04/16/21, 34058.16, 34256.75, 34058.16, 34200.67
04/15/21, 33788.53, 34068.73, 33788.53, 34035.99
04/14/21, 33668.95, 33911.25, 33668.95, 33730.89
04/13/21, 33721.16, 33741.64, 33545.84, 33677.27
04/12/21, 33775.06, 33786.19, 33665.54, 33745.40
04/09/21, 33526.19, 33810.87, 33526.19, 33800.60
04/08/21, 33469.89, 33506.80, 33342.64, 33503.57
04/07/21, 33444.98, 33521.76, 33347.96, 33446.26
04/06/21, 33500.02, 33544.79, 33380.43, 33430.24
04/05/21, 33222.38, 33617.95, 33222.38, 33527.19
04/01/21, 33054.58, 33167.17, 32985.35, 33153.21
03/31/21, 33116.04, 33173.77, 32980.57, 32981.55
03/30/21, 33127.88, 33170.93, 32988.92, 33066.96
03/29/21, 33087.55, 33259.00, 32905.13, 33171.37
03/26/21, 32681.07, 33098.83, 32681.07, 33072.88
03/25/21, 32346.81, 32672.69, 32071.41, 32619.48
03/24/21, 32470.88, 32787.99, 32418.15, 32420.06
03/23/21, 32691.50, 32753.77, 32356.28, 32423.15
03/22/21, 32601.82, 32810.35, 32512.53, 32731.20
03/19/21, 32858.36, 32858.36, 32505.07, 32627.97
03/18/21, 32928.16, 33227.78, 32831.25, 32862.30
03/17/21, 32825.52, 33047.58, 32782.18, 33015.37
03/16/21, 32966.75, 32966.75, 32778.23, 32825.95
03/15/21, 32798.84, 32973.40, 32629.75, 32953.46
03/12/21, 32462.40, 32793.32, 32462.40, 32778.64
03/11/21, 32354.50, 32661.59, 32345.70, 32485.59
03/10/21, 31906.96, 32389.50, 31906.96, 32297.02
03/09/21, 31892.35, 32150.32, 31822.64, 31832.74
03/08/21, 31512.15, 32148.04, 31512.15, 31802.44
03/05/21, 31029.18, 31580.33, 30766.81, 31496.30
03/04/21, 31289.01, 31461.97, 30547.53, 30924.14
03/03/21, 31352.96, 31563.31, 31260.14, 31270.09
03/02/21, 31535.37, 31623.27, 31377.16, 31391.52
03/01/21, 31065.90, 31668.34, 31065.90, 31535.51
02/26/21, 31401.29, 31450.89, 30911.37, 30932.37
02/25/21, 31955.94, 31984.77, 31293.32, 31402.01
02/24/21, 31499.75, 32009.64, 31421.29, 31961.86
02/23/21, 31501.89, 31653.38, 31158.76, 31537.35
02/22/21, 31381.12, 31653.48, 31286.57, 31521.69
02/19/21, 31504.13, 31647.53, 31469.34, 31494.32
02/18/21, 31558.60, 31558.60, 31285.32, 31493.34
02/17/21, 31485.61, 31643.70, 31338.76, 31613.02
02/16/21, 31472.08, 31608.63, 31443.48, 31522.75
02/12/21, 31420.80, 31475.31, 31347.80, 31458.40
02/11/21, 31466.49, 31543.82, 31244.36, 31430.70
02/10/21, 31428.02, 31511.44, 31221.32, 31437.80
02/09/21, 31359.88, 31439.47, 31245.86, 31375.83
02/08/21, 31191.20, 31386.10, 31191.20, 31385.76
02/05/21, 31093.81, 31252.18, 31083.22, 31148.24
02/04/21, 30737.78, 31065.96, 30737.78, 31055.86
02/03/21, 30689.65, 30793.41, 30521.31, 30723.60
02/02/21, 30276.88, 30840.54, 30276.88, 30687.48
02/01/21, 30054.73, 30335.91, 30014.97, 30211.91
01/29/21, 30553.91, 30553.91, 29856.30, 29982.62
01/28/21, 30377.19, 30951.41, 30377.19, 30603.36
01/27/21, 30893.78, 30893.78, 30206.91, 30303.17
01/26/21, 30968.55, 31121.42, 30921.71, 30937.04
01/25/21, 30989.85, 30989.85, 30564.06, 30960.00
01/22/21, 31141.56, 31141.56, 30908.47, 30996.98
01/21/21, 31198.01, 31272.22, 31120.92, 31176.01
01/20/21, 31017.54, 31235.98, 30997.79, 31188.38
01/19/21, 30887.42, 31086.62, 30865.03, 30930.52
01/15/21, 30926.77, 30941.98, 30612.67, 30814.26
01/14/21, 31085.67, 31223.78, 30982.24, 30991.52
01/13/21, 31084.88, 31153.37, 30992.05, 31060.47
01/12/21, 31015.01, 31114.56, 30888.76, 31068.69
01/11/21, 31015.37, 31096.98, 30832.06, 31008.69
01/08/21, 31069.58, 31140.67, 30793.27, 31097.97
01/07/21, 30901.18, 31193.40, 30897.86, 31041.13
01/06/21, 30362.78, 31022.65, 30313.07, 30829.40
01/05/21, 30204.25, 30504.89, 30141.78, 30391.60
01/04/21, 30627.47, 30674.28, 29881.82, 30223.89
12/31/20, 30417.64, 30637.47, 30344.50, 30606.48
12/30/20, 30415.09, 30525.35, 30393.04, 30409.56
12/29/20, 30492.07, 30588.79, 30274.24, 30335.67
12/28/20, 30283.23, 30525.56, 30283.23, 30403.97
12/24/20, 30155.92, 30209.67, 30099.30, 30199.87
12/23/20, 30046.73, 30292.53, 30046.73, 30129.83
12/22/20, 30200.20, 30200.20, 29992.89, 30015.51
12/21/20, 30159.00, 30304.14, 29755.53, 30216.45
12/18/20, 30314.26, 30343.59, 30029.44, 30179.05
12/17/20, 30216.00, 30323.78, 30216.00, 30303.37
12/16/20, 30191.38, 30236.03, 30080.11, 30154.54
12/15/20, 29919.09, 30243.26, 29894.95, 30199.31
12/14/20, 30123.91, 30325.79, 29849.15, 29861.55
12/11/20, 29988.21, 30071.13, 29820.84, 30046.37
12/10/20, 30032.55, 30063.87, 29876.82, 29999.26
12/09/20, 30229.81, 30319.70, 29951.85, 30068.81
12/08/20, 29997.95, 30246.22, 29972.07, 30173.88
12/07/20, 30233.03, 30233.03, 29967.22, 30069.79
12/04/20, 29989.56, 30218.26, 29989.56, 30218.26
12/03/20, 29920.83, 30110.88, 29877.27, 29969.52
12/02/20, 29695.09, 29902.51, 29599.29, 29883.79
12/01/20, 29797.50, 30083.31, 29797.50, 29823.92
11/30/20, 29854.51, 29854.51, 29463.64, 29638.64
11/27/20, 29911.33, 30015.13, 29819.98, 29910.37
11/25/20, 30058.87, 30058.87, 29806.25, 29872.47
11/24/20, 29746.11, 30116.51, 29746.11, 30046.24
11/23/20, 29332.82, 29667.75, 29332.82, 29591.27
11/20/20, 29437.57, 29469.89, 29231.20, 29263.48
11/19/20, 29370.92, 29524.90, 29228.38, 29483.23
11/18/20, 29875.40, 29930.85, 29432.84, 29438.42
11/17/20, 29800.15, 29872.42, 29520.29, 29783.35
11/16/20, 29672.36, 29964.29, 29672.36, 29950.44
11/13/20, 29203.90, 29559.25, 29203.90, 29479.81
11/12/20, 29231.91, 29311.83, 28902.13, 29080.17
11/11/20, 29524.35, 29593.11, 29281.22, 29397.63
11/10/20, 29254.17, 29478.86, 29126.99, 29420.92
11/09/20, 29467.90, 29933.83, 29130.66, 29157.97
11/06/20, 28399.13, 28431.96, 28189.50, 28323.40
11/05/20, 28083.37, 28495.05, 28083.37, 28390.18
11/04/20, 27512.83, 28301.50, 27512.83, 27847.66
11/03/20, 27138.69, 27640.21, 27138.69, 27480.03
11/02/20, 26691.28, 27043.48, 26691.28, 26925.05
10/30/20, 26572.27, 26639.18, 26143.77, 26501.60
10/29/20, 26480.98, 26891.89, 26290.78, 26659.11
10/28/20, 27102.14, 27102.14, 26497.39, 26519.95
10/27/20, 27651.18, 27707.69, 27457.96, 27463.19
10/26/20, 28185.82, 28185.82, 27370.16, 27685.38
10/23/20, 28409.65, 28436.52, 28149.82, 28335.57
10/22/20, 28197.42, 28421.31, 28040.18, 28363.66
10/21/20, 28270.66, 28450.64, 28196.39, 28210.82
10/20/20, 28245.85, 28575.03, 28243.04, 28308.79
10/19/20, 28633.55, 28711.93, 28139.40, 28195.42
10/16/20, 28570.72, 28842.90, 28570.72, 28606.31
10/15/20, 28323.40, 28535.85, 28181.54, 28494.20
10/14/20, 28731.30, 28792.56, 28461.73, 28514.00
10/13/20, 28764.95, 28808.84, 28604.35, 28679.81
10/12/20, 28671.12, 28957.90, 28659.67, 28837.52
10/09/20, 28533.61, 28676.29, 28440.63, 28586.90
10/08/20, 28348.86, 28459.13, 28265.56, 28425.51
10/07/20, 27971.36, 28369.66, 27971.36, 28303.46
10/06/20, 28214.24, 28354.48, 27728.03, 27772.76
10/05/20, 27825.42, 28162.64, 27825.42, 28148.64
10/02/20, 27536.39, 27861.43, 27382.94, 27682.81
10/01/20, 27940.63, 28041.46, 27669.26, 27816.90
09/30/20, 27514.64, 28026.33, 27511.06, 27781.70
09/29/20, 27560.24, 27605.60, 27338.09, 27452.66
09/28/20, 27362.14, 27722.60, 27362.14, 27584.06
09/25/20, 26694.51, 27239.29, 26635.38, 27173.96
09/24/20, 26716.09, 27094.85, 26537.01, 26815.44
09/23/20, 27413.60, 27464.46, 26716.12, 26763.13
09/22/20, 27170.34, 27333.09, 26989.93, 27288.18
09/21/20, 27484.71, 27484.71, 26715.15, 27147.70
09/18/20, 27864.87, 27946.69, 27487.97, 27657.42
09/17/20, 27834.18, 28056.79, 27647.93, 27901.98
09/16/20, 28031.69, 28364.77, 28021.67, 28032.38
09/15/20, 28139.76, 28231.06, 27931.45, 27995.60
09/14/20, 27718.74, 28086.06, 27718.74, 27993.33
09/11/20, 27613.86, 27828.82, 27448.15, 27665.64
09/10/20, 28022.51, 28174.78, 27447.08, 27534.58
09/09/20, 27711.71, 28206.21, 27704.54, 27940.47
09/08/20, 27925.23, 27925.23, 27464.90, 27500.89
09/04/20, 28341.05, 28539.75, 27664.68, 28133.31
09/03/20, 29090.70, 29199.35, 28074.76, 28292.73
09/02/20, 28736.79, 29162.88, 28713.53, 29100.50
09/01/20, 28439.61, 28659.26, 28290.72, 28645.66
08/31/20, 28643.66, 28643.66, 28363.55, 28430.05
08/28/20, 28601.29, 28733.35, 28487.98, 28653.87
08/27/20, 28384.07, 28634.22, 28363.93, 28492.27
08/26/20, 28257.88, 28353.80, 28153.91, 28331.92
08/25/20, 28347.42, 28400.74, 28094.57, 28248.44
08/24/20, 28077.58, 28314.94, 28041.75, 28308.46
08/21/20, 27758.13, 27959.48, 27686.78, 27930.33
08/20/20, 27622.68, 27781.46, 27526.25, 27739.73
08/19/20, 27811.26, 27920.42, 27647.67, 27692.88
08/18/20, 27853.48, 27891.12, 27668.79, 27778.07
08/17/20, 27970.05, 27999.81, 27816.40, 27844.91
08/14/20, 27828.93, 27977.81, 27759.39, 27931.02
08/13/20, 27922.51, 27986.10, 27789.78, 27896.72
08/12/20, 27860.24, 28043.89, 27843.32, 27976.84
08/11/20, 27961.64, 28154.88, 27624.51, 27686.91
08/10/20, 27488.21, 27803.86, 27488.21, 27791.44
08/07/20, 27321.68, 27456.24, 27223.55, 27433.48
08/06/20, 27170.82, 27394.10, 27145.25, 27386.98
08/05/20, 26924.78, 27221.67, 26924.78, 27201.52
08/04/20, 26664.61, 26832.72, 26597.82, 26828.47
08/03/20, 26542.32, 26707.26, 26534.38, 26664.40
07/31/20, 26409.33, 26440.02, 26013.59, 26428.32
07/30/20, 26367.42, 26374.93, 25992.28, 26313.65
07/29/20, 26388.44, 26602.45, 26375.39, 26539.57
07/28/20, 26529.45, 26556.84, 26361.71, 26379.28
07/27/20, 26447.67, 26625.46, 26426.92, 26584.77
07/24/20, 26533.41, 26625.70, 26402.86, 26469.89
07/23/20, 26955.97, 26973.85, 26560.04, 26652.33
07/22/20, 26824.56, 27035.24, 26794.19, 27005.84
07/21/20, 26833.14, 27025.38, 26766.22, 26840.40
07/20/20, 26660.29, 26765.02, 26504.20, 26680.87
07/17/20, 26774.62, 26808.43, 26619.88, 26671.95
07/16/20, 26746.57, 26879.16, 26590.01, 26734.71
07/15/20, 27009.81, 27071.33, 26692.48, 26870.10
07/14/20, 26044.17, 26690.52, 25994.98, 26642.59
07/13/20, 26225.07, 26639.09, 26044.23, 26085.80
07/10/20, 25690.35, 26101.32, 25637.50, 26075.30
07/09/20, 26094.92, 26103.28, 25523.51, 25706.09
07/08/20, 25950.06, 26109.49, 25816.25, 26067.28
07/07/20, 26172.01, 26174.93, 25866.58, 25890.18
07/06/20, 25996.08, 26297.53, 25996.08, 26287.03
07/02/20, 25936.45, 26204.41, 25778.12, 25827.36
07/01/20, 25879.38, 26019.31, 25713.61, 25734.97
06/30/20, 25512.43, 25905.38, 25475.14, 25812.88
06/29/20, 25152.45, 25601.15, 25096.16, 25595.80
06/26/20, 25641.69, 25641.69, 24971.03, 25015.55
06/25/20, 25365.22, 25769.61, 25209.79, 25745.60
06/24/20, 25992.96, 25992.96, 25296.73, 25445.94
06/23/20, 26159.39, 26314.97, 26105.97, 26156.10
06/22/20, 25865.08, 26059.81, 25667.68, 26024.96
06/19/20, 26213.10, 26451.44, 25759.66, 25871.46
06/18/20, 26016.45, 26154.20, 25848.53, 26080.10
06/17/20, 26330.52, 26400.07, 26068.41, 26119.61
06/16/20, 26326.68, 26611.03, 25811.70, 26289.98
06/15/20, 25270.39, 25891.58, 24843.18, 25763.16
06/12/20, 25659.42, 25965.55, 25078.41, 25605.54
06/11/20, 26282.51, 26294.08, 25082.72, 25128.17
06/10/20, 27251.89, 27355.22, 26938.05, 26989.99
06/09/20, 27447.37, 27447.37, 27151.06, 27272.30
06/08/20, 27232.93, 27580.21, 27232.48, 27572.44
06/05/20, 26836.80, 27338.30, 26836.80, 27110.98
06/04/20, 26226.49, 26384.10, 26082.31, 26281.82
06/03/20, 25906.88, 26337.75, 25906.88, 26269.89
06/02/20, 25582.52, 25743.13, 25523.74, 25742.65
06/01/20, 25342.99, 25508.83, 25220.66, 25475.02
05/29/20, 25324.15, 25482.80, 25031.67, 25383.11
05/28/20, 25697.36, 25758.79, 25358.73, 25400.64
05/27/20, 25298.63, 25551.56, 25009.87, 25548.27
05/26/20, 24781.84, 25176.42, 24781.84, 24995.11
05/22/20, 24461.98, 24481.64, 24294.07, 24465.16
05/21/20, 24564.27, 24718.46, 24370.88, 24474.12
05/20/20, 24455.94, 24649.48, 24455.94, 24575.90
05/19/20, 24577.48, 24599.50, 24202.96, 24206.86
05/18/20, 24059.98, 24708.54, 24059.98, 24597.37
05/15/20, 23454.83, 23730.08, 23354.15, 23685.42
05/14/20, 23049.06, 23630.86, 22789.62, 23625.34
05/13/20, 23702.16, 23708.90, 23067.64, 23247.97
05/12/20, 24292.84, 24382.09, 23761.58, 23764.78
05/11/20, 24256.45, 24366.21, 24070.22, 24221.99
05/08/20, 24107.82, 24349.90, 24107.05, 24331.32
05/07/20, 23837.21, 24094.62, 23834.39, 23875.89
05/06/20, 23978.88, 24054.59, 23661.14, 23664.64
05/05/20, 23958.88, 24169.72, 23868.91, 23883.09
05/04/20, 23581.55, 23769.56, 23361.16, 23749.76
05/01/20, 24120.78, 24120.78, 23645.30, 23723.69
04/30/20, 24585.57, 24585.57, 24186.90, 24345.72
04/29/20, 24490.37, 24764.77, 24453.99, 24633.86
04/28/20, 24357.17, 24512.24, 24031.20, 24101.55
04/27/20, 23866.15, 24207.65, 23840.61, 24133.78
04/24/20, 23628.24, 23826.00, 23417.68, 23775.27
04/23/20, 23543.09, 23885.36, 23483.35, 23515.26
04/22/20, 23437.34, 23613.10, 23339.60, 23475.82
04/21/20, 23365.25, 23365.25, 22941.88, 23018.88
04/20/20, 24095.10, 24108.69, 23627.19, 23650.44
04/17/20, 23817.15, 24264.21, 23817.15, 24242.49
04/16/20, 23543.66, 23598.08, 23211.38, 23537.68
04/15/20, 23600.72, 23649.72, 23233.32, 23504.35
04/14/20, 23690.57, 24040.58, 23683.44, 23949.76
04/13/20, 23698.93, 23698.93, 23095.35, 23390.77
04/09/20, 23690.66, 24008.99, 23504.09, 23719.37
04/08/20, 22893.47, 23513.40, 22682.99, 23433.57
04/07/20, 23537.44, 23617.24, 22634.45, 22653.86
04/06/20, 21693.63, 22783.45, 21693.63, 22679.99
04/03/20, 21285.93, 21447.81, 20863.09, 21052.53
04/02/20, 20819.46, 21477.77, 20735.02, 21413.44
04/01/20, 21227.38, 21487.24, 20784.43, 20943.51
03/31/20, 22208.42, 22480.37, 21852.08, 21917.16
03/30/20, 21678.22, 22378.09, 21522.08, 22327.48
03/27/20, 21898.47, 22327.57, 21469.27, 21636.78
03/26/20, 21468.38, 22595.06, 21427.10, 22552.17
03/25/20, 21050.34, 22019.93, 20538.34, 21200.55
03/24/20, 19722.19, 20737.70, 19649.25, 20704.91
03/23/20, 19028.36, 19121.01, 18213.65, 18591.93
03/20/20, 20253.15, 20531.26, 19094.27, 19173.98
03/19/20, 19830.01, 20442.63, 19177.13, 20087.19
03/18/20, 20188.69, 20489.33, 18917.46, 19898.92
03/17/20, 20487.05, 21379.35, 19882.26, 21237.38
03/16/20, 20917.53, 21768.28, 20116.46, 20188.52
03/13/20, 21973.82, 23189.76, 21285.37, 23185.62
03/12/20, 22184.71, 22837.95, 21154.46, 21200.62
03/11/20, 24604.63, 24604.63, 23328.32, 23553.22
03/10/20, 24453.00, 25020.99, 23690.34, 25018.16
03/09/20, 24992.36, 24992.36, 23706.07, 23851.02
03/06/20, 25457.21, 25994.38, 25226.62, 25864.78
03/05/20, 26671.92, 26671.92, 25943.33, 26121.28
03/04/20, 26383.68, 27102.34, 26286.31, 27090.86
03/03/20, 26762.47, 27084.59, 25706.28, 25917.41
03/02/20, 25590.51, 26706.17, 25391.96, 26703.32
