real_date_trends_songs,vader_mean,vader_sum,vader_weighted_mean,vader_weighted_sum,textblob_mean,textblob_sum,textblob_weighted_mean,textblob_weighted_sum,date, value,day_of_week_x,change,percent_change,_merge,Open,High,Low,Close,Adj Close,Volume,day_of_week_y,change_VTI,percent_change_VTI,change_adj,percent_change_adj,nyt_vader_mean,nyt_vader_sum,nyt_textblob_mean,nyt_textblob_sum,whole_song_score,mean_by_sentence_song_score,mean_without_0_by_sentence_song_score,tb_whole_song,tb_song_by_sentence,tb_song_by_sentence_without_0
3/14/17,0.002808,0.0702,0.702,17.55,0.022666667,0.566666667,5.333333333,133.3333333,3/17/17,20914.62,Friday,11.64,0.000556548,both,122.839996,122.879997,122.449997,122.57,109.692047,1974000,Friday,0.529999,0.004324052,0.474304,0.00432396,0.048248863,61.5173,0.085103589,108.5070763,0.405264286,0.053363377,0.104635111,0.074542864,0.032799913,0.091954054
3/21/17,-0.005976,-0.1494,-30.5604,-764.01,0.045454545,1.136363636,26.77272727,669.3181818,3/24/17,20596.72,Friday,-317.9,-0.015434496,both,120.419998,120.739998,119.660004,120.160004,108.02037,2305400,Friday,-2.409996,-0.020056557,-1.671677,-0.015475572,-0.00340931,-4.1014,0.064402501,77.47620925,0.467652041,0.066584999,0.134269851,0.097619399,0.038947333,0.118089484
3/28/17,-0.072263636,-0.7949,-125.2442727,-1377.687,0,0,0,0,3/31/17,20663.22,Friday,66.5,0.003218279,both,121.419998,121.720001,121.260002,121.32,109.063187,1815900,Friday,1.159996,0.009561457,1.042817,0.009561586,0.013724407,16.1948,0.073455483,86.67747005,0.369690816,0.05688606,0.105657153,0.074487901,0.032457078,0.090169516
4/4/17,-0.012728,-0.3182,-2.41832,-60.458,0.005454545,0.136363636,1.636363636,40.90909091,4/7/17,20656.1,Friday,-7.12,-0.000344692,both,120.839996,121.290001,120.589996,120.879997,108.66761,1997000,Friday,-0.440003,-0.003639998,-0.395577,-0.003640248,0.013681998,17.253,0.070595368,89.02075963,0.463106122,0.057127247,0.111224609,0.081205399,0.033473481,0.097423887
4/11/17,-0.002208,-0.0552,-10.4172,-260.43,0.032,0.8,25.76,644,4/14/17,,,,,left_only,,,,,,,,,,,,0.004331532,4.8903,0.070251478,79.31391824,0.487189796,0.064814696,0.125191605,0.076382449,0.033167732,0.094483035
4/18/17,-0.038148,-0.9537,30.1126,752.815,0.072,1.8,85.6,2140,4/21/17,20547.76,Friday,-108.34,-0.005272594,both,121.209999,121.209999,120.610001,120.830002,108.622681,2006500,Friday,-0.049995,-0.000413763,-0.044929,-0.000413624,0.017764493,19.612,0.088812834,98.04936914,0.425130303,0.057223549,0.109919211,0.068133577,0.032008311,0.085568722
4/25/17,0.012728,0.3182,3.182,79.55,0.032,0.8,14.4,360,4/28/17,20940.51,Friday,392.75,0.018755513,both,123.160004,123.209999,122.550003,122.610001,110.222847,1795800,Friday,1.779999,0.014517568,1.600166,0.014517553,0.024996823,29.8962,0.076216586,91.15503658,0.393206122,0.05641105,0.110335918,0.06233728,0.02947574,0.085192822
5/2/17,0.044991667,1.0798,92.27333333,2214.56,0,0,0,0,5/5/17,21006.94,Friday,66.43,0.003162288,both,122.949997,123.330002,122.68,123.330002,110.870117,2057700,Friday,0.720001,0.005838004,0.64727,0.005838093,0.04738848,58.0035,0.081331179,99.54936307,0.285895876,0.045246406,0.08325352,0.060515496,0.026435494,0.083273911
5/9/17,0,0,0,0,0.012,0.3,1.32,33,5/12/17,20896.61,Friday,-110.33,-0.005279804,both,122.910004,122.910004,122.599998,122.769997,110.366669,1235300,Friday,-0.560005,-0.004561416,-0.503448,-0.004561595,0.03874549,49.8267,0.070155039,90.21938049,0.366001031,0.04856208,0.091118581,0.061012017,0.025328787,0.084867731
5/16/17,0.062612,1.5653,94.2016,2355.04,0.082666667,2.066666667,129.0533333,3226.333333,5/19/17,20804.84,Friday,-91.77,-0.004410993,both,121.910004,122.769997,121.82,122.370003,110.00708,2144200,Friday,-0.399994,-0.003268726,-0.359589,-0.003268781,-0.001367718,-1.6905,0.070445933,87.07117285,0.365656989,0.050218621,0.092729965,0.064336939,0.02577317,0.084631322
5/23/17,-0.005624,-0.1406,-0.8288,-20.72,0,0,0,0,5/26/17,21080.28,Friday,275.44,0.01306624,both,124,124.150002,123.93,124.089996,111.553307,1320800,Friday,1.719993,0.013860851,1.546227,0.01386088,0.030165628,35.8066,0.07123978,84.56161842,0.339456842,0.047973785,0.094490871,0.062433891,0.024505372,0.085590946
5/30/17,-0.018925,-0.3785,6.35775,127.155,-0.012142857,-0.242857143,0.75,15,6/2/17,21206.29,Friday,126.01,0.005942105,both,125.089996,125.580002,124.870003,125.410004,112.739975,2839300,Friday,1.320008,0.01052554,1.186668,0.010525707,0.051582232,57.7721,0.074207811,83.11274808,0.321787234,0.047427169,0.09201566,0.06301961,0.025123091,0.082052216
6/6/17,0.021756,0.5439,24.6576,616.44,0.015,0.375,4.8,120,6/9/17,21271.97,Friday,65.68,0.003087631,both,125.480003,126.019997,124.449997,125.190002,112.542198,2585600,Friday,-0.220002,-0.001757345,-0.197777,-0.001757359,0.024121377,29.7899,0.072269864,89.25328251,0.35504086,0.055703342,0.106199451,0.064536846,0.025807308,0.079119082
6/13/17,0.025476,0.6369,20.3808,509.52,0.031393939,0.784848485,33.88848485,847.2121212,6/16/17,21384.28,Friday,112.31,0.005251989,both,125.419998,125.529999,124.739998,125.25,112.59613,2018000,Friday,0.059998,0.000479026,0.053932,0.000478986,0.009090887,11.0727,0.074286621,90.48110411,0.406278261,0.059051594,0.11021222,0.060997266,0.025351751,0.074702228
6/20/17,0.009276,0.2319,2.79,69.75,0.029777778,0.744444444,76.75111111,1918.777778,6/23/17,21394.76,Friday,10.48,0.00048984,both,124.809998,125.190002,124.580002,125.050003,112.934158,1829300,Friday,-0.199997,-0.001599336,0.338028,0.002993142,-0.001081774,-1.3295,0.072763652,89.42652826,0.39865,0.062666979,0.117895858,0.058348676,0.02449132,0.072932859
6/27/17,0.039895652,0.9176,29.92173913,688.2,0,0,0,0,6/30/17,21349.63,Friday,-45.13,-0.002113854,both,124.760002,124.900002,124.300003,124.449997,112.392265,1910000,Friday,-0.600006,-0.004821262,-0.541893,-0.004821444,0.035135356,39.9489,0.087009332,98.92961084,0.399028261,0.064398657,0.122351985,0.058261538,0.024346664,0.073085219
7/4/17,0.007604,0.1901,32.02,800.5,0.045454545,1.136363636,73.54545455,1838.636364,7/7/17,21414.34,Friday,64.71,0.003021807,both,123.959999,124.620003,123.900002,124.519997,112.455482,1709700,Friday,0.07,0.000562159,0.063217,0.000562151,0.024322388,24.444,0.082318286,82.72987717,0.365554839,0.06032505,0.115528838,0.059590571,0.024785925,0.075075366
7/11/17,-0.096952,-2.4238,-184.64568,-4616.142,-0.01,-0.25,4.54,113.5,7/14/17,21637.74,Friday,223.4,0.010324553,both,125.769997,126.5,125.650002,126.230003,113.999809,1410900,Friday,1.710006,0.013546748,1.544327,0.013546751,0.053714224,61.9325,0.070832887,81.67031849,0.401244565,0.065068917,0.126128889,0.063411136,0.025737907,0.079636627
7/18/17,-0.033844,-0.8461,-30.6826,-767.065,-0.056,-1.4,-29.44,-736,7/21/17,21580.07,Friday,-57.67,-0.002672373,both,126.809998,126.989998,126.639999,126.949997,114.650063,1819500,Friday,0.719994,0.005671477,0.650254,0.005671641,0.002028777,2.256,0.06069462,67.49241756,0.302432258,0.05631167,0.109243823,0.058263724,0.022058004,0.07369708
7/25/17,0.01968,0.492,10.7688,269.22,0.024,0.6,8.4,210,7/28/17,21830.31,Friday,250.24,0.011462961,both,126.779999,126.959999,126.540001,126.860001,114.568779,1651800,Friday,-0.089996,-0.000709412,-0.081284,-0.000709478,0.022549212,25.7512,0.070686634,80.72413629,0.316347826,0.059608406,0.114005196,0.054320375,0.02187689,0.070272419
8/1/17,0.005519048,0.1159,6.979047619,146.56,0.066666667,1.4,151.6666667,3185,8/4/17,22092.81,Friday,262.5,0.011881694,both,127,127.07,126.699997,126.910004,114.613922,972400,Friday,0.050003,0.000394004,0.045143,0.00039387,0.049031181,53.1498,0.07758305,84.1000266,0.32411828,0.059764307,0.113932166,0.054701747,0.02235088,0.071131869
