song,artist,counter
Essence,Wizkid Featuring Justin Bieber & Tems,"{'body': 21, 'lo': 16, 'need': 14, 'yo': 8, 'de': 7, 'te': 6, 'hold': 6, 'give': 6, 'yeah': 5, 'una': 5, 'baby': 5, 'todo': 5, 'que': 4, 'cuando': 4, 'besas': 4, 'haces': 4, 'delirar': 4, 'want': 4, 'stop': 4, 'intensidad': 4, 'fuera': 4, 'normal': 4, 'la': 3, 'est': 3, 'melo': 3, 'papi': 3, 'love': 3, 'doy': 3, 'vale': 2, 'n': 2, 'ti': 2, 'tu': 2, 'could': 2, 'never': 2, 'enough': 2, 'escuchar': 1, 'gente': 1, 'si': 1, 'nuestra': 1, 'conexi': 1, 'entienden': 1, 'para': 1, 'qu': 1, 'negar': 1, 'los': 1, 'placeres': 1, 'puedo': 1, 'aunque': 1, 'veces': 1, 'intente': 1, 'siempre': 1, 'puesto': 1, 'pa': 1, 'nadie': 1, 'se': 1, 'compara': 1, 'eres': 1, 'obra': 1, 'arte': 1, 'juro': 1, 'mame': 1, 'ndame': 1, 'ubi': 1, 'le': 1, 'llego': 1, 'donde': 1, 'lleg': 1, 'pierdo': 1, 'en': 1, 'piel': 1, 'como': 1, 'fascina': 1, 'recorriendome': 1, 'subes': 1, 'el': 1, 'feel': 1, 'cause': 1, 'wanna': 1, 'waste': 1, 'please': 1, 'put': 1, 'ya': 1, 'lip': 1, 'mine': 1, 'prende': 1, 'fuego': 1, 'night': 1, 'beb': 1, 'por': 1, 'voy': 1, 'luchar': 1, 'nuestro': 1, 'amor': 1, 'sabe': 1, 'muy': 1, 'bien': 1, 'resbala': 1, 'dejarlos': 1, 'hablen': 1, 'esto': 1, 'tiene': 1, 'precio': 1, 'buy': 1, 'dinero': 1, 'nobody': 1, 'come': 1, 'closer': 1, 'know': 1, 'liga': 1, 'lejos': 1, 'da': 1}"
Kiss Me More,Doja Cat Featuring SZA,"{'la': 58, 'oh': 19, 'boy': 9, 'like': 9, 'love': 8, 'taste': 7, 'want': 7, 'get': 6, 'write': 6, 'name': 6, 'tongue': 6, 'feel': 6, 'make': 4, 'say': 4, 'kiss': 4, 'lose': 4, 'know': 4, 'need': 3, 'lip': 3, 'young': 3, 'nothin': 3, 'principle': 3, 'baby': 3, 'hold': 3, 'cause': 3, 'way': 3, 'groove': 3, 'somethin': 3, 'give': 3, 'nigga': 3, 'fuckin': 2, 'could': 2, 'fuck': 2, 'dummy': 2, 'givin': 2, 'pussy': 2, 'jail': 2, 'even': 2, 'exhale': 2, 'holy': 2, 'grail': 2, 'ooh': 2, 'hug': 1, 'yes': 1, 'always': 1, 'goodnight': 1, 'cuddle': 1, 'sure': 1, 'mine': 1, 'corny': 1, 'sugar': 1, 'lik': 1, 'cut': 1, 'rubbish': 1, 'might': 1, 'b': 1, 'onto': 1, 'one': 1, 'public': 1, 'hundred': 1, 'gotta': 1, 'sign': 1, 'first': 1, 'middle': 1, 'last': 1, 'wisdom': 1, 'tooth': 1, 'niggas': 1, 'wishin': 1, 'kissin': 1, 'booth': 1, 'breakfast': 1, 'lunch': 1, 'gin': 1, 'juice': 1, 'dinner': 1, 'dessert': 1, 'french': 1, 'refresh': 1, 'two': 1, 'bite': 1, 'come': 1, 'lipstick': 1, 'gloss': 1, 'hickey': 1, 'huh': 1, 'buck': 1, 'gushy': 1, 'stuff': 1, 'push': 1, 'limit': 1, 'good': 1, 'enough': 1, 'without': 1, 'bitch': 1, 'dodge': 1, 'county': 1, 'gon': 1, 'bail': 1, 'catch': 1, 'dippin': 1, 'friend': 1, 'half': 1, 'man': 1, 'lyin': 1, 'bag': 1, 'full': 1, 'brick': 1, 'control': 1, 'slow': 1, 'pace': 1, 'throw': 1, 'back': 1, 'ass': 1, 'real': 1, 'as': 1, 'drama': 1, 'fantasy': 1, 'whip': 1, 'appeal': 1, 'darlin': 1}"
Heat Waves,Glass Animals,"{'heat': 17, 'wave': 13, 'think': 11, 'night': 10, 'fakin': 9, 'sometimes': 8, 'late': 8, 'middle': 8, 'june': 8, 'make': 7, 'happy': 7, 'road': 5, 'shimmer': 4, 'wigglin': 4, 'vision': 4, 'swimmin': 4, 'never': 3, 'mirror': 3, 'somethin': 3, 'baby': 2, 'know': 2, 'need': 2, 'give': 2, 'go': 2, 'say': 2, 'look': 2, 'last': 1, 'stop': 1, 'walk': 1, 'want': 1, 'gonna': 1, 'lose': 1, 'usually': 1, 'put': 1, 'tv': 1, 'today': 1, 'see': 1, 'reflection': 1, 'clearly': 1, 'hollywood': 1, 'layin': 1, 'screen': 1, 'good': 1, 'life': 1, 'fake': 1, 'water': 1, 'across': 1, 'come': 1, 'fight': 1, 'breathe': 1, 'lovin': 1, 'gotta': 1, 'let': 1, 'well': 1, 'someone': 1, 'new': 1, 'wanna': 1, 'alone': 1, 'hurt': 1, 'broken': 1, 'cry': 1, 'one': 1, 'goodbye': 1, 'wonder': 1, 'dreamin': 1, 'sleep': 1, 'smile': 1, 'comfortable': 1, 'wish': 1, 'could': 1, 'perfectly': 1, 'un': 1, 'sad': 1}"
Beggin',Maneskin,"{'beggin': 27, 'put': 13, 'love': 13, 'hand': 13, 'baby': 7, 'cause': 5, 'darlin': 5, 'yeah': 4, 'keep': 4, 'hard': 3, 'anytime': 3, 'let': 3, 'know': 3, 'ta': 3, 'man': 3, 'want': 3, 'away': 2, 'easy': 2, 'go': 2, 'end': 2, 'get': 2, 'need': 2, 'live': 2, 'good': 2, 'way': 2, 'door': 2, 'home': 2, 'hold': 2, 'rid': 1, 'high': 1, 'king': 1, 'play': 1, 'fast': 1, 'everything': 1, 'walk': 1, 'come': 1, 'would': 1, 'bleed': 1, 'yah': 1, 'feed': 1, 'seek': 1, 'plant': 1, 'seed': 1, 'grow': 1, 'knee': 1, 'wanna': 1, 'lose': 1, 'hey': 1, 'ra': 1, 'uh': 1, 'ah': 1, 'understand': 1, 'try': 1, 'kind': 1, 'begin': 1, 'empty': 1, 'shell': 1, 'use': 1, 'shadow': 1, 'life': 1, 'hangin': 1, 'broken': 1, 'even': 1, 'stand': 1, 'devil': 1, 'dance': 1, 'win': 1, 'soul': 1, 'doin': 1, 'chasin': 1, 'bottom': 1, 'basement': 1, 'shit': 1, 'embrace': 1, 'feel': 1, 'replace': 1, 'wrong': 1, 'track': 1, 'paint': 1, 'picture': 1, 'tellin': 1, 'could': 1, 'like': 1, 'heart': 1, 'best': 1, 'give': 1, 'take': 1, 'pay': 1, 'walkin': 1, 'openin': 1, 'hopin': 1, 'also': 1, 'break': 1, 'girl': 1, 'mmm': 1, 'fight': 1, 'make': 1, 'alone': 1, 'fall': 1, 'back': 1, 'calm': 1, 'bout': 1, 'fade': 1, 'black': 1}"
Cold Heart (PNAU Remix),Elton John & Dua Lipa,"{'oh': 14, 'think': 11, 'long': 8, 'cold': 7, 'heart': 4, 'thing': 4, 'gonna': 4, 'time': 4, 'til': 4, 'touchdown': 4, 'brings': 4, 'round': 4, 'find': 4, 'man': 4, 'home': 4, 'shoorah': 4, 'harden': 3, 'lookin': 3, 'good': 3, 'baby': 3, 'passin': 3, 'say': 3, 'well': 3, 'keep': 3, 'hid': 3, 'human': 1, 'sign': 1, 'go': 1, 'wrong': 1, 'scent': 1, 'lingers': 1, 'temptation': 1, 'strong': 1}"
You Right,Doja Cat & The Weeknd,"{'get': 20, 'want': 14, 'right': 14, 'yeah': 11, 'man': 7, 'know': 7, 'say': 6, 'guy': 6, 'help': 6, 'oh': 6, 'bout': 5, 'dick': 3, 'makin': 3, 'think': 3, 'someone': 3, 'new': 3, 'much': 3, 'try': 3, 'hide': 3, 'face': 3, 'work': 3, 'see': 3, 'wanna': 3, 'feel': 3, 'but': 3, 'nerve': 2, 'cause': 2, 'could': 2, 'top': 2, 'like': 2, 'tell': 2, 'hey': 2, 'stop': 1, 'look': 1, 'way': 1, 'babe': 1, 'never': 1, 'thinkin': 1, 'every': 1, 'day': 1, 'believe': 1, 'fairytale': 1, 'fantasy': 1, 'tryna': 1, 'sheet': 1, 'actin': 1, 'deep': 1, 'take': 1, 'really': 1, 'bound': 1, 'b': 1, 'one': 1, 'n': 1, 'rf': 1, 'girl': 1, 'energy': 1, 'controllin': 1, 'still': 1, 'hesitate': 1, 'choose': 1, 'loyalty': 1, 'history': 1, 'meet': 1, 'peak': 1, 'connect': 1, 'woman': 1, 'use': 1, 'sex': 1, 'cloud': 1, 'memory': 1, 'couple': 1, 'stroke': 1, 'put': 1, 'belong': 1}"
Save Your Tears,The Weeknd & Ariana Grande,"{'oh': 16, 'save': 13, 'tear': 11, 'another': 11, 'bum': 10, 'day': 9, 'away': 8, 'run': 7, 'ooh': 4, 'yeah': 4, 'know': 4, 'make': 3, 'cry': 3, 'cause': 3, 'na': 2, 'saw': 2, 'take': 2, 'back': 2, 'wanna': 2, 'stay': 2, 'boy': 2, 'dance': 1, 'crowded': 1, 'room': 1, 'uh': 1, 'look': 1, 'happy': 1, 'caught': 1, 'surprise': 1, 'single': 1, 'teardrop': 1, 'fall': 1, 'eye': 1, 'mm': 1, 'meet': 1, 'pisces': 1, 'moon': 1, 'keep': 1, 'distance': 1, 'like': 1, 'nobody': 1, 'else': 1, 'help': 1, 'put': 1, 'hell': 1, 'realize': 1, 'much': 1, 'late': 1, 'deserve': 1, 'someone': 1, 'well': 1, 'girl': 1, 'say': 1, 'okay': 1}"
If I Didn't Love You,Jason Aldean & Carrie Underwood,"{'love': 17, 'want': 8, 'yeah': 5, 'baby': 3, 'good': 3, 'well': 3, 'barely': 3, 'gettin': 3, 'somehow': 3, 'would': 3, 'easy': 3, 'miss': 3, 'wonder': 3, 'turn': 3, 'whenever': 3, 'oh': 3, 'everything': 2, 'like': 2, 'could': 2, 'let': 2, 'go': 2, 'still': 2, 'someone': 2, 'new': 2, 'hmm': 2, 'mind': 1, 'bein': 1, 'alone': 1, 'keep': 1, 'checkin': 1, 'phone': 1, 'take': 1, 'long': 1, 'way': 1, 'home': 1, 'drive': 1, 'crazy': 1, 'losin': 1, 'sleep': 1, 'rememberin': 1, 'say': 1, 'doin': 1, 'lately': 1, 'cry': 1, 'sometimes': 1, 'fake': 1, 'smile': 1, 'play': 1, 'tell': 1, 'lie': 1, 'somebody': 1, 'ask': 1, 'try': 1, 'find': 1, 'somethin': 1, 'state': 1, 'hard': 1, 'see': 1, 'know': 1, 'much': 1, 'need': 1, 'hate': 1, 'feel': 1, 'mm': 1}"
Traitor,Olivia Rodrigo,"{'ah': 14, 'ooh': 6, 'yeah': 5, 'know': 5, 'way': 5, 'love': 5, 'go': 5, 'still': 5, 'funny': 4, 'traitor': 4, 'bad': 3, 'never': 3, 'feel': 3, 'sorry': 3, 'hurt': 3, 'talk': 3, 'together': 3, 'matter': 3, 'take': 3, 'two': 3, 'week': 3, 'date': 3, 'guess': 3, 'cheat': 3, 'keep': 2, 'could': 2, 'like': 2, 'bring': 2, 'betray': 2, 'god': 2, 'wish': 2, 'think': 2, 'fell': 2, 'brown': 1, 'guilty': 1, 'eye': 1, 'little': 1, 'white': 1, 'lie': 1, 'play': 1, 'dumb': 1, 'always': 1, 'talked': 1, 'maybe': 1, 'even': 1, 'quiet': 1, 'ran': 1, 'second': 1, 'call': 1, 'quits': 1, 'say': 1, 'friend': 1, 'sure': 1, 'hell': 1, 'look': 1, 'betrayed': 1, 'around': 1, 'shut': 1, 'show': 1, 'new': 1, 'trophy': 1, 'true': 1, 'damn': 1, 'fall': 1, 'somebody': 1, 'quickly': 1, 'twist': 1, 'game': 1, 'question': 1, 'use': 1, 'avoid': 1, 'remember': 1, 'tell': 1, 'paranoid': 1, 'sleepin': 1, 'bed': 1, 'make': 1, 'dare': 1, 'forget': 1, 'cause': 1, 'give': 1, 'word': 1}"
My Universe,Coldplay x BTS,"{'do': 20, 'universe': 16, 'want': 10, 'make': 7, 'inside': 6, 'world': 6, 'put': 5, 'first': 5, 'light': 5, 'ayy': 5, 'come': 2, 'eye': 2, 'baby': 2, 'night': 1, 'lie': 1, 'look': 1, 'morning': 1, 'watch': 1, 'rise': 1, 'paradise': 1, 'capture': 1, 'bright': 1, 'infinity': 1, 'never': 1, 'end': 1, 'forever': 1, 'say': 1, 'togeth': 1, 'r': 1, 'becaus': 1, 'different': 1, 'side': 1, 'without': 1, 'crazy': 1}"
