song,artist,counter
Cold As You,Luke Combs,"{'many': 3, 'lose': 2, 'happy': 1, 'dirty': 1}"
A-O-K,Tai Verdes,"{'woo': 5, 'outer': 4, 'big': 3, 'live': 2, 'busy': 1, 'appreciate': 1, 'knew': 1, 'eat': 1}"
You Should Probably Leave,Chris Stapleton,"{'hard': 2, 'late': 1, 'recognize': 1, 'resist': 1, 'afraid': 1}"
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),"{'woo': 23, 'warm': 2, 'ooh': 2, 'tight': 2, 'adore': 2, 'shut': 1, 'hungry': 1}"
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,"{'sorry': 3, 'heard': 2, 'long': 1, 'hear': 1, 'reminisce': 1, 'decide': 1, 'ooh': 1}"
Memory I Don't Mess With,Lee Brice,"{'warm': 2, 'wide': 1, 'awake': 1}"
Bubbly,Young Thug With Drake & Travis Scott,"{'new': 3, 'big': 2, 'touchable': 1, 'deranged': 1, 'contain': 1, 'ask': 1, 'drank': 1, 'broke': 1, 'please': 1, 'cheap': 1, 'speak': 1}"
Gyalis,Capella Grey,"{'swear': 2, 'asleep': 1, 'ask': 1, 'speak': 1, 'ooh': 1, 'grown': 1}"
I Was On A Boat That Day,Old Dominion,"{'long': 6, 'remember': 2, 'eat': 1, 'rid': 1}"
Family Ties,Baby Keem & Kendrick Lamar,"{'ask': 3, 'summon': 1, 'heard': 1, 'learn': 1, 'cater': 1, 'woo': 1, 'bury': 1, 'told': 1, 'offend': 1, 'unzip': 1, 'grateful': 1, 'compose': 1, 'relax': 1, 'big': 1, 'alike': 1, 'mental': 1, 'amaze': 1, 'gracious': 1, 'new': 1, 'falsify': 1, 'survive': 1, 'hard': 1, 'bring': 1}"
Have Mercy,Chloe,"{'big': 4, 'introduce': 2, 'live': 2, 'got': 2, 'bossing': 2, 'speak': 1, 'educate': 1, 'flossing': 1, 'saucing': 1}"
Fair Trade,Drake Featuring Travis Scott,"{'hear': 6, 'understand': 2, 'lose': 2, 'please': 2, 'forsake': 2, 'sudden': 2, 'swear': 1, 'owe': 1, 'grow': 1, 'big': 1, 'hard': 1, 'busy': 1, 'sing': 1, 'happen': 1, 'misunderstood': 1, 'eat': 1, 'bury': 1, 'early': 1, 'darker': 1, 'frequent': 1, 'slid': 1, 'repay': 1}"
Same Boat,Zac Brown Band,"{'believe': 2, 'agree': 1, 'disagree': 1}"
My Boy,Elvie Shane,"{'understand': 1, 'big': 1}"
Hurricane,Kanye West,"{'new': 4, 'drown': 2, 'hard': 2, 'warm': 1, 'lose': 1, 'early': 1, 'restart': 1, 'depend': 1, 'hungry': 1, 'write': 1, 'remember': 1, 'told': 1, 'faze': 1, 'bring': 1, 'architectural': 1, 'anonymous': 1, 'busy': 1, 'ask': 1, 'seem': 1, 'bright': 1}"
