real_date_trends_songs,percent_change,NYT_vader,NYT_textblob,NYT_bert,NYT_flair,BB_weight_bert,BB_weight_vader,BB_weight_textblob,BB_weight_flair
1/3/17,0.010078242,0.022296622,0.071347053,0.011698801,0.059468429,0.342109542,0.232977127,0.081413147,0.088964107
1/10/17,-0.003925931,0.087536508,0.094456349,0.054493264,0.007536067,0.345245033,0.224518424,0.067118058,0.038188127
1/17/17,-0.002949476,0.034522159,0.092090328,0.034319873,0.046848101,0.341569985,0.19680219,0.062893995,0.051184222
1/24/17,0.013264304,0.019754913,0.064662778,-0.054306772,-0.089692084,0.346937111,0.238553903,0.07216701,0.082033117
1/31/17,-0.001112027,0.028894118,0.08608561,0.033067432,-0.02180335,0.348301295,0.249722574,0.068099001,0.089190815
2/7/17,0.009763994,-0.025818994,0.081002179,-0.073717951,-0.091978076,0.347138661,0.308380141,0.077650584,0.092873466
2/14/17,0.017197398,0.058297248,0.073156736,0.06788089,0.086926557,0.346527155,0.242046563,0.071441668,0.097878219
2/21/17,0.009495355,0.006594709,0.06895276,0.014642663,0.125484578,0.348504904,0.249146969,0.065267491,0.055371068
2/28/17,0.008757143,0.058428042,0.069557119,0.013371323,-0.001128097,0.351091571,0.2524226,0.065413273,0.106453713
3/7/17,-0.00491461,0.043177778,0.065890821,-0.142418973,-0.224364296,0.352845488,0.257301045,0.071580309,0.017778568
3/14/17,0.000556548,0.067877228,0.072602028,-0.035148552,-0.012241767,0.353538244,0.243235703,0.069161554,0.077020918
3/21/17,-0.015434496,0.015354011,0.051784495,0.120341458,0.061995838,0.361893524,0.284762269,0.094592106,0.126469268
3/28/17,0.003218279,0.007505291,0.046314983,-0.11752652,-0.079763481,0.362858699,0.184701167,0.069212706,0.046636081
4/4/17,-0.000344692,-0.01251,0.079542149,-0.089302164,-0.022100262,0.367157931,0.2776963,0.087695906,0.005769974
4/11/17,-0.001360305,-0.069721687,0.074076906,-0.214421012,-0.168906477,0.365751152,0.24405577,0.074131574,-0.006236619
4/18/17,-0.005272594,0.06109321,0.090055068,-0.01179417,-0.088154104,0.362730903,0.171939571,0.062657624,-0.039284652
4/25/17,0.018755513,0.053660109,0.071696333,-0.110301791,-0.065446392,0.358568462,0.150859727,0.055653272,-0.040061008
5/2/17,0.003162288,0.041970053,0.090614206,0.069081639,-0.001502027,0.36341924,0.053349682,0.062834064,-0.007352189
5/9/17,-0.005279804,0.050606383,0.085448024,-0.039073207,0.048348607,0.367282146,0.128935652,0.060904123,-0.000298907
5/16/17,-0.004410993,-0.050462712,0.078432616,-0.210407783,-0.237730105,0.369447601,0.106582397,0.062418519,0.066600212
5/23/17,0.01306624,0.023748913,0.090269872,-0.02297944,-0.067872118,0.366932213,0.101135388,0.058845586,0.041867338
5/30/17,0.005942105,0.058032738,0.068264927,-0.039901828,0.020234118,0.364611043,0.087981015,0.057972723,0.065467494
6/6/17,0.003087631,0.010124865,0.088568042,-0.069523326,0.000363289,0.358821585,0.094336439,0.054546442,0.064245982
6/13/17,0.005251989,0.018799485,0.085173232,-0.109990274,-0.067197581,0.368903047,0.135560954,0.055327565,0.031902851
6/20/17,0.00048984,-0.000941398,0.063119891,-0.062838196,0.017895495,0.371880017,0.158391393,0.056291079,0.11438429
6/27/17,-0.002113854,0.054903867,0.102296505,-0.004989079,-0.001761826,0.371678403,0.147007468,0.054695375,0.116414479
7/4/17,0.003021807,-0.062168224,0.083032688,0.053446743,-0.004179301,0.370904991,0.14302918,0.055675702,0.105643789
7/11/17,0.010324553,0.017805348,0.056702759,0.046259589,-0.016314842,0.373698835,0.150580678,0.060282342,0.112050463
7/18/17,-0.002672373,0.010663226,0.066855984,-0.047054908,-0.043223423,0.374047582,0.12468218,0.056427989,0.130743886
7/25/17,0.011462961,0.032714674,0.073997453,-0.072799664,-0.02772853,0.365077838,0.131349016,0.051575003,0.104778534
8/1/17,0.011881694,0.012734132,0.062529269,-0.056005017,0.015392451,0.373217819,0.131817508,0.052034329,0.162269127
8/8/17,-0.010727723,-0.003881132,0.051356756,-0.082128305,0.015454286,0.370871261,0.076112729,0.044922275,0.127735118
8/15/17,-0.008480469,-0.055038182,0.038861341,-0.09951759,0.017933518,0.3709753,0.179332742,0.054017453,0.113882541
8/22/17,0.006379486,-0.032154749,0.046951926,-0.1438219,0.011940001,0.37048258,0.122843667,0.050885896,0.105090412
8/29/17,0.007908563,-0.009062092,0.066409642,-0.019141636,0.010391438,0.367586797,0.148188,0.052652201,0.073026512
9/5/17,-0.008705928,0.028615152,0.061786316,0.040656829,0.012393971,0.367640848,0.162602338,0.056427275,0.0379627
9/12/17,0.021130897,0.044004523,0.079051866,0.122664169,0.149508222,0.374880419,0.065904231,0.039375223,-0.102812063
9/19/17,0.003635413,-0.058912429,0.067068188,-0.019733235,0.038135708,0.373883047,0.129288448,0.051206799,-0.007446078
9/26/17,0.002477116,-0.019101579,0.070734405,0.033445273,0.009190236,0.372049836,0.120993587,0.046299109,0.000946064
10/3/17,0.01618448,-0.002572165,0.074162487,0.008201448,0.067421772,0.375207022,0.152737656,0.055160395,0.022930102
10/10/17,0.004286953,0.030512821,0.066014733,-0.045132171,-0.079888663,0.374643113,0.19646577,0.056805695,0.018576749
10/17/17,0.019585805,-0.031388889,0.049464859,-0.137852271,-0.104052219,0.36865697,0.182265613,0.051426273,-0.034364194
10/24/17,0.004504529,0.080037563,0.085197324,0.036026924,0.184060915,0.370557899,0.237912367,0.057756248,-0.034502332
10/31/17,0.004460646,-0.035161576,0.082355914,0.047273214,0.070270342,0.369052367,0.257474262,0.050643443,-0.017537822
11/7/17,-0.004994405,0.034638095,0.06733699,-0.021426163,0.055299215,0.366294882,0.236745081,0.058054453,-0.074022595
11/14/17,-0.002738648,0.037296296,0.094231183,-0.062453134,-0.089071465,0.365395355,0.19150435,0.047471221,-0.059515982
11/21/17,0.008479077,-0.04804734,0.081054597,-0.109238825,-0.054284109,0.367548482,0.166830684,0.046698181,-0.076415253
11/28/17,0.027798423,-0.036702273,0.080586503,-0.098893832,-0.039041179,0.3628921,0.124114117,0.041800147,-0.125867435
12/5/17,0.004010414,0.043864948,0.106947968,-0.064879042,-0.054264694,0.361794103,0.08270425,0.037664735,-0.119067955
12/12/17,0.013085486,-0.09123046,0.08657035,-0.213019344,-0.093334205,0.35453854,0.107729644,0.043231078,-0.051314566
12/19/17,0.004133463,0.022373684,0.106550965,-0.067624754,-0.010761401,0.353554534,0.084260839,0.05556098,-0.044738469
12/26/17,-0.00140943,0.066872727,0.057741789,0.193123621,0.197642622,0.352966873,0.115605758,0.057748498,-0.07118834
1/2/18,0.022796211,-0.006468333,0.0668451,-0.079790143,-0.107616336,0.346208082,0.167935639,0.067752715,-0.062998943
1/9/18,0.019661135,0.032674857,0.058776452,-0.01147723,0.030707555,0.344154179,0.071584633,0.060042007,-0.039664761
1/16/18,0.010299666,-0.015123899,0.054625064,-0.113775341,-0.135931393,0.34210815,0.099713,0.06562496,-0.040765335
1/23/18,0.020475483,0.007185185,0.074297981,-0.031327361,0.010714246,0.344277895,0.054169949,0.053687369,-0.059343643
1/30/18,-0.042935297,0.067079592,0.086399484,-0.069641904,-0.164938182,0.340431801,0.060179629,0.046022568,-0.092853598
2/6/18,-0.054981832,-0.026676923,0.060726267,-0.050078721,0.020370137,0.337404012,0.021584517,0.04353787,-0.139628509
2/13/18,0.040781336,0.092600521,0.067250699,-0.060409711,0.022970564,0.332281063,0.070805661,0.048851717,-0.061039708
2/20/18,0.003580009,-0.017112834,0.065925564,0.027159487,0.078001187,0.337135954,0.058408677,0.049626373,-0.065494039
