week_start,vader,textblob,textblob_full,vader_full,,WEIGHTED_spotify_bert_old,WEIGHTED_spotify_flair_old,DJIA,ICC,song_flair_old,song_bert_old
10/24/17,1.660476449,1.077358914,1.02387697,1.084216133,,3.63339635,-0.003650437,23377.24,100.7,0.006455921,3.161588912
10/31/17,1.623809762,1.064767064,1.023113265,1.078566228,,3.609758123,-0.043861465,23557.23,100.7,-0.035268059,3.162629487
11/7/17,1.586647384,1.078301033,1.025844207,1.073978809,,3.619208837,-0.097924211,23409.47,98.5,-0.08567933,3.158830312
11/14/17,1.603040051,1.071440349,1.022077024,1.065501826,,3.62872173,-0.074223287,23590.83,98.5,-0.063239884,3.153534659
11/21/17,1.649663061,1.064692457,1.019010712,1.062909865,,3.554722721,-0.054617775,23836.71,98.5,-0.047679816,3.105959471
11/28/17,1.563015824,1.074596761,1.022244673,1.059938942,,3.523952717,-0.158099402,24180.64,98.5,-0.143230521,3.097364492
12/5/17,1.585840673,1.091061559,1.022664863,1.058321133,,3.493652108,-0.097115501,24504.8,95.9,-0.085752034,3.077181823
12/12/17,1.589260351,1.098865708,1.022791513,1.054333442,,3.408038189,-0.038331753,24754.75,95.9,-0.024346392,3.046635341
12/19/17,1.586366154,1.128478897,1.027203128,1.052999696,,3.440494028,-0.010885659,24746.21,95.9,-0.00242255,3.048189928
12/26/17,1.595008423,1.154941689,1.027398533,1.05287345,,3.470508764,-0.017401102,24824.01,95.9,-0.015132037,3.10217348
1/2/18,1.688312506,1.174909251,1.030170479,1.059133613,,3.376261881,-0.046378831,25385.8,95.7,-0.064659849,3.066802156
1/9/18,1.635406587,1.125114152,1.027835355,1.050416822,,3.426622646,0.003137104,25792.86,95.7,-0.018917766,3.055958614
1/16/18,1.104885709,1.101708923,1.030406502,1.051788571,,3.420269621,-0.011163102,26210.81,95.7,-0.040155546,3.076937568
1/23/18,1.105275456,1.074583238,1.025036741,1.047787888,,3.393508486,-0.037966531,26076.89,95.7,-0.058242085,3.06833863
1/30/18,1.117229514,1.107760713,1.023847673,1.047480781,,3.33031065,-0.08187785,24912.77,95.7,-0.096577787,3.042567353
2/6/18,1.175433418,1.093247761,1.018799577,1.048167937,,3.291159098,-0.156727169,24640.45,99.7,-0.188425227,2.99888734
2/13/18,1.148760318,1.095447745,1.021289632,1.054153913,,3.31235214,-0.030028311,24964.75,99.7,-0.041626117,3.037492157
2/20/18,1.126847207,1.07542428,1.020270915,1.052626955,,3.319545885,-0.048565942,25410.03,99.7,-0.058279012,3.007722083
2/27/18,1.095355563,1.0596979,1.021076357,1.054416222,,3.347678752,-0.038713759,24884.12,99.7,-0.055707811,3.02552308
3/6/18,1.122808638,1.072619784,1.017352486,1.046462238,,3.262081778,-0.076240931,25007.03,101.4,-0.073243127,2.966944878
3/13/18,1.086918308,1.034251939,1.015127969,1.044857201,,3.252969651,-0.168665518,24727.27,101.4,-0.163041179,2.951037071
3/20/18,1.102606466,1.044504078,1.012145545,1.03634126,,3.134970334,-0.188742836,23857.71,101.4,-0.191180767,2.899944432
3/27/18,1.076229249,1.046368159,1.012969674,1.043235522,,3.279757855,-0.205113807,24033.36,101.4,-0.182557448,2.971561518
4/3/18,1.073310166,1.037618185,1.016533694,1.044671053,,3.265892395,-0.159515478,24408,98.8,-0.151180592,2.952466849
4/10/18,1.122139614,1.054862426,1.019633961,1.048492627,,3.302580294,-0.147038699,24786.63,98.8,-0.139333224,2.992869615
4/17/18,1.130840417,1.096663885,1.016545073,1.049330106,,3.322679832,-0.172541631,24024.13,98.8,-0.174467163,3.02962533
4/24/18,1.132834452,1.093704381,1.02043053,1.051988042,,3.353824275,-0.139949902,24099.05,98.8,-0.159200634,3.050526414
5/1/18,1.239099489,1.137800813,1.02177117,1.05654717,,3.340011865,-0.156115217,24360.21,98,-0.16867187,3.05996714
5/8/18,1.219405631,1.119860502,1.01929813,1.052746113,,3.313051483,-0.214303999,24706.41,98,-0.206373543,3.03713841
5/15/18,1.145958317,1.115904114,1.016860554,1.050335071,,3.312026578,-0.176067695,24834.41,98,-0.16131846,3.055997289
5/22/18,1.152995518,1.05908293,1.017385608,1.057937506,,3.378571259,-0.220074059,24361.45,98,-0.209452026,3.019691642
5/29/18,1.145112739,1.060129077,1.018466446,1.057984727,,3.340343384,-0.23554402,24799.98,98,-0.211729457,3.029115909
6/5/18,1.125516311,1.082088682,1.017916413,1.060900175,,3.394669072,-0.245356528,25320.73,98.2,-0.228035949,3.077140707
6/12/18,1.124724897,1.065451801,1.016281354,1.063344928,,3.48319992,-0.129430986,24700.21,98.2,-0.148093246,3.091377587
6/19/18,1.143698886,1.068590123,1.016449322,1.067445593,,3.461436804,-0.064973495,24283.11,98.2,-0.08056259,3.094386599
6/26/18,1.065734016,1.037226996,1.019858917,1.06109222,,3.436382474,-0.10614271,24174.82,98.2,-0.095197719,3.043553754
7/3/18,1.049060195,1.057372863,1.016846801,1.05938856,,3.410346083,-0.203673422,24919.66,97.9,-0.177757862,3.034776239
7/10/18,1.041112382,1.047909632,1.018407475,1.064448888,,3.361371082,-0.290769722,25119.89,97.9,-0.275925157,3.077827124
7/17/18,1.047472404,1.0529539,1.017278815,1.061750978,,3.377022206,-0.250613061,25241.94,97.9,-0.239583651,3.114697829
7/24/18,1.031991586,1.044808333,1.022023242,1.072416527,,3.471866375,-0.137207562,25415.19,97.9,-0.136444188,3.147333629
7/31/18,1.034433095,1.056997477,1.021066384,1.074643384,,3.580734521,-0.08070804,25628.91,97.9,-0.081450855,3.188332848
8/7/18,1.044580545,1.043862316,1.022415065,1.083102179,,3.521578522,-0.089661811,25299.92,96.2,-0.094714997,3.17198972
8/14/18,1.064391553,1.090215843,1.022172951,1.086730005,,3.580030964,-0.100433917,25822.29,96.2,-0.119162219,3.161595222
8/21/18,1.071827768,1.090288691,1.020427531,1.078474109,,3.488243049,-0.125151931,26064.02,96.2,-0.150534071,3.131371805
8/28/18,1.155097464,1.161463463,1.037411667,1.092214997,,3.587422709,-0.121402639,25952.48,96.2,-0.122960625,3.209008411
9/4/18,1.097947178,1.118108889,1.026155244,1.074855756,,3.56319865,-0.091923057,25971.06,100.1,-0.09868854,3.153010075
9/11/18,1.096819667,1.113989972,1.028602301,1.073363014,,3.465531153,-0.159281241,26246.96,100.1,-0.18235649,3.13377503
9/18/18,1.106500658,1.115749721,1.02705539,1.079701166,,3.502010714,-0.125924124,26492.21,100.1,-0.149902931,3.122219458
9/25/18,1.11478737,1.126514001,1.028302811,1.073363707,,3.498314785,-0.177580078,26773.94,100.1,-0.190273591,3.114729049
10/2/18,1.08699119,1.140985474,1.025154803,1.070354032,,3.481201747,-0.142340123,26430.57,98.6,-0.155611849,3.090691325
10/9/18,1.109161981,1.151098485,1.022862451,1.055170079,,3.208144838,-0.166153453,25798.42,98.6,-0.201542862,3.027067635
10/16/18,1.493235189,1.20162175,1.02467577,1.055750579,,3.395277157,-0.14615958,25191.43,98.6,-0.185690392,3.062502242
10/23/18,1.133959004,1.1914022,1.02480422,1.066428227,,3.355442353,-0.069232386,24874.64,98.6,-0.121154794,3.025656698
10/30/18,1.051259495,1.142174549,1.019838762,1.065089163,,3.413299611,-0.157983171,25635.01,98.6,-0.188389329,3.013728991
11/6/18,1.06003368,1.178951552,1.019374327,1.06072757,,3.424518198,-0.127809129,25286.49,97.5,-0.15062757,3.01106826
11/13/18,1.099134663,1.156882165,1.026090869,1.068467548,,3.479322793,-0.172642325,24465.64,97.5,-0.191494577,3.009966072
11/20/18,1.140199543,1.17851128,1.025168582,1.075902756,,3.489960258,-0.133131244,24748.73,97.5,-0.15752873,3.048187716
11/27/18,1.208660564,1.174145517,1.032527832,1.076354386,,3.499358114,-0.103273125,25027.07,97.5,-0.132003471,3.086991074
12/4/18,1.217460894,1.217013381,1.031484412,1.072637575,,3.545798386,-0.075559356,24370.24,98.3,-0.091446281,3.174101638
12/11/18,1.124561354,1.212602881,1.022213833,1.061300794,,3.298360061,-0.177488456,23675.64,98.3,-0.186418901,3.098456061
12/18/18,1.135946898,1.204427785,1.024592769,1.074442545,,3.453181561,0.019082208,23787.45,98.3,0.030611337,3.221460436
12/25/18,1.26816075,1.304761893,1.03567076,1.091013957,,3.531498252,0.091006075,24065.59,98.3,0.126450233,3.38659563
1/1/19,1.282272106,1.276246819,1.0312892,1.090044605,,3.49628205,0.019079633,24404.48,91.2,0.055558871,3.370153626
1/8/19,1.206422336,1.188567035,1.030834603,1.077303748,,3.55193833,-0.067709739,24579.96,91.2,-0.069010125,3.161583148
1/15/19,1.20684922,1.19183115,1.030136693,1.075030907,,3.560124313,-0.108142851,25411.52,91.2,-0.105824831,3.176071083
1/22/19,1.232296274,1.169879413,1.028302442,1.074265221,,3.590319549,-0.121270615,25425.76,91.2,-0.126776476,3.175559664
1/29/19,1.114475961,1.166937975,1.028691536,1.079801541,,3.533614771,-0.116932789,25891.32,91.2,-0.118607416,3.170212967
2/5/19,1.136257308,1.157033852,1.026758818,1.075297983,,3.571242734,-0.127258391,26057.98,93.8,-0.13580322,3.137603653
2/12/19,1.213427602,1.146043555,1.02298913,1.064116637,,3.555952293,-0.137757364,25806.63,93.8,-0.138772408,3.148777954
2/19/19,1.167867275,1.136720306,1.024883878,1.074631769,,3.543427507,-0.175434516,25554.66,93.8,-0.167369624,3.126756161
2/26/19,1.172475282,1.133922976,1.028290656,1.07990584,,3.604578108,-0.095497238,25887.38,93.8,-0.089980144,3.171992622
3/5/19,1.133920678,1.117720911,1.026890107,1.067039312,,3.482371235,-0.145676493,25657.73,98.4,-0.166356081,3.123069071
3/12/19,1.109890568,1.151271792,1.030818691,1.074854518,,3.606049305,-0.022573368,26179.13,98.4,-0.031964843,3.174653058
3/19/19,1.072345687,1.163145955,1.031256601,1.073820699,,3.69153958,-0.023717305,26150.58,98.4,-0.036598943,3.212595445
3/26/19,1.092163834,1.145353948,1.025795177,1.069688292,,3.634041424,-0.030090178,26452.66,98.4,-0.043342271,3.187866179
4/2/19,1.096056824,1.153178624,1.029005184,1.069504777,,3.619699044,-0.073319703,26656.39,97.2,-0.075280933,3.191791179
4/9/19,1.172927848,1.123818722,1.025354407,1.071340533,,3.640783994,-0.154359004,26592.91,97.2,-0.131184544,3.184120409
4/16/19,1.170565838,1.104651015,1.023018177,1.073461805,,3.567685351,-0.077611247,25965.09,97.2,-0.083668705,3.16293382
4/23/19,1.157975921,1.104736727,1.027499091,1.073180477,,3.592291859,-0.078646789,25532.05,97.2,-0.081375436,3.149802835
4/30/19,1.176667665,1.140738143,1.033275194,1.078245692,,3.595861406,-0.059188319,25877.33,97.2,-0.065582775,3.148349305
5/7/19,1.168140232,1.147286688,1.036674714,1.073309639,,3.55755595,0.023085983,25347.77,100,-0.005071158,3.126239241
5/14/19,1.393772902,1.356266436,1.029759502,1.072479924,,3.584572004,-0.004812132,25332.18,100,-0.018715735,3.154734075
5/21/19,1.409672042,1.363983986,1.031612299,1.079733804,,3.548140821,0.02003855,26048.51,100,0.036225646,3.123083481
5/28/19,1.270231896,1.359495684,1.033352914,1.068322982,,3.457789406,0.003401734,26465.54,100,0.028012223,3.105139205
6/4/19,1.461685519,1.403350913,1.031389404,1.05991698,,3.450405628,0.047436822,26548.22,98.2,0.058073454,3.090615668
6/11/19,1.451197057,1.37816837,1.02617133,1.053955449,,3.400810296,0.065695307,26786.68,98.2,0.054716688,3.095474186
6/18/19,1.524063756,1.402461284,1.027901178,1.067138184,,3.414612182,0.161091737,26783.49,98.2,0.141558179,3.118453414
6/25/19,1.479586211,1.415227155,1.031076263,1.063115592,,3.473504957,0.137355834,27335.63,98.2,0.126624974,3.14734273
7/2/19,1.493694658,1.414946745,1.029654087,1.060169991,,3.466387692,0.117455736,27349.19,98.4,0.10943057,3.150129043
7/9/19,1.485212124,1.414000239,1.036879586,1.06380137,,3.484810643,0.079466998,27198.02,98.4,0.0611363,3.135924889
7/16/19,1.458716422,1.430174376,1.026582338,1.0561541,,3.444070532,0.021405266,26029.52,98.4,0.026094302,3.093280276
