song,artist,position,average,standard_deviation
Kiss Me More,Doja Cat Featuring SZA,"{'2021-11-06': 12, '2021-10-30': 10, '2021-10-23': 7, '2021-10-16': 7, '2021-10-09': 8, '2021-10-02': 7, '2021-09-25': 8, '2021-09-18': 19, '2021-09-11': 5, '2021-09-04': 4, '2021-08-28': 5, '2021-08-21': 4, '2021-08-14': 6, '2021-08-07': 6, '2021-07-31': 5, '2021-07-24': 5, '2021-07-17': 4, '2021-07-10': 3, '2021-07-03': 4, '2021-06-26': 4, '2021-06-19': 7, '2021-06-12': 7, '2021-06-05': 8, '2021-05-29': 10, '2021-05-22': 5, '2021-05-15': 5, '2021-05-08': 6, '2021-05-01': 8, '2021-04-24': 7}",6.75862069,3.092317203
Heat Waves,Glass Animals,"{'2021-11-06': 13, '2021-10-30': 14, '2021-10-23': 12, '2021-10-16': 15, '2021-10-09': 15, '2021-10-02': 16, '2021-09-25': 15, '2021-09-18': 33, '2021-09-11': 23, '2021-09-04': 33, '2021-08-28': 34, '2021-08-21': 31, '2021-08-14': 31, '2021-08-07': 30, '2021-07-31': 32, '2021-07-24': 35, '2021-07-17': 27, '2021-07-10': 25, '2021-07-03': 19, '2021-06-26': 21, '2021-06-19': 24, '2021-06-12': 25, '2021-06-05': 37, '2021-05-29': 42, '2021-05-22': 33, '2021-05-15': 34, '2021-05-08': 42, '2021-05-01': 39, '2021-04-24': 41, '2021-04-17': 44, '2021-04-10': 50, '2021-04-03': 57, '2021-03-27': 56, '2021-03-20': 57, '2021-03-13': 61, '2021-03-06': 65, '2021-02-27': 64, '2021-02-20': 69, '2021-02-13': 86, '2021-02-06': 91, '2021-01-16': 100}",38.80487805,21.46263857
Beggin',Maneskin,"{'2021-11-06': 14, '2021-10-30': 15, '2021-10-23': 15, '2021-10-16': 16, '2021-10-09': 19, '2021-10-02': 20, '2021-09-25': 30, '2021-09-18': 39, '2021-09-11': 35, '2021-09-04': 29, '2021-08-28': 42, '2021-08-21': 50, '2021-08-14': 44, '2021-08-07': 38, '2021-07-31': 35, '2021-07-24': 41, '2021-07-17': 46, '2021-07-10': 78}",33.66666667,15.80787427
Cold Heart (PNAU Remix),Elton John & Dua Lipa,"{'2021-11-06': 15, '2021-10-30': 21, '2021-10-23': 25, '2021-10-16': 32, '2021-10-09': 46, '2021-10-02': 74, '2021-09-25': 98, '2021-08-28': 81}",49,29.29163703
You Right,Doja Cat & The Weeknd,"{'2021-11-06': 16, '2021-10-30': 16, '2021-10-23': 16, '2021-10-16': 18, '2021-10-09': 18, '2021-10-02': 19, '2021-09-25': 18, '2021-09-18': 36, '2021-09-11': 21, '2021-09-04': 12, '2021-08-28': 17, '2021-08-21': 16, '2021-08-14': 18, '2021-08-07': 19, '2021-07-31': 19, '2021-07-24': 19, '2021-07-17': 13, '2021-07-10': 11}",17.88888889,5.075966125
Save Your Tears,The Weeknd,"{'2021-11-06': 17, '2021-10-30': 17, '2021-10-23': 13, '2021-10-16': 14, '2021-10-09': 12, '2021-10-02': 12, '2021-09-25': 12, '2021-09-18': 28, '2021-09-11': 14, '2021-09-04': 10, '2021-08-28': 11, '2021-08-21': 11, '2021-08-14': 10, '2021-08-07': 11, '2021-07-31': 10, '2021-07-24': 9, '2021-07-17': 9, '2021-07-10': 9, '2021-07-03': 7, '2021-06-26': 7, '2021-06-19': 6, '2021-06-12': 5, '2021-06-05': 7, '2021-05-29': 9, '2021-05-22': 4, '2021-05-15': 1, '2021-05-08': 1, '2021-05-01': 6, '2021-04-24': 5, '2021-04-17': 6, '2021-04-10': 6, '2021-04-03': 5, '2021-03-27': 5, '2021-03-20': 7, '2021-03-13': 6, '2021-03-06': 6, '2021-02-27': 6, '2021-02-20': 4, '2021-02-13': 8, '2021-02-06': 14, '2021-01-30': 20, '2021-01-23': 21, '2021-01-16': 46, '2021-01-09': 95, '2020-04-11': 85, '2020-04-04': 41}",14.52173913,18.28011408
If I Didn't Love You,Jason Aldean & Carrie Underwood,"{'2021-11-06': 18, '2021-10-30': 23, '2021-10-23': 19, '2021-10-16': 19, '2021-10-09': 21, '2021-10-02': 22, '2021-09-25': 24, '2021-09-18': 43, '2021-09-11': 50, '2021-09-04': 44, '2021-08-28': 48, '2021-08-21': 51, '2021-08-14': 52, '2021-08-07': 15}",32.07142857,14.12932253
Traitor,Olivia Rodrigo,"{'2021-11-06': 19, '2021-10-30': 22, '2021-10-23': 21, '2021-10-16': 21, '2021-10-09': 25, '2021-10-02': 25, '2021-09-25': 37, '2021-09-18': 49, '2021-09-11': 39, '2021-09-04': 28, '2021-08-28': 29, '2021-08-21': 33, '2021-08-14': 49, '2021-08-07': 47, '2021-07-31': 39, '2021-07-24': 45, '2021-07-17': 38, '2021-07-10': 39, '2021-07-03': 28, '2021-06-26': 25, '2021-06-19': 19, '2021-06-12': 12, '2021-06-05': 9}",30.34782609,11.25826728
My Universe,Coldplay x BTS,"{'2021-11-06': 20, '2021-10-30': 13, '2021-10-23': 18, '2021-10-16': 12, '2021-10-09': 1}",12.8,6.615134163
Who Want Smoke??,"Nardo Wick Featuring G Herbo, Lil Durk & 21 Savage","{'2021-11-06': 21, '2021-10-30': 19, '2021-10-23': 17}",19,1.632993162
Knife Talk,Drake Featuring 21 Savage & Project Pat,"{'2021-11-06': 22, '2021-10-30': 18, '2021-10-23': 14, '2021-10-16': 9, '2021-10-09': 9, '2021-10-02': 8, '2021-09-25': 4, '2021-09-18': 5}",11.125,5.925316447
Meet Me At Our Spot,THE ANXIETY: WILLOW & Tyler Cole,"{'2021-11-06': 23, '2021-10-30': 32, '2021-10-23': 44, '2021-10-16': 47, '2021-10-09': 47, '2021-10-02': 44, '2021-09-25': 64}",43,11.92835757
Montero (Call Me By Your Name),Lil Nas X,"{'2021-11-06': 24, '2021-10-30': 24, '2021-10-23': 20, '2021-10-16': 17, '2021-10-09': 13, '2021-10-02': 9, '2021-09-25': 13, '2021-09-18': 30, '2021-09-11': 15, '2021-09-04': 9, '2021-08-28': 10, '2021-08-21': 9, '2021-08-14': 8, '2021-08-07': 8, '2021-07-31': 8, '2021-07-24': 8, '2021-07-17': 5, '2021-07-10': 8, '2021-07-03': 8, '2021-06-26': 9, '2021-06-19': 11, '2021-06-12': 10, '2021-06-05': 13, '2021-05-29': 18, '2021-05-22': 10, '2021-05-15': 9, '2021-05-08': 7, '2021-05-01': 4, '2021-04-24': 2, '2021-04-17': 2, '2021-04-10': 1}",11.03225806,6.55735918
Chasing After You,Ryan Hurd With Maren Morris,"{'2021-11-06': 25, '2021-10-30': 25, '2021-10-23': 23, '2021-10-16': 24, '2021-10-09': 27, '2021-10-02': 32, '2021-09-25': 39, '2021-09-18': 53, '2021-09-11': 47, '2021-09-04': 34, '2021-08-28': 44, '2021-08-21': 49, '2021-08-14': 46, '2021-08-07': 48, '2021-07-31': 58, '2021-07-24': 56, '2021-07-17': 62, '2021-07-10': 77, '2021-07-03': 78, '2021-06-19': 91, '2021-06-12': 87, '2021-06-05': 90, '2021-05-29': 87, '2021-05-22': 90, '2021-05-08': 94, '2021-05-01': 91}",56.80769231,24.61084694
Girls Want Girls,Drake Featuring Lil Baby,"{'2021-11-06': 26, '2021-10-30': 26, '2021-10-23': 22, '2021-10-16': 20, '2021-10-09': 17, '2021-10-02': 13, '2021-09-25': 10, '2021-09-18': 2}",17,7.794228634
Moth To A Flame,Swedish House Mafia & The Weeknd,{'2021-11-06': 27},27,0
Let's Go Brandon,Bryson Gray Featuring Tyson James & Chandler Crump,{'2021-11-06': 28},28,0
Thats What I Want,Lil Nas X,"{'2021-11-06': 29, '2021-10-30': 28, '2021-10-23': 26, '2021-10-16': 26, '2021-10-09': 24, '2021-10-02': 10}",23.83333333,6.387922632
Pepas,Farruko,"{'2021-11-06': 30, '2021-10-30': 29, '2021-10-23': 27, '2021-10-16': 25, '2021-10-09': 29, '2021-10-02': 27, '2021-09-25': 34, '2021-09-18': 45, '2021-09-11': 36, '2021-09-04': 26, '2021-08-28': 33, '2021-08-21': 52, '2021-08-14': 66, '2021-08-07': 81}",38.57142857,16.25561128
Love Nwantiti (Ah Ah Ah),CKay,"{'2021-11-06': 31, '2021-10-30': 31, '2021-10-23': 31, '2021-10-16': 35, '2021-10-09': 50, '2021-10-02': 80}",43,17.8605711
Take My Breath,The Weeknd,"{'2021-11-06': 32, '2021-10-30': 27, '2021-10-23': 24, '2021-10-16': 22, '2021-10-09': 22, '2021-10-02': 21, '2021-09-25': 23, '2021-09-18': 37, '2021-09-11': 25, '2021-09-04': 16, '2021-08-28': 13, '2021-08-21': 6}",22.33333333,7.835106182
Happier Than Ever,Billie Eilish,"{'2021-11-06': 33, '2021-10-30': 30, '2021-10-23': 30, '2021-10-16': 29, '2021-10-09': 31, '2021-10-02': 28, '2021-09-25': 36, '2021-09-18': 42, '2021-09-11': 38, '2021-09-04': 22, '2021-08-28': 18, '2021-08-21': 13, '2021-08-14': 11}",27.76923077,8.997040934
Wockesha,Moneybagg Yo,"{'2021-11-06': 34, '2021-10-30': 33, '2021-10-23': 29, '2021-10-16': 27, '2021-10-09': 20, '2021-10-02': 35, '2021-09-25': 50, '2021-09-18': 62, '2021-09-11': 54, '2021-09-04': 35, '2021-08-28': 35, '2021-08-21': 40, '2021-08-14': 42, '2021-08-07': 46, '2021-07-31': 48, '2021-07-24': 46, '2021-07-17': 37, '2021-07-10': 44, '2021-07-03': 35, '2021-06-26': 39, '2021-06-19': 36, '2021-06-12': 33, '2021-06-05': 36, '2021-05-29': 39, '2021-05-22': 42, '2021-05-15': 57, '2021-05-08': 59}",40.48148148,9.719664567
Better Days,Ant Clemons Featuring Justin Timberlake,"{'2021-11-06': 35, '2021-10-30': 57, '2021-01-30': 94}",62,24.34474618
Buy Dirt,Jordan Davis Featuring Luke Bryan,"{'2021-11-06': 36, '2021-10-30': 34, '2021-10-23': 40, '2021-10-16': 43, '2021-10-09': 55, '2021-10-02': 55, '2021-09-25': 51, '2021-09-18': 74, '2021-09-11': 84, '2021-09-04': 84, '2021-08-28': 76, '2021-08-21': 82}",59.5,18.61227194
Ghost,Justin Bieber,"{'2021-11-06': 37, '2021-10-30': 38, '2021-10-23': 32, '2021-10-16': 93, '2021-04-03': 66}",53.2,23.1982758
Lets Go Brandon,Loza Alexander,"{'2021-11-06': 38, '2021-10-30': 45}",41.5,3.5
Cold As You,Luke Combs,"{'2021-11-06': 39, '2021-10-30': 41, '2021-10-23': 45, '2021-10-16': 53, '2021-10-09': 65, '2021-10-02': 69, '2021-09-25': 79, '2021-09-18': 76, '2021-09-11': 80, '2021-09-04': 80, '2021-08-28': 77, '2021-08-21': 76, '2020-11-07': 84}",66.46153846,15.6333735
A-O-K,Tai Verdes,"{'2021-11-06': 40, '2021-10-30': 36, '2021-10-23': 34, '2021-10-16': 34, '2021-10-09': 35, '2021-10-02': 39, '2021-09-25': 46, '2021-09-18': 60, '2021-09-11': 56, '2021-09-04': 52, '2021-08-28': 55, '2021-08-21': 62, '2021-08-14': 67, '2021-08-07': 70, '2021-07-31': 78, '2021-07-24': 83, '2021-07-17': 83}",54.70588235,16.72182338
You Should Probably Leave,Chris Stapleton,"{'2021-11-06': 41, '2021-10-30': 40, '2021-10-23': 43, '2021-10-16': 51, '2021-10-09': 81, '2021-10-02': 83, '2021-09-25': 92, '2021-09-18': 92, '2021-09-11': 91, '2021-09-04': 76, '2021-08-28': 63, '2021-08-21': 69, '2021-08-14': 89, '2021-08-07': 79, '2021-07-31': 98, '2021-07-24': 91, '2021-07-17': 90}",74.64705882,19.27491871
Leave The Door Open,Silk Sonic (Bruno Mars & Anderson .Paak),"{'2021-11-06': 42, '2021-10-30': 44, '2021-10-23': 38, '2021-10-16': 37, '2021-10-09': 33, '2021-10-02': 33, '2021-09-25': 31, '2021-09-18': 46, '2021-09-11': 29, '2021-09-04': 15, '2021-08-28': 15, '2021-08-21': 14, '2021-08-14': 12, '2021-08-07': 13, '2021-07-31': 12, '2021-07-24': 12, '2021-07-17': 7, '2021-07-10': 6, '2021-07-03': 6, '2021-06-26': 6, '2021-06-19': 5, '2021-06-12': 4, '2021-06-05': 5, '2021-05-29': 4, '2021-05-22': 1, '2021-05-15': 2, '2021-05-08': 2, '2021-05-01': 2, '2021-04-24': 3, '2021-04-17': 1, '2021-04-10': 3, '2021-04-03': 3, '2021-03-27': 2, '2021-03-20': 4}",14.47058824,14.38593123
Thinking 'Bout You,Dustin Lynch Featuring Lauren Alaina Or MacKenzie Porter,"{'2021-11-06': 43, '2021-10-30': 51, '2021-10-23': 55, '2021-10-16': 57, '2021-10-09': 76, '2021-10-02': 81, '2021-09-25': 91, '2021-09-18': 94, '2021-09-11': 93, '2021-09-04': 100, '2021-08-28': 91}",75.63636364,19.49019673
Memory I Don't Mess With,Lee Brice,"{'2021-11-06': 44, '2021-10-30': 35, '2021-10-23': 35, '2021-10-16': 33, '2021-10-09': 43, '2021-10-02': 54, '2021-09-25': 62, '2021-09-18': 70, '2021-09-11': 78, '2021-09-04': 77, '2021-08-28': 72, '2021-08-21': 74, '2021-08-14': 88, '2021-08-07': 90}",61.07142857,19.42922793
Bubbly,Young Thug With Drake & Travis Scott,"{'2021-11-06': 45, '2021-10-30': 20}",32.5,12.5
