song,artist,position,average,standard_deviation
ily,Surf Mesa Featuring Emilee,"{'2020-12-12': 43, '2020-12-05': 33, '2020-11-28': 23, '2020-11-21': 23, '2020-11-14': 25, '2020-11-07': 25, '2020-10-31': 27, '2020-10-24': 28, '2020-10-17': 41, '2020-10-10': 35, '2020-10-03': 37, '2020-09-26': 49, '2020-09-19': 59, '2020-09-12': 70, '2020-09-05': 82, '2020-08-29': 81, '2020-08-22': 78, '2020-08-15': 87, '2020-08-08': 98, '2020-08-01': 84, '2020-07-25': 88, '2020-07-18': 86, '2020-07-11': 78, '2020-07-04': 74, '2020-06-27': 72, '2020-06-20': 97, '2020-06-13': 96, '2020-06-06': 100}",61.39285714,26.98457137
Said Sum,Moneybagg Yo,"{'2020-12-12': 44, '2020-12-05': 34, '2020-11-28': 28, '2020-11-21': 22, '2020-11-14': 20, '2020-11-07': 17, '2020-10-31': 23, '2020-10-24': 33, '2020-10-17': 51, '2020-10-10': 36, '2020-10-03': 24, '2020-09-26': 60, '2020-09-19': 71, '2020-09-12': 64, '2020-09-05': 58, '2020-08-29': 59, '2020-08-22': 57, '2020-08-15': 52, '2020-08-08': 60, '2020-08-01': 44, '2020-07-25': 63, '2020-07-18': 63}",44.68181818,16.82364776
Yo Visto Asi,Bad Bunny,{'2020-12-12': 64},64,0
Haciendo Que Me Amas,Bad Bunny,{'2020-12-12': 72},72,0
Te Deseo Lo Mejor,Bad Bunny,{'2020-12-12': 74},74,0
Booker T,Bad Bunny,{'2020-12-12': 78},78,0
El Mundo Es Mio,Bad Bunny,{'2020-12-12': 79},79,0
Hoy Cobre,Bad Bunny,{'2020-12-12': 81},81,0
Maldita Pobreza,Bad Bunny,{'2020-12-12': 87},87,0
La Droga,Bad Bunny,{'2020-12-12': 94},94,0
Blue & Grey,BTS,{'2020-12-05': 13},13,0
One Beer,HARDY Featuring Lauren Alaina & Devin Dawson,"{'2020-12-05': 38, '2020-11-28': 34, '2020-11-21': 33, '2020-11-14': 36, '2020-11-07': 36, '2020-10-31': 37, '2020-10-24': 41, '2020-10-17': 52, '2020-10-10': 52, '2020-10-03': 52, '2020-09-26': 56, '2020-09-19': 57, '2020-09-12': 72, '2020-09-05': 72, '2020-08-29': 74, '2020-08-22': 81, '2020-08-15': 90, '2020-08-01': 86, '2020-07-25': 98, '2020-07-18': 100, '2020-07-11': 88, '2020-07-04': 86, '2020-06-27': 91, '2020-06-20': 87, '2020-06-13': 97}",65.84,23.11653953
One Of Them Girls,Lee Brice,"{'2020-12-05': 40, '2020-11-28': 33, '2020-11-21': 29, '2020-11-14': 27, '2020-11-07': 26, '2020-10-31': 17, '2020-10-24': 17, '2020-10-17': 20, '2020-10-10': 18, '2020-10-03': 22, '2020-09-26': 19, '2020-09-19': 22, '2020-09-12': 33, '2020-09-05': 46, '2020-08-29': 52, '2020-08-22': 59, '2020-08-15': 61, '2020-08-08': 83, '2020-08-01': 69, '2020-07-25': 78, '2020-07-18': 87, '2020-07-11': 73, '2020-07-04': 81, '2020-06-27': 98, '2020-06-20': 94, '2020-06-13': 90}",49.76923077,27.74098286
Come & Go,Juice WRLD x Marshmello,"{'2020-12-05': 60, '2020-11-28': 47, '2020-11-21': 38, '2020-11-14': 31, '2020-11-07': 24, '2020-10-31': 22, '2020-10-24': 21, '2020-10-17': 24, '2020-10-10': 20, '2020-10-03': 19, '2020-09-26': 17, '2020-09-19': 19, '2020-09-12': 19, '2020-09-05': 19, '2020-08-29': 18, '2020-08-22': 18, '2020-08-15': 17, '2020-08-08': 17, '2020-08-01': 9, '2020-07-25': 2}",23.05,12.46785868
Fly To My Room,BTS,{'2020-12-05': 69},69,0
Telepathy,BTS,{'2020-12-05': 70},70,0
Dis-ease,BTS,{'2020-12-05': 72},72,0
Franchise,Travis Scott Featuring Young Thug & M.I.A.,"{'2020-12-05': 78, '2020-11-28': 58, '2020-11-21': 55, '2020-11-14': 59, '2020-11-07': 51, '2020-10-31': 39, '2020-10-24': 23, '2020-10-17': 25, '2020-10-10': 1}",43.22222222,22.15489802
Girls In The Hood,Megan Thee Stallion,"{'2020-12-05': 80, '2020-10-31': 89, '2020-10-24': 87, '2020-10-17': 95, '2020-10-10': 74, '2020-10-03': 68, '2020-09-26': 53, '2020-09-19': 45, '2020-09-12': 44, '2020-09-05': 45, '2020-08-29': 42, '2020-08-22': 35, '2020-08-15': 46, '2020-08-08': 61, '2020-08-01': 46, '2020-07-25': 57, '2020-07-18': 51, '2020-07-11': 28}",58.11111111,19.15112091
Shots Fired,Megan Thee Stallion,{'2020-12-05': 82},82,0
Pain Away,Meek Mill Featuring Lil Durk,{'2020-12-05': 86},86,0
U 2 Luv,Ne-Yo & Jeremih,"{'2020-12-05': 88, '2020-11-28': 73, '2020-11-21': 68, '2020-11-14': 74, '2020-11-07': 66, '2020-10-31': 70, '2020-10-24': 80, '2020-10-10': 88}",75.875,8.037995708
Wishing Well,Juice WRLD,"{'2020-12-05': 91, '2020-11-28': 84, '2020-11-21': 70, '2020-11-14': 73, '2020-11-07': 62, '2020-10-31': 55, '2020-10-24': 52, '2020-10-17': 62, '2020-10-10': 51, '2020-10-03': 45, '2020-09-26': 42, '2020-09-19': 43, '2020-09-12': 40, '2020-09-05': 32, '2020-08-29': 32, '2020-08-22': 27, '2020-08-15': 21, '2020-08-08': 22, '2020-08-01': 13, '2020-07-25': 5}",46.1,22.59845127
Do It On The Tip,Megan Thee Stallion Featuring City Girls & Hot Girl Meg,{'2020-12-05': 92},92,0
Circles,Post Malone,"{'2020-12-05': 94, '2020-11-07': 18, '2020-10-31': 19, '2020-10-24': 19, '2020-10-17': 22, '2020-10-10': 17, '2020-10-03': 17, '2020-09-26': 16, '2020-09-19': 16, '2020-09-12': 15, '2020-09-05': 16, '2020-08-29': 16, '2020-08-22': 15, '2020-08-15': 16, '2020-08-08': 20, '2020-08-01': 18, '2020-07-25': 20, '2020-07-18': 13, '2020-07-11': 13, '2020-07-04': 10, '2020-06-27': 13, '2020-06-20': 11, '2020-06-13': 11, '2020-06-06': 11, '2020-05-30': 10, '2020-05-23': 10, '2020-05-16': 8, '2020-05-09': 8, '2020-05-02': 6, '2020-04-25': 7, '2020-04-18': 6, '2020-04-11': 4, '2020-04-04': 5, '2020-03-28': 5, '2020-03-21': 5, '2020-03-14': 4, '2020-03-07': 3, '2020-02-29': 3, '2020-02-22': 3, '2020-02-15': 3, '2020-02-08': 3, '2020-02-01': 48, '2020-01-25': 3, '2020-01-18': 3, '2020-01-11': 1, '2020-01-04': 5, '2019-12-28': 3, '2019-12-21': 2, '2019-12-14': 2, '2019-12-07': 1, '2019-11-30': 1, '2019-11-23': 2, '2019-11-16': 2, '2019-11-09': 3, '2019-11-02': 4, '2019-10-26': 4, '2019-10-19': 6, '2019-10-12': 7, '2019-10-05': 8, '2019-09-28': 9, '2019-09-21': 4, '2019-09-14': 7}",10.87096774,13.16947089
Popstar,DJ Khaled Featuring Drake,"{'2020-12-05': 96, '2020-11-28': 83, '2020-11-21': 64, '2020-11-14': 62, '2020-11-07': 54, '2020-10-31': 46, '2020-10-24': 40, '2020-10-17': 34, '2020-10-10': 21, '2020-10-03': 14, '2020-09-26': 12, '2020-09-19': 10, '2020-09-12': 24, '2020-09-05': 21, '2020-08-29': 21, '2020-08-22': 23, '2020-08-15': 18, '2020-08-08': 14, '2020-08-01': 3}",34.73684211,25.44724596
Got What I Got,Jason Aldean,"{'2020-11-28': 41, '2020-11-21': 34, '2020-11-14': 28, '2020-11-07': 21, '2020-10-31': 16, '2020-10-24': 16, '2020-10-17': 23, '2020-10-10': 19, '2020-10-03': 21, '2020-09-26': 21, '2020-09-19': 26, '2020-09-12': 31, '2020-09-05': 33, '2020-08-29': 46, '2020-08-22': 47, '2020-08-15': 51, '2020-08-08': 65, '2020-08-01': 53, '2020-07-25': 65, '2020-07-18': 60, '2020-07-11': 52, '2020-07-04': 67, '2020-06-27': 71, '2020-06-20': 76, '2020-06-13': 78}",42.44,19.92200793
Stripes Like Burberry,Future & Lil Uzi Vert,{'2020-11-28': 46},46,0
Adore You,Harry Styles,"{'2020-11-28': 49, '2020-11-21': 43, '2020-11-14': 37, '2020-11-07': 31, '2020-10-31': 31, '2020-10-24': 25, '2020-10-17': 28, '2020-10-10': 24, '2020-10-03': 23, '2020-09-26': 18, '2020-09-19': 18, '2020-09-12': 18, '2020-09-05': 17, '2020-08-29': 15, '2020-08-22': 14, '2020-08-15': 12, '2020-08-08': 15, '2020-08-01': 15, '2020-07-25': 17, '2020-07-18': 12, '2020-07-11': 11, '2020-07-04': 12, '2020-06-27': 16, '2020-06-20': 14, '2020-06-13': 12, '2020-06-06': 12, '2020-05-30': 12, '2020-05-23': 12, '2020-05-16': 11, '2020-05-09': 10, '2020-05-02': 7, '2020-04-25': 6, '2020-04-18': 7, '2020-04-11': 6, '2020-04-04': 7, '2020-03-28': 7, '2020-03-21': 16, '2020-03-14': 14, '2020-03-07': 15, '2020-02-29': 20, '2020-02-22': 22, '2020-02-15': 23, '2020-02-08': 29, '2020-02-01': 32, '2020-01-25': 26, '2020-01-18': 24, '2020-01-11': 35, '2020-01-04': 53, '2019-12-28': 24, '2019-12-21': 35}",19.84,10.86896499
That's It,Future & Lil Uzi Vert,{'2020-11-28': 50},50,0
The Woo,Pop Smoke Featuring 50 Cent & Roddy Ricch,"{'2020-11-28': 53, '2020-11-21': 41, '2020-11-14': 39, '2020-11-07': 35, '2020-10-31': 32, '2020-10-24': 38, '2020-10-17': 42, '2020-10-10': 29, '2020-10-03': 30, '2020-09-26': 27, '2020-09-19': 27, '2020-09-12': 29, '2020-09-05': 23, '2020-08-29': 28, '2020-08-22': 29, '2020-08-15': 30, '2020-08-08': 38, '2020-08-01': 32, '2020-07-25': 48, '2020-07-18': 11}",33.05,8.969253035
Real Baby Pluto,Future & Lil Uzi Vert,{'2020-11-28': 54},54,0
Iris,Phoebe & Maggie,{'2020-11-28': 57},57,0
Mood Swings,A Boogie Wit da Hoodie,"{'2020-11-28': 61, '2020-11-21': 53, '2020-11-14': 53, '2020-11-07': 47, '2020-10-31': 40, '2020-10-24': 37, '2020-10-17': 36, '2020-10-10': 27, '2020-10-03': 20, '2020-09-26': 26, '2020-09-19': 21, '2020-09-12': 20, '2020-09-05': 18, '2020-08-29': 19, '2020-08-22': 17, '2020-08-15': 25, '2020-08-08': 59, '2020-08-01': 70, '2020-07-25': 79, '2020-07-18': 44, '2019-09-28': 76}",40.38095238,19.69886676
Marni On Me,Future & Lil Uzi Vert,{'2020-11-28': 64},64,0
Million Dollar Play,Future & Lil Uzi Vert,{'2020-11-28': 67},67,0
Sleeping On The Floor,Future & Lil Uzi Vert,{'2020-11-28': 68},68,0
Blind,DaBaby Featuring Young Thug,"{'2020-11-28': 74, '2020-11-21': 89, '2020-11-14': 90, '2020-11-07': 83, '2020-10-31': 78, '2020-10-24': 83, '2020-10-17': 99, '2020-10-10': 85, '2020-10-03': 95}",86.22222222,7.465145348
Plastic,Future & Lil Uzi Vert,{'2020-11-28': 86},86,0
Runnin,21 Savage & Metro Boomin,"{'2020-11-28': 91, '2020-11-21': 85, '2020-11-14': 83, '2020-11-07': 61, '2020-10-31': 50, '2020-10-24': 36, '2020-10-17': 9}",59.28571429,27.74740289
Relacion,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko","{'2020-11-28': 92, '2020-11-21': 90, '2020-11-14': 91, '2020-11-07': 79, '2020-10-31': 73, '2020-10-24': 75, '2020-10-17': 92, '2020-10-10': 76, '2020-10-03': 76, '2020-09-26': 75, '2020-09-19': 64}",80.27272727,9.026132859
La Toxica,Farruko,"{'2020-11-28': 95, '2020-11-21': 100, '2020-11-14': 99, '2020-11-07': 98}",98,1.870828693
Tap In,Saweetie,"{'2020-11-28': 96, '2020-11-21': 86, '2020-11-14': 76, '2020-11-07': 59, '2020-10-31': 53, '2020-10-24': 46, '2020-10-17': 47, '2020-10-10': 30, '2020-10-03': 28, '2020-09-26': 24, '2020-09-19': 20, '2020-09-12': 21, '2020-09-05': 31, '2020-08-29': 41, '2020-08-22': 44, '2020-08-15': 53, '2020-08-08': 73, '2020-08-01': 66, '2020-07-25': 91}",51.84210526,23.38749814
Rockstar Chainz,Future,{'2020-11-28': 97},97,0
Bought A Bad Bitch,Future & Lil Uzi Vert,{'2020-11-28': 100},100,0
What That Speed Bout!?,"Mike WiLL Made-It, Nicki Minaj & YoungBoy Never Broke Again",{'2020-11-21': 35},35,0
Rags2Riches,Rod Wave Featuring ATR Son Son,"{'2020-11-21': 42, '2020-11-14': 42, '2020-11-07': 40, '2020-10-31': 38, '2020-10-24': 39, '2020-10-17': 49, '2020-10-10': 38, '2020-10-03': 35, '2020-09-26': 32, '2020-09-19': 35, '2020-09-12': 32, '2020-09-05': 28, '2020-08-29': 22, '2020-08-22': 12, '2020-08-15': 55, '2020-08-08': 64, '2020-08-01': 41, '2020-07-25': 52, '2020-07-18': 64, '2020-07-11': 96}",42.8,17.36260349
Roses,benny blanco & Juice WRLD Featuring Brendon Urie,"{'2020-11-21': 46, '2020-11-14': 44, '2020-11-07': 39, '2020-10-31': 33, '2020-10-24': 31, '2020-10-17': 31, '2020-10-10': 22, '2020-10-03': 18, '2020-09-26': 14, '2020-09-19': 13, '2020-09-12': 11, '2020-09-05': 8, '2020-08-29': 8, '2020-08-22': 6, '2020-08-15': 5, '2020-08-08': 8, '2020-08-01': 5, '2020-07-25': 8, '2020-07-18': 5, '2020-07-11': 5, '2020-07-04': 4, '2020-06-27': 8, '2020-06-20': 7, '2020-06-13': 10, '2020-06-06': 14, '2020-05-30': 15, '2020-05-23': 16, '2020-05-16': 20, '2020-05-09': 23, '2020-05-02': 22, '2020-04-25': 26, '2020-04-18': 30, '2020-04-11': 39, '2020-04-04': 55, '2019-02-16': 88, '2019-02-09': 85, '2019-02-02': 97, '2019-01-26': 87, '2019-01-19': 91, '2019-01-12': 95}",29.8,28.47911515
Lovin' On You,Luke Combs,"{'2020-11-21': 51, '2020-11-14': 56, '2020-11-07': 41, '2020-10-31': 45, '2020-10-24': 42, '2020-10-17': 40, '2020-10-10': 26, '2020-10-03': 26, '2020-09-26': 23, '2020-09-19': 23, '2020-09-12': 26, '2020-09-05': 30, '2020-08-29': 53, '2020-08-22': 56, '2020-08-15': 60, '2020-08-08': 79, '2020-08-01': 72, '2020-07-25': 87, '2020-07-18': 97, '2020-07-11': 93}",51.3,23.19073091
Don't Need Friends,NAV Featuring Lil Baby,{'2020-11-21': 65},65,0
The Code,King Von Featuring Polo G,{'2020-11-21': 66},66,0
Tragic,The Kid LAROI Featuring YoungBoy Never Brok Again & Internet Money,{'2020-11-21': 76},76,0
All These N**gas,King Von Featuring Lil Durk,{'2020-11-21': 77},77,0
Motive,Ariana Grande Featuring Doja Cat,"{'2020-11-21': 80, '2020-11-14': 32}",56,24
Crazy Story 2.0,King Von Featuring Lil Durk,{'2020-11-21': 81},81,0
Always Do,The Kid LAROI,{'2020-11-21': 83},83,0
Young Wheezy,NAV With Gunna,{'2020-11-21': 84},84,0
Off The Table,Ariana Grande Featuring The Weeknd,"{'2020-11-21': 95, '2020-11-14': 35}",65,30
Just Like Magic,Ariana Grande,"{'2020-11-21': 98, '2020-11-14': 43}",70.5,27.5
"F*ck You, Goodbye",The Kid LAROI Featuring Machine Gun Kelly,{'2020-11-21': 99},99,0
Shut Up,Ariana Grande,{'2020-11-14': 47},47,0
Thriller,Michael Jackson,"{'2020-11-14': 48, '2019-11-09': 44, '2018-11-10': 31}",41,7.257180352
Nasty,Ariana Grande,{'2020-11-14': 49},49,0
Break My Heart,Dua Lipa,"{'2020-11-14': 50, '2020-11-07': 44, '2020-10-31': 34, '2020-10-24': 27, '2020-10-17': 29, '2020-10-10': 25, '2020-10-03': 25, '2020-09-26': 20, '2020-09-19': 17, '2020-09-12': 16, '2020-09-05': 14, '2020-08-29': 13, '2020-08-22': 13, '2020-08-15': 14, '2020-08-08': 19, '2020-08-01': 17, '2020-07-25': 24, '2020-07-18': 17, '2020-07-11': 20, '2020-07-04': 23, '2020-06-27': 25, '2020-06-20': 26, '2020-06-13': 29, '2020-06-06': 34, '2020-05-30': 39, '2020-05-23': 31, '2020-05-16': 40, '2020-05-09': 36, '2020-05-02': 39, '2020-04-25': 35, '2020-04-18': 39, '2020-04-11': 21}",26.71875,9.795516752
Safety Net,Ariana Grande Featuring Ty Dolla $ign,{'2020-11-14': 52},52,0
Six Thirty,Ariana Grande,{'2020-11-14': 63},63,0
My Hair,Ariana Grande,{'2020-11-14': 65},65,0
Obvious,Ariana Grande,{'2020-11-14': 70},70,0
West Side,Ariana Grande,{'2020-11-14': 71},71,0
Love Language,Ariana Grande,{'2020-11-14': 75},75,0
Weeeeee,Trippie Redd,{'2020-11-14': 80},80,0
Thick,DJ Chose Featuring BeatKing,{'2020-11-14': 98},98,0
Dreams,Fleetwood Mac,"{'2020-11-07': 33, '2020-10-31': 21, '2020-10-24': 12, '2020-10-17': 21}",21.75,7.462405778
Don't Start Now,Dua Lipa,"{'2020-11-07': 38, '2020-10-31': 36, '2020-10-24': 35, '2020-10-17': 39, '2020-10-10': 33, '2020-10-03': 32, '2020-09-26': 28, '2020-09-19': 25, '2020-09-12': 23, '2020-09-05': 27, '2020-08-29': 27, '2020-08-22': 26, '2020-08-15': 22, '2020-08-08': 24, '2020-08-01': 27, '2020-07-25': 27, '2020-07-18': 15, '2020-07-11': 15, '2020-07-04': 14, '2020-06-27': 14, '2020-06-20': 8, '2020-06-13': 7, '2020-06-06': 7, '2020-05-30': 8, '2020-05-23': 9, '2020-05-16': 6, '2020-05-09': 7, '2020-05-02': 4, '2020-04-25': 4, '2020-04-18': 4, '2020-04-11': 3, '2020-04-04': 3, '2020-03-28': 3, '2020-03-21': 2, '2020-03-14': 3, '2020-03-07': 5, '2020-02-29': 5, '2020-02-22': 6, '2020-02-15': 9, '2020-02-08': 9, '2020-02-01': 15, '2020-01-25': 14, '2020-01-18': 14, '2020-01-11': 21, '2020-01-04': 52, '2019-12-28': 42, '2019-12-21': 42, '2019-12-14': 42, '2019-12-07': 37, '2019-11-30': 42, '2019-11-23': 46, '2019-11-16': 30}",19.92307692,14.08879281
Spicy,Nas Featuring Fivio Foreign & A$AP Ferg,"{'2020-11-07': 53, '2020-09-05': 96}",74.5,21.5
The Other Guy,Luke Combs,{'2020-11-07': 69},69,0
The Bigger Picture,Lil Baby,"{'2020-11-07': 82, '2020-10-31': 72, '2020-10-24': 68, '2020-10-17': 89, '2020-10-10': 72, '2020-10-03': 69, '2020-09-26': 71, '2020-09-19': 58, '2020-09-12': 52, '2020-09-05': 54, '2020-08-29': 51, '2020-08-22': 46, '2020-08-15': 42, '2020-08-08': 50, '2020-08-01': 37, '2020-07-25': 43, '2020-07-18': 20, '2020-07-11': 14, '2020-07-04': 7, '2020-06-27': 3}",50,23.74447304
Whole Lotta Choppas,Sada Baby Featuring Nicki Minaj,"{'2020-11-07': 88, '2020-10-31': 35, '2020-10-03': 93}",72,26.24245923
Greece,DJ Khaled Featuring Drake,"{'2020-11-07': 91, '2020-10-31': 76, '2020-10-24': 71, '2020-10-17': 88, '2020-10-10': 67, '2020-10-03': 65, '2020-09-26': 74, '2020-09-19': 67, '2020-09-12': 65, '2020-09-05': 62, '2020-08-29': 60, '2020-08-22': 58, '2020-08-15': 56, '2020-08-08': 55, '2020-08-01': 8}",64.2,18.17397407
Un Dia (One Day),"J Balvin, Dua Lipa, Bad Bunny & Tainy","{'2020-11-07': 94, '2020-10-31': 83, '2020-10-24': 73, '2020-10-17': 85, '2020-10-10': 77, '2020-10-03': 71, '2020-09-26': 80, '2020-09-19': 75, '2020-09-12': 69, '2020-09-05': 70, '2020-08-29': 68, '2020-08-22': 64, '2020-08-15': 68, '2020-08-08': 63}",74.28571429,8.412818208
Do It,Chloe X Halle,"{'2020-11-07': 95, '2020-10-31': 75, '2020-10-24': 77, '2020-10-17': 94, '2020-10-10': 80, '2020-10-03': 85, '2020-09-26': 86, '2020-09-19': 63, '2020-07-11': 91, '2020-07-04': 91, '2020-06-27': 83}",83.63636364,9.098178911
Cardigan,Don Toliver,"{'2020-11-07': 96, '2020-10-31': 88, '2020-10-24': 85, '2020-10-17': 77, '2020-10-10': 53, '2020-10-03': 49, '2020-09-26': 52, '2020-09-19': 52, '2020-09-12': 45, '2020-09-05': 36, '2020-08-29': 33, '2020-08-22': 24, '2020-08-15': 8, '2020-08-08': 1, '2020-03-28': 90}",52.6,28.73047163
Forget Me Too,Machine Gun Kelly & Halsey,"{'2020-11-07': 97, '2020-10-17': 96, '2020-10-10': 44}",79,24.75210429
Head & Heart,Joel Corry X MNEK,{'2020-11-07': 99},99,0
"Wine, Beer, Whiskey",Little Big Town,{'2020-11-07': 100},100,0
Hate The Way,G-Eazy Featuring blackbear,{'2020-10-31': 71},71,0
OK Not To Be OK,Marshmello & Demi Lovato,"{'2020-10-31': 80, '2020-10-24': 70, '2020-10-17': 82, '2020-10-10': 73, '2020-10-03': 75, '2020-09-26': 36}",69.33333333,15.44524378
Canceled,Larray,{'2020-10-31': 81},81,0
Glock In My Lap,21 Savage & Metro Boomin,"{'2020-10-31': 82, '2020-10-24': 63, '2020-10-17': 19}",54.66666667,26.38602324
Ice Cream,BLACKPINK X Selena Gomez,"{'2020-10-31': 84, '2020-10-24': 72, '2020-10-17': 64, '2020-10-10': 68, '2020-10-03': 66, '2020-09-26': 61, '2020-09-19': 49, '2020-09-12': 13}",59.625,19.89307354
Smile,JAY-Z Featuring Gloria Carter,"{'2020-10-31': 86, '2020-10-24': 89, '2020-10-10': 81, '2020-10-03': 78, '2020-09-26': 79, '2020-09-19': 74, '2020-09-12': 59, '2020-09-05': 52, '2020-08-29': 35, '2020-08-22': 8, '2017-07-29': 56}",63.36363636,23.59611959
Breaking Me,Topic & A7S,"{'2020-10-31': 87, '2020-10-24': 79, '2020-10-17': 78, '2020-10-10': 59, '2020-10-03': 53, '2020-09-26': 55, '2020-09-19': 60, '2020-09-12': 71, '2020-09-05': 71, '2020-08-29': 73, '2020-08-22': 72, '2020-08-15': 95, '2020-08-01': 97}",73.07692308,13.62950159
3 Headed Goat,Lil Durk Featuring Lil Baby & Polo G,"{'2020-10-31': 90, '2020-10-24': 96, '2020-10-10': 90, '2020-10-03': 96, '2020-09-26': 97, '2020-09-12': 96, '2020-09-05': 92, '2020-08-29': 89, '2020-08-22': 94, '2020-08-15': 99, '2020-08-01': 87, '2020-07-25': 97, '2020-07-18': 85, '2020-07-11': 68, '2020-05-30': 96, '2020-05-23': 43}",88.4375,13.76575802
I Called Mama,Tim McGraw,"{'2020-10-31': 91, '2020-10-24': 81, '2020-10-17': 53, '2020-10-10': 62, '2020-10-03': 67, '2020-09-26': 78, '2020-09-19': 80, '2020-09-12': 82, '2020-09-05': 61, '2020-08-29': 78, '2020-08-22': 89, '2020-07-11': 99}",76.75,13.01361467
Bloody Valentine,Machine Gun Kelly,"{'2020-10-31': 92, '2020-10-24': 86, '2020-10-17': 90, '2020-10-10': 50}",79.5,17.16828471
La Jeepeta,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,"{'2020-10-31': 95, '2020-10-24': 97, '2020-10-10': 100, '2020-10-03': 98, '2020-09-26': 99, '2020-09-19': 98, '2020-09-12': 95, '2020-09-05': 93, '2020-08-29': 94, '2020-08-22': 93}",96.2,2.4
Caramelo,Ozuna x Karol G x Myke Towers,"{'2020-10-31': 96, '2020-10-24': 90, '2020-10-17': 100, '2020-10-10': 83, '2020-10-03': 84, '2020-09-26': 85, '2020-09-19': 76, '2020-09-12': 84, '2020-09-05': 81, '2020-08-29': 92}",87.1,6.920260111
Pardon,T.I. Featuring Lil Baby,{'2020-10-31': 97},97,0
Dollaz On My Head,Gunna Featuring Young Thug,"{'2020-10-31': 99, '2020-10-24': 91, '2020-10-10': 78, '2020-10-03': 87, '2020-09-26': 92, '2020-09-19': 88, '2020-09-12': 86, '2020-09-05': 84, '2020-08-29': 79, '2020-08-22': 74, '2020-08-15': 76, '2020-08-08': 78, '2020-08-01': 96, '2020-07-11': 81, '2020-07-04': 82, '2020-06-27': 75, '2020-06-20': 73, '2020-06-13': 73, '2020-06-06': 38}",80.52631579,12.55458994
If The World Was Ending,JP Saxe Featuring Julia Michaels,"{'2020-10-24': 43, '2020-10-17': 43, '2020-10-10': 31, '2020-10-03': 31, '2020-09-26': 30, '2020-09-19': 30, '2020-09-12': 27, '2020-09-05': 34, '2020-08-29': 48, '2020-08-22': 48, '2020-08-15': 50, '2020-08-08': 66, '2020-08-01': 52, '2020-07-25': 61, '2020-07-18': 59, '2020-07-11': 50, '2020-07-04': 52, '2020-06-27': 55, '2020-06-20': 53, '2020-06-13': 58, '2020-06-06': 73, '2020-05-30': 73, '2020-05-23': 61, '2020-05-16': 71, '2020-05-09': 59, '2020-05-02': 77, '2020-04-25': 73, '2020-04-18': 83, '2020-04-11': 96}",54.72413793,17.11401231
"Baby, I'm Jealous",Bebe Rexha Featuring Doja Cat,{'2020-10-24': 58},58,0
Cool Again,Kane Brown,"{'2020-10-24': 65, '2020-10-17': 70, '2020-10-10': 45, '2020-10-03': 29, '2020-09-26': 31, '2020-09-19': 36, '2020-09-12': 41, '2020-09-05': 39, '2020-08-29': 39, '2020-08-22': 40, '2020-08-15': 67, '2020-08-08': 84, '2020-08-01': 73, '2020-07-25': 77, '2020-07-18': 77, '2020-07-11': 76, '2020-07-04': 78, '2020-06-27': 93, '2020-06-20': 85, '2020-05-09': 68}",60.65,20.11535483
Rich N*gga Sh*t,21 Savage & Metro Boomin Featuring Young Thug,"{'2020-10-24': 74, '2020-10-17': 26}",50,24
Slidin,21 Savage & Metro Boomin,"{'2020-10-24': 88, '2020-10-17': 32}",60,28
Many Men,21 Savage & Metro Boomin,"{'2020-10-24': 94, '2020-10-17': 33}",63.5,30.5
Sofia,Clairo,{'2020-10-24': 98},98,0
Fallin',Why Don't We,{'2020-10-17': 37},37,0
Outta Time,Bryson Tiller Featuring Drake,{'2020-10-17': 48},48,0
My Dawg,Lil Baby,"{'2020-10-17': 56, '2018-02-03': 97, '2018-01-27': 90, '2018-01-20': 87, '2018-01-13': 84, '2018-01-06': 84, '2017-12-30': 77}",82.14285714,12.08811189
Brand New Draco,21 Savage & Metro Boomin,{'2020-10-17': 57},57,0
Lovesick Girls,BLACKPINK,{'2020-10-17': 59},59,0
Snitches & Rats,21 Savage & Metro Boomin Featuring Young Nudy,{'2020-10-17': 61},61,0
Rain On Me,Lady Gaga & Ariana Grande,"{'2020-10-17': 65, '2020-10-10': 55, '2020-10-03': 41, '2020-09-26': 37, '2020-09-19': 37, '2020-09-12': 34, '2020-09-05': 55, '2020-08-29': 44, '2020-08-22': 36, '2020-08-15': 35, '2020-08-08': 29, '2020-08-01': 14, '2020-07-25': 28, '2020-07-18': 16, '2020-07-11': 12, '2020-07-04': 11, '2020-06-27': 9, '2020-06-20': 10, '2020-06-13': 5, '2020-06-06': 1}",28.7,17.86365024
No Opp Left Behind,21 Savage & Metro Boomin,{'2020-10-17': 71},71,0
Steppin On N*ggas,21 Savage & Metro Boomin,{'2020-10-17': 74},74,0
RIP Luv,21 Savage & Metro Boomin,{'2020-10-17': 76},76,0
Always Forever,Bryson Tiller,{'2020-10-17': 83},83,0
Years Go By,Bryson Tiller,{'2020-10-17': 84},84,0
Said N Done,21 Savage & Metro Boomin,{'2020-10-17': 91},91,0
