,0
0,1039.4450000000002
1,435.454
2,-217.18999999999994
3,0.0
4,-2404.745
5,4974.74
6,3916.2749999999996
7,171.65500000000003
8,1948.4950000000001
9,52.730999999999995
10,17.55000000000001
11,-764.0100000000002
12,-1377.6870000000001
13,-60.458
14,-260.43000000000006
15,752.8149999999999
16,79.55
17,2214.56
18,0.0
19,2355.04
20,-20.720000000000027
21,127.15499999999997
22,616.4399999999998
23,509.52000000000004
24,69.75
25,688.2
26,800.5
27,-4616.142
28,-767.0649999999999
29,269.22
30,146.55999999999995
31,0.0
32,806.5500000000001
33,-730.4700000000001
34,-1613.6649999999997
35,-929.565
36,287.65
37,75.87
38,271.645
39,-4945.945
40,-252.89999999999998
41,-18.06
42,-864.181
43,74.86800000000001
44,357.625
45,-129.91099999999997
46,416.79099999999994
47,1818.9660000000001
48,-528.375
49,-1481.382
50,-60.98999999999998
51,135.28699999999998
52,970.29
53,-3397.4210000000003
54,233.495
55,-38.54900000000005
56,1289.2050000000002
57,5965.125
58,387.26699999999994
59,-2583.23
60,-84.318
61,1656.699
62,-227.37099999999998
63,-4272.475
64,-183.858
65,1224.205
66,205.065
67,-190.92
68,-2095.861
69,-3081.795
70,-153.9099999999999
71,2297.4179999999997
72,321.15999999999997
73,911.2549999999999
74,237.615
75,-88.52799999999999
76,-7714.629999999999
77,207.91999999999996
78,1138.975
79,3471.15
80,388.04499999999996
81,-1582.1599999999999
82,-2779.8019999999997
83,-742.7429999999999
84,844.642
85,902.4300000000001
86,-1082.805
87,-750.08
88,-3792.12
89,140.665
90,-309.855
91,-306.35999999999996
92,143.08599999999996
93,0.0
94,0.0
95,214.18500000000012
96,-528.48
97,-608.4549999999995
98,0.0
99,2190.977
100,-1453.7949999999998
101,428.16
102,-446.67500000000007
103,587.72
104,2430.575
105,469.19999999999993
106,63.63999999999999
107,1080.89
108,-103.422
109,5980.240000000001
110,2094.835
111,1113.4949999999997
112,1054.63
113,-27.48999999999998
114,509.596
115,-313.71999999999997
116,-251.78999999999996
117,-242.22
118,660.6
119,-3157.0
120,146.972
121,-49.075
122,-1251.1399999999999
123,3113.354
124,286.26
125,188.56200000000004
126,184.34499999999997
127,-138.00900000000001
128,567.5919999999998
129,0.0
130,229.77
131,-2280.66
132,-273.879
133,-367.43500000000006
134,1728.65
135,137.5
136,-307.34
137,457.302
138,1448.711
139,-1310.925
140,0.0
141,0.0
142,6387.780000000001
143,8.96
144,409.96599999999995
145,0.0
146,48.444
147,-2207.2
148,-240.59999999999997
149,-19.29800000000001
150,175.64999999999998
151,131.67499999999998
152,743.47
153,-2112.4
154,31.601999999999997
155,2687.46
156,368.30499999999995
157,-3296.7000000000003
158,570.78
159,-1433.695
160,-17314.18
161,6443.55
162,0.0
163,800.66
164,-1715.6999999999998
165,821.4300000000001
166,632.965
167,-286.26
168,461.425
169,-57.252
170,3065.7
171,1215.2549999999999
172,-289.35
173,175.6499999999997
174,-1285.2949999999996
175,2846.17
176,88.08
177,774.636
178,-7660.240000000002
179,-606.6499999999999
180,-50.0
181,1076.4049999999997
182,-1053.75
183,600.495
184,941.325
185,-406.725
186,538.18
187,-792.79
188,549.61
189,468.533
190,-136.0
191,-3304.29
192,-255.00000000000003
193,2898.325
194,250.83
195,0.0
196,3018.0750000000003
197,-1942.145
198,928.288
199,800.66
200,553.0349999999999
201,7598.215
202,-1132.3999999999999
203,114.7
204,3539.2999999999997
205,351.578
206,747.575
207,3789.2700000000004
208,-2526.645
209,-464.905
210,0.0
211,-126.42
212,-109.25999999999996
213,612.0
214,7280.495
215,362.86999999999995
216,1142.8770000000002
217,0.0
218,-190.68
219,452.865
220,578.2049999999999
221,-218.352
222,1451.8049999999998
223,-688.426
224,1710.4750000000001
225,-572.6999999999999
226,113.13499999999999
227,2405.585
228,-420.18000000000006
229,2038.6430000000003
230,41.02799999999996
231,1996.955
232,-22.273999999999997
233,2777.315
234,-10677.74
235,-748.6150000000001
236,-431.43399999999997
237,110.52600000000001
238,5243.7
239,0.0
240,-839.55
241,605.05
242,-27.567000000000064
243,71.655
244,-53.58500000000001
245,170.68499999999995
246,0.0
247,286.82
248,0.0
249,-3129.495
250,451.263
251,160.30200000000002
252,905.827
253,1225.675
254,985.57
255,241.89300000000003
256,2528.825
257,161.862
258,161.496
259,-168.2
260,674.3050000000001
261,-4762.23
